Panel,analyte,n_patients,cv_intra,cv_intra_ci_lower,cv_intra_ci_upper,cv_inter,cv_inter_ci_lower,cv_inter_ci_upper,individuality_index,ii_ci_lower,ii_ci_upper
CBC,HCT,37050,6.8,6.7,6.8,14.1,14.0,14.2,0.48,0.47,0.48
CBC,HGB,31437,6.9,6.8,6.9,14.6,14.5,14.7,0.47,0.46,0.48
CBC,PLT,29222,12.0,11.9,12.2,33.5,33.2,33.8,0.36,0.35,0.36
CBC,WBC,29418,18.3,18.2,18.5,31.8,31.5,32.0,0.58,0.57,0.58
BMP,A1C,269,4.8,4.4,5.3,13.0,11.8,13.8,0.37,0.33,0.43
BMP,BUN,25387,15.4,15.2,15.5,42.0,41.5,42.4,0.37,0.36,0.37
BMP,CA,25179,4.4,4.3,4.4,5.6,5.5,5.6,0.78,0.77,0.79
BMP,CL,26586,1.9,1.8,1.9,3.3,3.3,3.3,0.56,0.55,0.57
BMP,CO2,11015,5.5,5.4,5.6,10.2,10.1,10.4,0.54,0.53,0.55
BMP,CRE,36501,11.0,11.0,11.1,25.3,25.2,25.5,0.43,0.43,0.44
BMP,GLU,30550,12.8,12.7,12.9,23.7,23.5,23.9,0.54,0.53,0.55
BMP,K,34278,7.5,7.5,7.6,8.6,8.6,8.7,0.87,0.86,0.88
BMP,NA,33857,1.0,1.0,1.0,1.7,1.7,1.7,0.6,0.59,0.6
HFP,ALB,26021,8.4,8.3,8.4,13.4,13.3,13.5,0.63,0.62,0.63
HFP,ALP,23442,10.9,10.7,11.0,34.0,33.7,34.4,0.32,0.31,0.32
HFP,ALT,21694,19.2,19.0,19.4,49.8,49.3,50.3,0.39,0.38,0.39
HFP,AST,21748,14.4,14.3,14.6,32.6,32.2,32.9,0.44,0.44,0.45
HFP,TBIL,24126,21.7,21.6,21.9,44.6,44.2,45.0,0.49,0.48,0.49
HFP,TP,24293,7.5,7.4,7.5,10.9,10.8,11.0,0.69,0.68,0.7
