analyte,age,method,ri_low,ri_high,ri_mid,n
A1C,35,NORMA,4.75,6.05,5.4,7
A1C,40,NORMA,4.34,6.22,5.28,7
A1C,45,NORMA,3.95,6.0,4.98,8
A1C,50,NORMA,4.34,6.32,5.33,21
A1C,55,NORMA,4.43,6.41,5.42,24
A1C,60,NORMA,4.43,6.29,5.36,50
A1C,65,NORMA,4.47,6.44,5.45,39
A1C,70,NORMA,4.36,6.48,5.42,68
A1C,75,NORMA,4.18,6.33,5.25,31
A1C,80,NORMA,5.22,6.53,5.88,10
A1C,35,NORMA_334f7e21,4.8,6.04,5.42,7
A1C,40,NORMA_334f7e21,4.36,6.17,5.26,7
A1C,45,NORMA_334f7e21,4.13,5.95,5.04,8
A1C,50,NORMA_334f7e21,4.48,6.26,5.37,21
A1C,55,NORMA_334f7e21,4.51,6.37,5.44,24
A1C,60,NORMA_334f7e21,4.47,6.25,5.36,50
A1C,65,NORMA_334f7e21,4.45,6.39,5.42,39
A1C,70,NORMA_334f7e21,4.46,6.44,5.45,68
A1C,75,NORMA_334f7e21,4.29,6.33,5.31,31
A1C,80,NORMA_334f7e21,5.27,6.44,5.86,10
A1C,35,NORMA_q_age,4.74,6.03,5.39,7
A1C,40,NORMA_q_age,4.23,6.1,5.16,7
A1C,45,NORMA_q_age,4.09,5.88,4.99,8
A1C,50,NORMA_q_age,4.47,6.23,5.35,21
A1C,55,NORMA_q_age,4.43,6.33,5.38,24
A1C,60,NORMA_q_age,4.36,6.22,5.29,50
A1C,65,NORMA_q_age,4.33,6.37,5.35,39
A1C,70,NORMA_q_age,4.34,6.4,5.37,68
A1C,75,NORMA_q_age,4.26,6.28,5.27,31
A1C,80,NORMA_q_age,5.2,6.41,5.81,10
A1C,35,NORMA_q_age_set_co,4.75,6.07,5.41,7
A1C,40,NORMA_q_age_set_co,4.51,6.21,5.36,7
A1C,45,NORMA_q_age_set_co,4.26,5.99,5.13,8
A1C,50,NORMA_q_age_set_co,4.53,6.23,5.38,21
A1C,55,NORMA_q_age_set_co,4.36,6.38,5.37,24
A1C,60,NORMA_q_age_set_co,4.31,6.23,5.27,50
A1C,65,NORMA_q_age_set_co,4.35,6.38,5.36,39
A1C,70,NORMA_q_age_set_co,4.32,6.4,5.36,68
A1C,75,NORMA_q_age_set_co,4.18,6.29,5.23,31
A1C,80,NORMA_q_age_set_co,5.17,6.4,5.79,10
ALB,20,NORMA,3.43,4.83,4.13,46
ALB,25,NORMA,3.35,4.57,3.96,48
ALB,30,NORMA,3.3,4.74,4.02,44
ALB,35,NORMA,3.37,4.81,4.09,67
ALB,40,NORMA,3.41,4.62,4.02,95
ALB,45,NORMA,3.46,4.68,4.07,84
ALB,50,NORMA,3.37,4.59,3.98,152
ALB,55,NORMA,3.38,4.54,3.96,234
ALB,60,NORMA,3.34,4.48,3.91,278
ALB,65,NORMA,3.36,4.55,3.95,262
ALB,70,NORMA,3.36,4.56,3.96,299
ALB,75,NORMA,3.28,4.49,3.89,232
ALB,80,NORMA,3.25,4.44,3.84,113
ALB,85,NORMA,3.19,4.45,3.82,40
ALB,90,NORMA,3.2,4.75,3.98,6
ALB,20,NORMA_334f7e21,3.44,4.85,4.14,46
ALB,25,NORMA_334f7e21,3.35,4.65,4.0,48
ALB,30,NORMA_334f7e21,3.3,4.78,4.04,44
ALB,35,NORMA_334f7e21,3.33,4.74,4.04,67
ALB,40,NORMA_334f7e21,3.4,4.69,4.05,95
ALB,45,NORMA_334f7e21,3.41,4.72,4.06,84
ALB,50,NORMA_334f7e21,3.35,4.61,3.98,152
ALB,55,NORMA_334f7e21,3.35,4.55,3.95,234
ALB,60,NORMA_334f7e21,3.33,4.52,3.92,278
ALB,65,NORMA_334f7e21,3.32,4.58,3.95,262
ALB,70,NORMA_334f7e21,3.33,4.56,3.95,299
ALB,75,NORMA_334f7e21,3.27,4.48,3.88,232
ALB,80,NORMA_334f7e21,3.25,4.42,3.84,113
ALB,85,NORMA_334f7e21,3.21,4.51,3.86,40
ALB,90,NORMA_334f7e21,3.25,4.84,4.04,6
ALB,20,NORMA_q_age,3.37,4.76,4.07,46
ALB,25,NORMA_q_age,3.31,4.57,3.94,48
ALB,30,NORMA_q_age,3.28,4.68,3.98,44
ALB,35,NORMA_q_age,3.32,4.67,3.99,67
ALB,40,NORMA_q_age,3.36,4.65,4.0,95
ALB,45,NORMA_q_age,3.38,4.69,4.04,84
ALB,50,NORMA_q_age,3.32,4.62,3.97,152
ALB,55,NORMA_q_age,3.34,4.54,3.94,234
ALB,60,NORMA_q_age,3.3,4.51,3.9,278
ALB,65,NORMA_q_age,3.29,4.58,3.94,262
ALB,70,NORMA_q_age,3.3,4.51,3.91,299
ALB,75,NORMA_q_age,3.23,4.44,3.84,232
ALB,80,NORMA_q_age,3.2,4.45,3.82,113
ALB,85,NORMA_q_age,3.16,4.52,3.84,40
ALB,90,NORMA_q_age,3.14,4.76,3.95,6
ALB,20,NORMA_q_age_set_co,3.53,4.77,4.15,46
ALB,25,NORMA_q_age_set_co,3.43,4.54,3.98,48
ALB,30,NORMA_q_age_set_co,3.43,4.65,4.04,44
ALB,35,NORMA_q_age_set_co,3.5,4.75,4.13,67
ALB,40,NORMA_q_age_set_co,3.5,4.53,4.01,95
ALB,45,NORMA_q_age_set_co,3.52,4.59,4.05,84
ALB,50,NORMA_q_age_set_co,3.46,4.56,4.01,152
ALB,55,NORMA_q_age_set_co,3.46,4.48,3.97,234
ALB,60,NORMA_q_age_set_co,3.42,4.42,3.92,278
ALB,65,NORMA_q_age_set_co,3.42,4.46,3.94,262
ALB,70,NORMA_q_age_set_co,3.44,4.46,3.95,299
ALB,75,NORMA_q_age_set_co,3.37,4.38,3.88,232
ALB,80,NORMA_q_age_set_co,3.36,4.32,3.84,113
ALB,85,NORMA_q_age_set_co,3.3,4.35,3.83,40
ALB,90,NORMA_q_age_set_co,3.28,4.33,3.8,6
ALP,20,NORMA,43.43,100.59,72.01,40
ALP,25,NORMA,39.35,85.86,62.61,37
ALP,30,NORMA,43.48,85.41,64.45,44
ALP,35,NORMA,43.53,84.16,63.85,70
ALP,40,NORMA,44.77,90.81,67.79,85
ALP,45,NORMA,45.64,88.47,67.05,104
ALP,50,NORMA,47.55,91.32,69.44,157
ALP,55,NORMA,48.39,97.75,73.07,228
ALP,60,NORMA,50.41,98.35,74.38,270
ALP,65,NORMA,48.62,96.09,72.35,294
ALP,70,NORMA,46.52,94.76,70.64,270
ALP,75,NORMA,48.14,95.78,71.96,262
ALP,80,NORMA,46.87,88.64,67.75,108
ALP,85,NORMA,43.35,97.72,70.54,29
ALP,20,NORMA_334f7e21,44.21,102.2,73.2,40
ALP,25,NORMA_334f7e21,39.78,88.5,64.14,37
ALP,30,NORMA_334f7e21,43.94,87.59,65.76,44
ALP,35,NORMA_334f7e21,42.65,87.14,64.9,70
ALP,40,NORMA_334f7e21,44.81,91.26,68.03,85
ALP,45,NORMA_334f7e21,44.54,90.47,67.5,104
ALP,50,NORMA_334f7e21,46.84,93.39,70.12,157
ALP,55,NORMA_334f7e21,47.62,99.39,73.5,228
ALP,60,NORMA_334f7e21,49.14,100.89,75.02,270
ALP,65,NORMA_334f7e21,47.7,98.99,73.35,294
ALP,70,NORMA_334f7e21,46.18,95.25,70.71,270
ALP,75,NORMA_334f7e21,47.73,96.93,72.33,262
ALP,80,NORMA_334f7e21,45.1,92.48,68.79,108
ALP,85,NORMA_334f7e21,43.45,99.34,71.4,29
ALP,20,NORMA_q_age,46.04,99.71,72.87,40
ALP,25,NORMA_q_age,42.17,85.08,63.62,37
ALP,30,NORMA_q_age,45.08,86.47,65.77,44
ALP,35,NORMA_q_age,43.86,85.85,64.85,70
ALP,40,NORMA_q_age,45.57,90.47,68.02,85
ALP,45,NORMA_q_age,45.31,89.62,67.47,104
ALP,50,NORMA_q_age,47.56,92.95,70.25,157
ALP,55,NORMA_q_age,48.97,97.75,73.36,228
ALP,60,NORMA_q_age,49.97,99.91,74.94,270
ALP,65,NORMA_q_age,48.29,98.24,73.27,294
ALP,70,NORMA_q_age,47.51,94.31,70.91,270
ALP,75,NORMA_q_age,48.92,95.97,72.45,262
ALP,80,NORMA_q_age,46.54,91.53,69.04,108
ALP,85,NORMA_q_age,44.65,99.24,71.94,29
ALP,20,NORMA_q_age_set_co,48.52,96.9,72.71,40
ALP,25,NORMA_q_age_set_co,42.61,86.07,64.34,37
ALP,30,NORMA_q_age_set_co,44.02,87.81,65.91,44
ALP,35,NORMA_q_age_set_co,45.22,89.47,67.35,70
ALP,40,NORMA_q_age_set_co,47.69,90.73,69.21,85
ALP,45,NORMA_q_age_set_co,47.99,90.29,69.14,104
ALP,50,NORMA_q_age_set_co,49.33,94.14,71.73,157
ALP,55,NORMA_q_age_set_co,50.45,99.96,75.21,228
ALP,60,NORMA_q_age_set_co,51.67,101.05,76.36,270
ALP,65,NORMA_q_age_set_co,50.81,98.63,74.72,294
ALP,70,NORMA_q_age_set_co,48.98,95.21,72.1,270
ALP,75,NORMA_q_age_set_co,50.94,97.82,74.38,262
ALP,80,NORMA_q_age_set_co,48.91,93.0,70.96,108
ALP,85,NORMA_q_age_set_co,49.46,101.64,75.55,29
ALT,20,NORMA,12.44,34.67,23.55,48
ALT,25,NORMA,12.49,30.85,21.67,43
ALT,30,NORMA,10.41,30.85,20.63,51
ALT,35,NORMA,11.55,34.29,22.92,60
ALT,40,NORMA,10.24,30.03,20.13,82
ALT,45,NORMA,10.38,31.53,20.96,96
ALT,50,NORMA,10.14,32.91,21.53,163
ALT,55,NORMA,10.74,32.4,21.57,212
ALT,60,NORMA,11.35,32.46,21.91,252
ALT,65,NORMA,11.13,32.26,21.7,289
ALT,70,NORMA,10.68,30.47,20.57,289
ALT,75,NORMA,10.95,30.56,20.75,247
ALT,80,NORMA,10.13,30.25,20.19,130
ALT,85,NORMA,11.68,27.91,19.79,30
ALT,90,NORMA,8.86,26.49,17.68,8
ALT,20,NORMA_334f7e21,12.92,36.16,24.54,48
ALT,25,NORMA_334f7e21,13.55,31.95,22.75,43
ALT,30,NORMA_334f7e21,10.33,31.51,20.92,51
ALT,35,NORMA_334f7e21,12.26,34.67,23.46,60
ALT,40,NORMA_334f7e21,10.45,31.27,20.86,82
ALT,45,NORMA_334f7e21,10.84,33.08,21.96,96
ALT,50,NORMA_334f7e21,10.53,33.48,22.0,163
ALT,55,NORMA_334f7e21,10.97,32.28,21.63,212
ALT,60,NORMA_334f7e21,11.38,32.59,21.99,252
ALT,65,NORMA_334f7e21,11.1,32.49,21.79,289
ALT,70,NORMA_334f7e21,10.78,31.24,21.01,289
ALT,75,NORMA_334f7e21,10.98,31.24,21.11,247
ALT,80,NORMA_334f7e21,10.06,30.91,20.49,130
ALT,85,NORMA_334f7e21,11.64,28.61,20.13,30
ALT,90,NORMA_334f7e21,8.69,27.09,17.89,8
ALT,20,NORMA_q_age,12.97,35.67,24.32,48
ALT,25,NORMA_q_age,13.68,31.32,22.5,43
ALT,30,NORMA_q_age,10.33,31.2,20.76,51
ALT,35,NORMA_q_age,12.42,34.92,23.67,60
ALT,40,NORMA_q_age,10.52,29.51,20.02,82
ALT,45,NORMA_q_age,11.07,32.42,21.74,96
ALT,50,NORMA_q_age,10.79,32.99,21.89,163
ALT,55,NORMA_q_age,11.16,32.01,21.59,212
ALT,60,NORMA_q_age,11.37,32.78,22.07,252
ALT,65,NORMA_q_age,11.23,32.68,21.95,289
ALT,70,NORMA_q_age,11.22,30.77,20.99,289
ALT,75,NORMA_q_age,11.59,30.72,21.15,247
ALT,80,NORMA_q_age,10.37,30.73,20.55,130
ALT,85,NORMA_q_age,12.24,28.86,20.55,30
ALT,90,NORMA_q_age,8.78,29.05,18.92,8
ALT,20,NORMA_q_age_set_co,14.37,34.69,24.53,48
ALT,25,NORMA_q_age_set_co,14.51,31.36,22.93,43
ALT,30,NORMA_q_age_set_co,11.07,32.26,21.67,51
ALT,35,NORMA_q_age_set_co,13.23,36.1,24.66,60
ALT,40,NORMA_q_age_set_co,11.32,30.69,21.01,82
ALT,45,NORMA_q_age_set_co,12.15,33.84,23.0,96
