method,analyte,decile,z_median,mortality_pct,ci_lo,ci_hi,n
Cohen_m2,A1C,7,2.2,8.9,4.4,17.2,79
Cohen_m2,HGB,3,0.41,3.8,3.5,4.1,17462
Cohen_m2,HGB,4,0.6,4.3,4.0,4.6,17900
Cohen_m2,HGB,5,0.8,5.6,5.2,5.9,16626
Cohen_m2,HGB,6,0.99,7.4,7.0,7.8,17488
Cohen_m2,HGB,7,1.24,9.3,8.8,9.7,17139
Cohen_m2,HGB,8,1.46,11.4,10.9,11.9,17408
Cohen_m2,HGB,9,1.81,17.4,16.8,17.9,17319
Cohen_m2,HGB,10,2.23,24.9,24.3,25.6,17220
Cohen_m2,K,1,0.05,7.1,6.7,7.4,21383
Cohen_m2,K,2,0.17,7.4,7.1,7.8,21282
Cohen_m2,K,3,0.29,7.5,7.2,7.9,21292
Cohen_m2,K,4,0.41,7.9,7.6,8.3,21324
Cohen_m2,K,5,0.56,8.4,8.1,8.8,21318
Cohen_m2,K,6,0.7,9.0,8.6,9.4,21341
Cohen_m2,K,7,0.85,9.6,9.3,10.0,21291
Cohen_m2,K,8,1.08,11.2,10.8,11.6,21332
Cohen_m2,K,9,1.35,12.9,12.4,13.3,21309
Cohen_m2,K,10,1.81,19.0,18.4,19.5,21313
Cohen_m2,NA,1,0.09,5.4,5.1,5.7,20102
Cohen_m2,HGB,2,0.24,2.8,2.6,3.1,17159
Cohen_m2,HGB,1,0.08,3.2,2.9,3.4,17487
Cohen_m2,HCT,10,3.2,27.4,26.8,28.0,21807
Cohen_m2,HCT,9,2.6,16.2,15.7,16.7,22462
Cohen_m2,CRE,9,0.7,11.5,11.1,12.0,18781
Cohen_m2,CRE,10,0.99,19.1,18.6,19.7,19289
Cohen_m2,GLU,1,0.27,7.0,6.7,7.3,31396
Cohen_m2,GLU,2,0.73,8.8,8.5,9.2,31263
Cohen_m2,GLU,3,1.29,6.0,5.8,6.3,31330
Cohen_m2,GLU,4,2.04,7.1,6.8,7.4,30931
Cohen_m2,GLU,5,2.83,6.9,6.6,7.2,31468
Cohen_m2,GLU,6,3.59,7.4,7.1,7.7,30665
Cohen_m2,GLU,7,4.62,8.3,8.0,8.6,30881
Cohen_m2,NA,2,0.26,5.6,5.3,6.0,19817
Cohen_m2,GLU,8,5.97,9.9,9.6,10.2,31201
Cohen_m2,GLU,10,11.17,13.8,13.5,14.2,30846
Cohen_m2,HCT,1,0.17,2.6,2.4,2.8,22214
Cohen_m2,HCT,2,0.48,2.8,2.6,3.0,22551
Cohen_m2,HCT,3,0.82,3.6,3.4,3.9,22366
Cohen_m2,HCT,4,1.12,4.8,4.6,5.1,21652
Cohen_m2,HCT,5,1.37,5.2,4.9,5.5,23631
Cohen_m2,HCT,6,1.63,7.0,6.7,7.4,20901
Cohen_m2,HCT,7,1.93,10.0,9.6,10.4,23267
Cohen_m2,HCT,8,2.29,12.2,11.8,12.7,21050
