analyte,q_label,mortality_pct,ci_lo,ci_hi,n
A1C,1,3.9,1.8,8.2,154
A1C,2,6.8,4.1,11.1,205
A1C,3,1.7,0.5,5.8,121
A1C,4,7.7,4.4,13.3,142
A1C,5,5.7,2.9,10.9,140
ALB,1,21.0,20.6,21.5,36326
ALB,2,6.2,5.9,6.5,21547
ALB,3,3.5,3.3,3.7,21599
ALB,4,1.5,1.3,1.6,32559
ALB,5,0.6,0.5,0.7,17423
ALP,1,3.1,2.8,3.3,25398
ALP,2,3.8,3.5,4.1,20067
ALP,3,4.7,4.4,5.0,20058
ALP,4,8.2,7.8,8.5,23331
ALP,5,16.6,16.1,17.2,18109
ALT,1,6.7,6.4,7.0,23629
ALT,2,5.7,5.3,6.0,17854
ALT,3,6.2,5.8,6.5,20515
ALT,4,7.2,6.8,7.5,21742
ALT,5,12.5,12.0,13.0,16021
AST,1,3.6,3.4,3.9,24000
AST,2,3.7,3.4,4.0,16309
AST,3,4.6,4.4,4.9,21929
AST,4,8.0,7.6,8.3,20826
AST,5,16.3,15.7,16.9,16116
BUN,1,2.9,2.7,3.1,29179
BUN,2,3.2,3.0,3.5,23694
BUN,3,4.6,4.3,4.9,26801
BUN,4,9.3,8.9,9.7,23007
BUN,5,22.8,22.3,23.4,22447
CA,1,16.8,16.4,17.3,31389
CA,2,9.4,9.1,9.8,26711
CA,3,6.9,6.6,7.2,22791
CA,4,6.0,5.7,6.3,27644
CA,5,8.9,8.6,9.3,25435
CL,1,16.0,15.6,16.4,37448
CL,2,8.5,8.2,8.9,22033
CL,3,5.9,5.7,6.2,40367
CL,4,5.6,5.3,5.9,21528
CL,5,12.5,12.1,12.9,27206
CO2,1,34.6,34.0,35.3,18486
CO2,2,16.9,16.3,17.5,13579
CO2,3,12.9,12.4,13.5,13781
CO2,4,12.4,11.8,12.9,13350
CO2,5,15.4,14.8,16.0,13803
CRE,1,8.4,8.2,8.7,41439
CRE,2,3.3,3.2,3.5,41579
CRE,3,3.4,3.2,3.6,32948
CRE,4,4.6,4.4,4.8,41302
CRE,5,9.1,8.8,9.4,35650
GLU,1,7.7,7.5,7.9,74231
GLU,2,6.6,6.4,6.8,65321
GLU,3,7.2,7.0,7.4,49944
GLU,4,9.2,9.0,9.4,60384
GLU,5,12.5,12.3,12.8,61376
HCT,1,20.5,20.1,20.8,50368
HCT,2,10.1,9.9,10.4,50307
HCT,3,5.3,5.1,5.5,40266
HCT,4,3.9,3.7,4.1,45090
HCT,5,2.7,2.5,2.8,35870
HGB,1,21.3,20.9,21.7,36266
HGB,2,10.5,10.2,10.8,39660
HGB,3,5.8,5.5,6.0,29695
HGB,4,3.7,3.5,3.9,35213
HGB,5,2.1,1.9,2.2,32374
K,1,14.1,13.8,14.4,50361
K,2,8.6,8.3,8.8,65371
K,3,7.1,6.8,7.4,32499
K,4,7.3,6.9,7.6,25027
K,5,11.3,11.0,11.6,39927
NA,1,14.6,14.2,14.9,44240
NA,2,7.7,7.4,7.9,54409
NA,3,5.3,5.1,5.5,44998
NA,4,5.2,4.9,5.5,19185
NA,5,11.6,11.3,11.9,36759
PLT,1,25.9,25.5,26.4,34161
PLT,2,5.5,5.2,5.8,27639
PLT,3,3.2,3.0,3.4,33762
PLT,4,2.6,2.5,2.8,32282
PLT,5,2.4,2.2,2.6,21949
TBIL,1,4.3,4.1,4.6,27837
TBIL,2,4.0,3.7,4.2,32730
TBIL,3,4.8,4.4,5.2,12295
TBIL,4,6.7,6.3,7.0,21391
TBIL,5,16.1,15.6,16.7,17420
TP,1,20.6,20.2,21.1,27333
TP,2,7.1,6.8,7.4,25917
TP,3,4.4,4.2,4.7,20346
TP,4,3.0,2.8,3.2,23861
TP,5,3.5,3.3,3.7,22108
WBC,1,10.1,9.8,10.4,33551
WBC,2,3.9,3.7,4.1,33939
WBC,3,4.4,4.2,4.7,24508
WBC,4,6.7,6.4,6.9,30660
WBC,5,15.8,15.3,16.2,29974
