analyte,direction,target_sensitivity,method,n_strata,n,n_events,prevalence,flag_rate,sensitivity,specificity,ppv,rr,tp,fp,tn,fn,n_population,n_events_population,auc,auc_lo,auc_hi,auprc,auprc_norm,auc_within_position,n_endpoints,age_band,sex,tp_norm,fp_norm,pop_pos,pop_neg,gap_hours,horizon_hours,min_normal_frac
ALB,low,0.2,PopRI,14.0,2231,258,0.1150193457615195,0.0946924708510264,0.2093023255813953,0.9219462747085656,0.2897186010310247,2.5188684487192763,54.0,154.0,1819.0,204.0,2845.0,329.0,0.6817540675082607,0.6483577796146087,0.7151503554019127,0.2109615366672902,1.8242449159097849,0.5328377689122077,,all,all,,,,,24.0,168.0,0.8
ALB,low,0.2,PerRI,14.0,2231,258,0.1150193457615195,0.1431204720307711,0.1976744186046511,0.8575772934617334,0.1597363068872311,1.3887777384721651,51.0,281.0,1692.0,207.0,2845.0,329.0,0.5955319291049321,0.5608591372820309,0.6302047209278334,0.1437165218929411,1.2427579858261693,0.4927189897058991,,all,all,,,,,24.0,168.0,0.8
ALB,low,0.2,Cohen_m2,14.0,2231,258,0.1150193457615195,0.1369877258307609,0.1937984496124031,0.8712620375063356,0.1553328992046019,1.3504936771825178,50.0,254.0,1719.0,208.0,2845.0,329.0,0.575118754346468,0.5371033711832404,0.6131341375096956,0.1590726485798372,1.375546817758205,0.4735280474683257,,all,all,,,,,24.0,168.0,0.8
ALB,low,0.2,Cohen_m3,14.0,2231,258,0.1150193457615195,0.1145357819685876,0.1937984496124031,0.8945767866193614,0.1857821219099293,1.6152249926297528,50.0,208.0,1765.0,208.0,2845.0,329.0,0.6148803419810858,0.5798047286312804,0.6499559553308911,0.1650013392069108,1.426813906087667,0.4790626284742585,,all,all,,,,,24.0,168.0,0.8
ALB,low,0.2,Cohen_m4,14.0,2231,258,0.1150193457615195,0.1103939046806906,0.1976744186046511,0.9036999493157628,0.2065595214550377,1.7958676437207106,51.0,190.0,1783.0,207.0,2845.0,329.0,0.6247853777940177,0.5901974354124272,0.6593733201756081,0.1722034271187165,1.4890924259761886,0.4898805927001054,,all,all,,,,,24.0,168.0,0.8
ALB,low,0.2,Gaussian_mle,14.0,2231,258,0.1150193457615195,0.1202840114893162,0.1976744186046511,0.8849467815509376,0.1895755873125489,1.6482061000904482,51.0,227.0,1746.0,207.0,2845.0,329.0,0.6230860806940204,0.5887621064325504,0.6574100549554903,0.159073854859809,1.3755572488071082,0.4938070234781155,,all,all,,,,,24.0,168.0,0.8
ALB,low,0.2,Gaussian_trunc,14.0,2231,258,0.1150193457615195,0.1390123462595709,0.1976744186046511,0.8641662442980234,0.1640351575666361,1.4261527613515188,51.0,268.0,1705.0,207.0,2845.0,329.0,0.5207805372529143,0.480468282207106,0.5610927922987226,0.1323992667614968,1.1448944346701524,0.4831698839637726,,all,all,,,,,24.0,168.0,0.8
ALB,low,0.2,Gaussian_eb,14.0,2231,258,0.1150193457615195,0.1368988562301814,0.1976744186046511,0.8667004561581348,0.1665675868325425,1.4481701815440935,51.0,263.0,1710.0,207.0,2845.0,329.0,0.580420954199523,0.5424856441649475,0.6183562642340985,0.1476523702609596,1.2767923955511662,0.484887190762125,,all,all,,,,,24.0,168.0,0.8
ALB,low,0.2,NORMA_q_age_set,14.0,2231,258,0.1150193457615195,0.1382462529118439,0.2015503875968992,0.868727825646224,0.1759694973546123,1.529912174248204,52.0,259.0,1714.0,206.0,2845.0,329.0,0.5678049010478671,0.5309059247554256,0.6047038773403085,0.1377131548563255,1.190845149164582,0.4182511438256689,,all,all,,,,,24.0,168.0,0.8
ALB,low,0.2,NORMA_334f7e21,14.0,2231,258,0.1150193457615195,0.140373267315887,0.2015503875968992,0.8646730866700456,0.1733031089267986,1.5067300877030223,52.0,267.0,1706.0,206.0,2845.0,329.0,0.5962902281576475,0.561546456549149,0.631033999766146,0.1468949118345474,1.2702424352824626,0.4860697694651569,,all,all,,,,,24.0,168.0,0.8
ALB,low,0.2,NORMA_q_age,14.0,2231,258,0.1150193457615195,0.1428225000459528,0.1976744186046511,0.8626457171819564,0.1596591021376864,1.3881065057414144,51.0,271.0,1702.0,207.0,2845.0,329.0,0.5900843558583513,0.555240956555104,0.6249277551615986,0.1446077245198131,1.2504644705569887,0.4816006456840752,,all,all,,,,,24.0,168.0,0.8
ALB,low,0.2,NORMA_q_set,14.0,2231,258,0.1150193457615195,0.1451884097081342,0.2015503875968992,0.8601115053218449,0.1675555485796663,1.456759708293552,52.0,276.0,1697.0,206.0,2845.0,329.0,0.5611137959350456,0.5245132734216512,0.59771431844844,0.1331487100215926,1.151375085496795,0.4046871493694727,,all,all,,,,,24.0,168.0,0.8
ALB,low,0.2,NORMA_q_co,14.0,2231,258,0.1150193457615195,0.1355768326446478,0.2015503875968992,0.8722757222503801,0.1794342231007721,1.560035156805796,52.0,252.0,1721.0,206.0,2845.0,329.0,0.5948639972968407,0.5596645948507082,0.6300633997429732,0.1475254102368235,1.2756945358075709,0.4936586930010552,,all,all,,,,,24.0,168.0,0.8
ALB,low,0.2,NORMA_q_age_set_co,14.0,2231,258,0.1150193457615195,0.1521417323873888,0.2015503875968992,0.8550430816016219,0.1598977693649049,1.3901815238667423,52.0,286.0,1687.0,206.0,2845.0,329.0,0.566359025133881,0.5299696402271143,0.6027484100406477,0.1380056459233828,1.193374403314214,0.4430975818848482,,all,all,,,,,24.0,168.0,0.8
ALP,high,0.2,PopRI,14.0,10927,284,0.0259979201663866,0.0208437198068019,0.1936619718309859,0.983463309217326,0.242001730781586,9.308503496924944,55.0,176.0,10467.0,229.0,12549.0,326.0,0.8694533072719886,0.8483147682545592,0.8905918462894179,0.1705908383902897,6.563542574263015,0.5627559118693378,,all,all,,,,,24.0,168.0,0.8
ALP,high,0.2,PerRI,14.0,10927,284,0.0259979201663866,0.1096879670253652,0.2007042253521127,0.8939208869679601,0.047445527630145,1.8249739720136728,57.0,1129.0,9514.0,227.0,12549.0,326.0,0.6894996777621475,0.6617036354647639,0.7172957200595311,0.0477539272509573,1.8373491657437024,0.5185691928106809,,all,all,,,,,24.0,168.0,0.8
ALP,high,0.2,Cohen_m2,14.0,10927,284,0.0259979201663866,0.0343376512854944,0.2007042253521127,0.9686178709010618,0.1515596808566481,5.829684831966024,57.0,334.0,10309.0,227.0,12549.0,326.0,0.7988961203091894,0.7704538540784576,0.8273383865399213,0.1094619386222379,4.211586631426739,0.5222366795428847,,all,all,,,,,24.0,168.0,0.8
ALP,high,0.2,Cohen_m3,14.0,10927,284,0.0259979201663866,0.0435381270597261,0.2007042253521127,0.959691816217232,0.1195320934007387,4.5977559987773375,57.0,429.0,10214.0,227.0,12549.0,326.0,0.7538645383529212,0.7224879370696627,0.7852411396361797,0.0976750651298826,3.758082523500801,0.5181491183795364,,all,all,,,,,24.0,168.0,0.8
ALP,high,0.2,Cohen_m4,14.0,10927,284,0.0259979201663866,0.0357700493263198,0.2007042253521127,0.9674903692567886,0.1454905309947984,5.596237316818385,57.0,346.0,10297.0,227.0,12549.0,326.0,0.7402825767911991,0.707148250356979,0.7734169032254192,0.0921931113383867,3.5471624211075774,0.4962560394394351,,all,all,,,,,24.0,168.0,0.8
ALP,high,0.2,Gaussian_mle,14.0,10927,284,0.0259979201663866,0.0619320893831174,0.204225352112676,0.9421215822606408,0.0853224414571233,3.2818948943246125,58.0,616.0,10027.0,226.0,12549.0,326.0,0.760360575555182,0.733967156225313,0.7867539948850509,0.0732084808496084,2.816722078322785,0.5188758689037714,,all,all,,,,,24.0,168.0,0.8
ALP,high,0.2,Gaussian_trunc,14.0,10927,284,0.0259979201663866,0.0740957874689157,0.1971830985915492,0.930376773466128,0.0691565613204952,2.660080532515417,56.0,741.0,9902.0,228.0,12549.0,326.0,0.6360366464501563,0.5984419383053512,0.6736313545949615,0.053407795735639,2.054883746490592,0.5230093262904366,,all,all,,,,,24.0,168.0,0.8
ALP,high,0.2,Gaussian_eb,14.0,10927,284,0.0259979201663866,0.0665534669663169,0.1971830985915492,0.9374236587428356,0.0769938833130638,2.9615401086049564,56.0,666.0,9977.0,228.0,12549.0,326.0,0.7544597189450714,0.7276886349224632,0.7812308029676795,0.0699196007481747,2.6901812583637503,0.5098650689340659,,all,all,,,,,24.0,168.0,0.8
ALP,high,0.2,NORMA_q_age_set,14.0,10927,284,0.0259979201663866,0.0446774735904377,0.1866197183098591,0.9598797331579442,0.1093219619561017,4.205027219733011,53.0,427.0,10216.0,231.0,12549.0,326.0,0.7645559535924559,0.7369330265644298,0.7921788806204819,0.0821648441897562,3.1613213114840364,0.609792554711858,,all,all,,,,,24.0,168.0,0.8
ALP,high,0.2,NORMA_334f7e21,14.0,10927,284,0.0259979201663866,0.043308911721222,0.1866197183098591,0.9617589025650662,0.1127765366072505,4.337906105006889,53.0,407.0,10236.0,231.0,12549.0,326.0,0.7704442382945611,0.7426350387385621,0.7982534378505601,0.0887397922592244,3.414294753579385,0.615002770872379,,all,all,,,,,24.0,168.0,0.8
ALP,high,0.2,NORMA_q_age,14.0,10927,284,0.0259979201663866,0.0461667159837037,0.1901408450704225,0.959691816217232,0.107528173986056,4.136029855383652,54.0,429.0,10214.0,230.0,12549.0,326.0,0.7599764706816489,0.7319596683367349,0.7879932730265629,0.0837826061828213,3.22356527380172,0.6032553163918432,,all,all,,,,,24.0,168.0,0.8
ALP,high,0.2,NORMA_q_set,14.0,10927,284,0.0259979201663866,0.0448437180920395,0.1901408450704225,0.961570985624354,0.1107005145842659,4.258052716362794,54.0,409.0,10234.0,230.0,12549.0,326.0,0.7666422286419825,0.7390721916997175,0.7942122655842475,0.084003866328686,3.232078335822368,0.6048504907480147,,all,all,,,,,24.0,168.0,0.8
ALP,high,0.2,NORMA_q_co,14.0,10927,284,0.0259979201663866,0.0447782818592293,0.1866197183098591,0.9611011932725736,0.10907584805293,4.195560543106703,53.0,414.0,10229.0,231.0,12549.0,326.0,0.760115423349077,0.7324160053626209,0.7878148413355331,0.0835220437793425,3.213540043580549,0.608528766738527,,all,all,,,,,24.0,168.0,0.8
ALP,high,0.2,NORMA_q_age_set_co,14.0,10927,284,0.0259979201663866,0.0391411922913654,0.1866197183098591,0.9665507845532276,0.124784882171973,4.799802498559491,53.0,356.0,10287.0,231.0,12549.0,326.0,0.759114964143595,0.7311370351417422,0.7870928931454478,0.0851338128956215,3.2755534278537186,0.6037677860676082,,all,all,,,,,24.0,168.0,0.8
ALT,high,0.2,PopRI,14.0,4112,276,0.0669559826410415,0.0493957620233955,0.2028985507246377,0.960636079249218,0.2735467066367134,4.08547072041684,56.0,151.0,3685.0,220.0,4856.0,326.0,0.7690632981215336,0.7403328662769679,0.7977937299660993,0.1927322726239871,2.871431539963172,0.5469559456019145,,all,all,,,,,24.0,168.0,0.8
ALT,high,0.2,PerRI,14.0,4112,276,0.0669559826410415,0.0624357882570719,0.1956521739130435,0.9473409801876956,0.20979537304081,3.133332747359505,54.0,202.0,3634.0,222.0,4856.0,326.0,0.6807617763068413,0.6464751736105655,0.7150483790031171,0.1497588505373241,2.231189831193756,0.4825720994933813,,all,all,,,,,24.0,168.0,0.8
ALT,high,0.2,Cohen_m2,14.0,4112,276,0.0669559826410415,0.0451946526234682,0.1956521739130435,0.963764337851929,0.2898294096343524,4.328655905001948,54.0,139.0,3697.0,222.0,4856.0,326.0,0.7197431654350093,0.6855385115318285,0.75394781933819,0.1886676438349959,2.810874461773563,0.5087679362439926,,all,all,,,,,24.0,168.0,0.8
ALT,high,0.2,Cohen_m3,14.0,4112,276,0.0669559826410415,0.0607627953107363,0.1992753623188405,0.9460375391032324,0.2189727067008235,3.2703979250780413,55.0,207.0,3629.0,221.0,4856.0,326.0,0.6957910187242146,0.6612408174243063,0.7303412200241228,0.1628397090592892,2.426075665405063,0.506946649246299,,all,all,,,,,24.0,168.0,0.8
ALT,high,0.2,Cohen_m4,14.0,4112,276,0.0669559826410415,0.0535435786865464,0.1956521739130435,0.955422314911366,0.2446369818717529,3.653698627399421,54.0,171.0,3665.0,222.0,4856.0,326.0,0.6849894591286213,0.6491765140340224,0.7208024042232202,0.1598152191018436,2.3810151483579025,0.5056566640299407,,all,all,,,,,24.0,168.0,0.8
ALT,high,0.2,Gaussian_mle,14.0,4112,276,0.0669559826410415,0.0575592669208328,0.1956521739130435,0.9491657977059436,0.2275696024152892,3.398794154591311,54.0,195.0,3641.0,222.0,4856.0,326.0,0.7289635943237974,0.6964096499928126,0.7615175386547822,0.1732904920107487,2.581777185319561,0.5028542484771357,,all,all,,,,,24.0,168.0,0.8
ALT,high,0.2,Gaussian_trunc,14.0,4112,276,0.0669559826410415,0.0928064551706253,0.1992753623188405,0.9116266944734098,0.1433671152662603,2.1412144159673883,55.0,339.0,3497.0,221.0,4856.0,326.0,0.6677708134983603,0.6350232079056036,0.700518419091117,0.1263984176220215,1.883153236455626,0.4961955793782772,,all,all,,,,,24.0,168.0,0.8
ALT,high,0.2,Gaussian_eb,14.0,4112,276,0.0669559826410415,0.0604445333047899,0.1956521739130435,0.94577685088634,0.2167067685416543,3.236555719052672,54.0,208.0,3628.0,222.0,4856.0,326.0,0.7258523371265359,0.6933474907009196,0.7583571835521521,0.1680747326311273,2.504069929634767,0.5119928137538124,,all,all,,,,,24.0,168.0,0.8
