analyte,outcome,method,anchor,n_patients,n_events,n_nonevents,meas_flag_rate,alerts_per_100_patient_days,nonevents_flagged_frac,events_flagged_frac,events_flagged_before_frac,median_lead_h,iqr25_lead_h,iqr75_lead_h,median_lead_h_early,iqr25_lead_h_early,iqr75_lead_h_early,median_lead_tests_early,median_lead_tests,median_tests_per_day,detected_0h_before,detected_6h_before,detected_12h_before,detected_24h_before,detected_48h_before,detected_72h_before,median_lead_h_low_intensity,detected_24h_low_intensity,median_lead_h_mid_intensity,detected_24h_mid_intensity,median_lead_h_high_intensity,detected_24h_high_intensity,lm_n,lm_events,lm_tp,lm_fp,rr_landmark,direction,window_hours,age_band,n_early,n_24h,n_nonevents_flagged,target_rate
ALB,pop_abnormal,StandardOfCare,soc_rate,8741.0,2726,6015,0.215494071146245,9.672795533616036,0.0,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.4995663486556809,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6639.0,624.0,0.0,0.0,,toward_bound,168.0,all,,,,all
ALB,pop_abnormal,StandardOfCare,native,8741.0,2726,6015,0.215494071146245,9.672795533616036,0.0,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.4995663486556809,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6639.0,624.0,0.0,0.0,,toward_bound,168.0,all,,,,all
ALB,pop_abnormal,PopRI,soc_rate,8741.0,2726,6015,0.215494071146245,9.672795533616036,0.0,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.4995663486556809,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6639.0,624.0,0.0,0.0,,any,168.0,all,,,,all
ALB,pop_abnormal,PopRI,native,8741.0,2726,6015,0.3231620553359683,14.505644952832853,0.1602660016625104,1.0,0.0983125458547322,0.0,0.0,0.0,47.208333333333314,23.83333333333337,71.83333333332968,0.0,0.0,0.4995663486556809,1.0,0.0953778429933969,0.0928099779897285,0.07006603081438,0.0407190022010271,0.0227439471753484,0.0,0.04375,0.0,0.0851318944844124,0.0,0.0734824281150159,6639.0,624.0,229.0,739.0,2.5169709551811823,any,168.0,all,,,,all
ALB,pop_abnormal,PopRI,soc_rate,8741.0,2726,6015,0.215494071146245,9.672795533616036,0.0,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.4995663486556809,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6639.0,624.0,0.0,0.0,,toward_bound,168.0,all,,,,all
ALB,pop_abnormal,PopRI,early_sens,8741.0,2726,6015,0.2694071146245059,12.092768590815645,0.085286783042394,1.0,0.0498899486426999,0.0,0.0,0.0,47.37500000000245,23.91666666666663,72.0,0.0,0.0,0.4995663486556809,1.0,0.0491562729273661,0.0480557593543653,0.0352164343360234,0.0220102714600146,0.0132061628760088,0.0,0.0234375,0.0,0.0335731414868105,0.0,0.042332268370607,6639.0,624.0,107.0,359.0,2.442957659293496,toward_bound,168.0,all,,,,all
ALB,pop_abnormal,PopRI,native,8741.0,2726,6015,0.3231620553359683,14.505644952832853,0.1602660016625104,1.0,0.0983125458547322,0.0,0.0,0.0,47.208333333333314,23.83333333333337,71.83333333332968,0.0,0.0,0.4995663486556809,1.0,0.0953778429933969,0.0928099779897285,0.07006603081438,0.0407190022010271,0.0227439471753484,0.0,0.04375,0.0,0.0851318944844124,0.0,0.0734824281150159,6639.0,624.0,229.0,739.0,2.5169709551811823,toward_bound,168.0,all,,,,all
ALB,pop_abnormal,PerRI,soc_rate,8741.0,2726,6015,0.215494071146245,9.672795533616036,0.2234413965087281,0.2817314746881878,0.0645634629493763,0.0,0.0,0.0,47.37500000000239,24.0,72.0,0.0,0.0,0.4995663486556809,0.2817314746881878,0.0638297872340425,0.0623624358033749,0.0498899486426999,0.0289801907556859,0.0168745414526779,0.0,0.0234375,0.0,0.0575539568345323,0.0,0.0583067092651757,6639.0,624.0,171.0,1235.0,1.2939838877338878,any,168.0,all,,,,all
ALB,pop_abnormal,PerRI,native,8741.0,2726,6015,0.2841106719367589,12.752761242779176,0.2914380714879468,0.3701393983859134,0.0843727072633895,0.0,0.0,0.0,47.833333333333314,24.333333333329705,72.0,0.0,0.0,0.4995663486556809,0.3701393983859134,0.0836390315480557,0.0818048422597212,0.0678650036683785,0.0396184886280264,0.0231107850330154,0.0,0.03125,0.0,0.079136690647482,0.0,0.079073482428115,6639.0,624.0,221.0,1616.0,1.2799741426238431,any,168.0,all,,,,all
ALB,pop_abnormal,PerRI,soc_rate,8741.0,2726,6015,0.215494071146245,9.672795533616036,0.1888611803823774,0.4185619955979457,0.0385179750550256,0.0,0.0,0.0,47.833333333333314,23.83333333333576,71.75000000000364,0.0,0.0,0.4995663486556809,0.4185619955979457,0.0381511371973587,0.0359501100513573,0.0275128393250183,0.0179750550256786,0.0091709464416727,0.0,0.0171875,0.0,0.0359712230215827,0.0,0.0271565495207667,6639.0,624.0,96.0,1000.0,0.9319202695115104,toward_bound,168.0,all,,,,all
ALB,pop_abnormal,PerRI,early_sens,8741.0,2726,6015,0.2864822134387352,12.85921167051523,0.2586866167913549,0.532648569332355,0.0498899486426999,0.0,0.0,0.0,47.75,23.833333333341216,71.68750000000092,0.0,0.0,0.4995663486556809,0.532648569332355,0.0491562729273661,0.0462215700660308,0.0363169479090242,0.0227439471753484,0.0117388114453411,0.0,0.021875,0.0,0.0491606714628297,0.0,0.0351437699680511,6639.0,624.0,126.0,1392.0,0.8831141684402555,toward_bound,168.0,all,,,,all
ALB,pop_abnormal,PerRI,native,8741.0,2726,6015,0.1135177865612648,5.0954271409657474,0.0945968412302576,0.2428466617754952,0.0194424064563462,0.0,0.0,0.0,48.083333333333314,31.66666666666666,72.08333333333576,0.0,0.0,0.4995663486556809,0.2428466617754952,0.0194424064563462,0.0190755685986793,0.016507703595011,0.0106382978723404,0.0055025678650036,0.0,0.009375,0.0,0.0203836930455635,0.0,0.0175718849840255,6639.0,624.0,50.0,503.0,0.9619731534288496,toward_bound,168.0,all,,,,all
ALB,pop_abnormal,Cohen_m2,soc_rate,8741.0,2726,6015,0.215494071146245,9.672795533616036,0.2603491271820449,0.26008804108584,0.0319148936170212,0.0,0.0,0.0,48.49999999999997,35.250000000001194,72.08333333333366,0.0,0.0,0.4995663486556809,0.26008804108584,0.0319148936170212,0.0315480557593543,0.0267791636096845,0.0187087307410124,0.0088041085840058,0.0,0.00625,0.0,0.0371702637889688,0.0,0.0303514376996805,6639.0,624.0,73.0,1274.0,0.5765982810804637,any,168.0,all,,,,all
ALB,pop_abnormal,Cohen_m2,native,8741.0,2726,6015,0.2127272727272727,9.548603367923974,0.2580216126350789,0.256052824651504,0.0308143800440205,0.0,0.0,0.0,48.5833333333333,36.16666666666848,72.10416666666677,0.0,0.0,0.4995663486556809,0.256052824651504,0.0308143800440205,0.0304475421863536,0.0256786500366837,0.0183418928833455,0.0084372707263389,0.0,0.0046875,0.0,0.0359712230215827,0.0,0.029552715654952,6639.0,624.0,70.0,1262.0,0.5591288403788404,any,168.0,all,,,,all
ALB,pop_abnormal,Cohen_m2,soc_rate,8741.0,2726,6015,0.215494071146245,9.672795533616036,0.1685785536159601,0.4897285399853265,0.0289801907556859,0.0,0.0,0.0,47.33333333333326,24.04166666666424,71.87500000000182,0.0,0.0,0.4995663486556809,0.4897285399853265,0.028613352898019,0.0271460014673514,0.0220102714600146,0.0117388114453411,0.0073367571533382,0.0,0.0109375,0.0,0.0311750599520383,0.0,0.0215654952076677,6639.0,624.0,75.0,892.0,0.8251879325431549,toward_bound,168.0,all,,,,all
ALB,pop_abnormal,Cohen_m2,early_sens,8741.0,2726,6015,0.4269565217391304,19.164625340080786,0.3208645054031587,0.9640498899486428,0.0502567865003668,0.0,0.0,0.0,47.5,24.0,71.66666666666669,0.0,0.0,0.4995663486556809,0.9640498899486428,0.0498899486426999,0.0469552457813646,0.0377842993396918,0.0220102714600146,0.0117388114453411,0.0,0.0203125,0.0,0.0503597122302158,0.0,0.0383386581469648,6639.0,624.0,130.0,1797.0,0.7177607680332123,toward_bound,168.0,all,,,,all
ALB,pop_abnormal,Cohen_m2,native,8741.0,2726,6015,0.0911462450592885,4.091244772655646,0.0658354114713217,0.2380777696258254,0.012105649303008,0.0,0.0,0.0,48.0,31.66666666666666,60.41666666666652,0.0,0.0,0.4995663486556809,0.2380777696258254,0.012105649303008,0.012105649303008,0.0102714600146735,0.0062362435803374,0.0025678650036683,0.0,0.003125,0.0,0.014388489208633,0.0,0.011182108626198,6639.0,624.0,29.0,326.0,0.8691359696641388,toward_bound,168.0,all,,,,all
ALB,pop_abnormal,Cohen_m3,soc_rate,8741.0,2726,6015,0.215494071146245,9.672795533616036,0.0691604322527015,0.8030080704328687,0.016507703595011,0.0,0.0,0.0,47.83333333333394,24.25,71.66666666666606,0.0,0.0,0.4995663486556809,0.8030080704328687,0.016507703595011,0.016140865737344,0.0132061628760088,0.0077035950110051,0.004035216434336,0.0,0.00625,0.0,0.0179856115107913,0.0,0.0135782747603833,6639.0,624.0,39.0,338.0,1.100629973474801,any,168.0,all,,,,all
ALB,pop_abnormal,Cohen_m3,native,8741.0,2726,6015,0.324901185770751,14.58370859983929,0.171571072319202,1.0,0.0385179750550256,0.0,0.0,0.0,47.83333333333394,23.91666666666669,72.08333333333394,0.0,0.0,0.4995663486556809,1.0,0.0377842993396918,0.037050623624358,0.0282465150403521,0.0187087307410124,0.0110051357300073,0.0,0.01875,0.0,0.0431654676258992,0.0,0.0231629392971246,6639.0,624.0,99.0,867.0,1.090375656951744,any,168.0,all,,,,all
ALB,pop_abnormal,Cohen_m3,soc_rate,8741.0,2726,6015,0.215494071146245,9.672795533616036,0.0660016625103906,0.8110785033015407,0.016140865737344,0.0,0.0,0.0,47.83333333333363,24.25,70.85416666666288,0.0,0.0,0.4995663486556809,0.8110785033015407,0.016140865737344,0.0157740278796771,0.0128393250183418,0.0073367571533382,0.0036683785766691,0.0,0.00625,0.0,0.0167865707434052,0.0,0.0135782747603833,6639.0,624.0,38.0,326.0,1.1107090025359256,toward_bound,168.0,all,,,,all
