subset,outcome,analyte,method,n,n_events,auc,auc_lo,auc_hi,auc_base,auc_adj,auc_gain,prevalence,ap,ap_lift,delta_vs_norma,p_vs_norma
all,mortality,A1C,Cohen_m2,269,16,0.5238,0.3843,0.6634,,,,0.0595,0.076,1.277,-0.0602,0.330653
all,mortality,A1C,Cohen_m3,269,16,0.5161,0.3567,0.6754,,,,0.0595,0.0829,1.395,-0.0679,0.310212
all,mortality,A1C,Cohen_m4,269,16,0.5146,0.3614,0.6677,,,,0.0595,0.0736,1.238,-0.0694,0.240813
all,mortality,A1C,Gaussian_eb,269,16,0.5897,0.4309,0.7485,,,,0.0595,0.1067,1.794,0.0057,0.897097
all,mortality,A1C,Gaussian_mle,264,14,0.5283,0.3629,0.6937,,,,0.053,0.0636,1.199,-0.0454,0.417439
all,mortality,A1C,Gaussian_trunc,264,14,0.5311,0.3617,0.7005,,,,0.053,0.0648,1.222,-0.0426,0.466355
all,mortality,A1C,NORMA_334f7e21,269,16,0.6094,0.4561,0.7628,,,,0.0595,0.1172,1.971,0.0254,0.226162
all,mortality,A1C,NORMA_q_age,269,16,0.5823,0.428,0.7365,,,,0.0595,0.1088,1.83,-0.0017,0.9258
all,mortality,A1C,NORMA_q_age_set,269,16,0.584,0.4318,0.7362,,,,0.0595,0.1207,2.03,,
all,mortality,A1C,NORMA_q_age_set_co,269,16,0.5894,0.4373,0.7415,,,,0.0595,0.1098,1.846,0.0054,0.773406
all,mortality,A1C,PerRI,266,16,0.6062,0.4779,0.7346,,,,0.0602,0.0819,1.362,0.0252,0.762158
all,mortality,A1C,PopRI,269,16,0.5112,0.36,0.6624,,,,0.0595,0.0669,1.126,-0.0728,0.180196
all,mortality,ALB,Cohen_m2,26021,807,0.8024,0.7878,0.817,0.5762,0.7852,0.209,0.031,0.0969,3.124,-0.0513,0.0
all,mortality,ALB,Cohen_m3,26021,807,0.8956,0.8831,0.908,0.5762,0.8994,0.3232,0.031,0.2531,8.161,0.0419,0.0
all,mortality,ALB,Cohen_m4,26021,807,0.8935,0.8813,0.9057,0.5762,0.8969,0.3207,0.031,0.2305,7.433,0.0398,0.0
all,mortality,ALB,Gaussian_eb,26021,807,0.8633,0.8513,0.8753,0.5762,0.8663,0.2901,0.031,0.1685,5.435,0.0096,0.012635
all,mortality,ALB,Gaussian_mle,25644,786,0.8251,0.8135,0.8367,0.6091,0.7929,0.1838,0.0307,0.1003,3.274,-0.0294,0.0
all,mortality,ALB,Gaussian_trunc,25644,786,0.6988,0.6843,0.7133,0.6091,0.6762,0.0671,0.0307,0.0558,1.82,-0.1557,0.0
all,mortality,ALB,NORMA_334f7e21,26021,807,0.8594,0.8476,0.8712,0.5762,0.8621,0.2859,0.031,0.15,4.838,0.0057,0.01696
all,mortality,ALB,NORMA_q_age,26021,807,0.8538,0.8418,0.8658,0.5762,0.8524,0.2762,0.031,0.1438,4.637,0.0001,0.953276
all,mortality,ALB,NORMA_q_age_set,26021,807,0.8537,0.8411,0.8663,0.5762,0.8531,0.2769,0.031,0.1517,4.892,,
all,mortality,ALB,NORMA_q_age_set_co,26021,807,0.8553,0.843,0.8676,0.5762,0.8549,0.2787,0.031,0.1571,5.066,0.0016,0.505155
all,mortality,ALB,PerRI,26013,807,0.5676,0.5493,0.5859,0.5869,0.5899,0.003,0.031,0.0363,1.17,-0.2861,0.0
all,mortality,ALB,PopRI,26021,807,0.9026,0.8914,0.9137,0.5762,0.9075,0.3313,0.031,0.2502,8.066,0.0489,0.0
all,mortality,ALP,Cohen_m2,23442,738,0.7641,0.7473,0.7809,0.5936,0.7812,0.1877,0.0315,0.0848,2.694,0.0548,0.0
all,mortality,ALP,Cohen_m3,23442,738,0.7584,0.743,0.7737,0.5936,0.7814,0.1878,0.0315,0.0776,2.466,0.049,0.0
all,mortality,ALP,Cohen_m4,23442,738,0.757,0.7399,0.7741,0.5936,0.7694,0.1758,0.0315,0.0861,2.735,0.0477,0.0
all,mortality,ALP,Gaussian_eb,23442,738,0.6932,0.6754,0.711,0.5936,0.6869,0.0933,0.0315,0.0575,1.828,-0.0162,0.051215
all,mortality,ALP,Gaussian_mle,23252,731,0.6372,0.6189,0.6555,0.5743,0.5989,0.0247,0.0314,0.0435,1.385,-0.0731,0.0
all,mortality,ALP,Gaussian_trunc,23252,731,0.5883,0.5686,0.608,0.5743,0.5855,0.0112,0.0314,0.0386,1.227,-0.122,0.0
all,mortality,ALP,NORMA_334f7e21,23442,738,0.7197,0.7016,0.7379,0.5936,0.6927,0.0991,0.0315,0.0657,2.086,0.0104,0.001308
all,mortality,ALP,NORMA_q_age,23442,738,0.7161,0.6978,0.7343,0.5936,0.6893,0.0957,0.0315,0.0655,2.081,0.0067,0.036351
all,mortality,ALP,NORMA_q_age_set,23442,738,0.7093,0.6903,0.7284,0.5936,0.6941,0.1005,0.0315,0.0651,2.069,,
all,mortality,ALP,NORMA_q_age_set_co,23442,738,0.7081,0.6901,0.7262,0.5936,0.6765,0.0829,0.0315,0.0625,1.986,-0.0012,0.790236
all,mortality,ALP,PerRI,23326,734,0.4897,0.4704,0.509,0.5828,0.5914,0.0086,0.0315,0.0333,1.059,-0.2235,0.0
all,mortality,ALP,PopRI,23442,738,0.7554,0.7365,0.7744,0.5936,0.7793,0.1858,0.0315,0.0908,2.883,0.0461,0.0
all,mortality,ALT,Cohen_m2,21694,734,0.6819,0.6625,0.7013,0.6028,0.6822,0.0794,0.0338,0.067,1.982,-0.0224,0.009526
all,mortality,ALT,Cohen_m3,21694,734,0.6703,0.6513,0.6893,0.6028,0.6866,0.0838,0.0338,0.0596,1.761,-0.034,0.001905
all,mortality,ALT,Cohen_m4,21694,734,0.6849,0.6664,0.7035,0.6028,0.6904,0.0876,0.0338,0.0627,1.854,-0.0194,0.041452
all,mortality,ALT,Gaussian_eb,21694,734,0.6842,0.6649,0.7035,0.6028,0.6937,0.0909,0.0338,0.0656,1.94,-0.0201,0.008743
all,mortality,ALT,Gaussian_mle,21401,729,0.6256,0.6063,0.6449,0.5939,0.6313,0.0375,0.0341,0.0485,1.424,-0.0799,0.0
all,mortality,ALT,Gaussian_trunc,21401,729,0.5843,0.5642,0.6044,0.5939,0.6109,0.017,0.0341,0.043,1.261,-0.1212,0.0
all,mortality,ALT,NORMA_334f7e21,21694,734,0.7106,0.6913,0.7299,0.6028,0.697,0.0942,0.0338,0.0783,2.313,0.0063,0.016381
all,mortality,ALT,NORMA_q_age,21694,734,0.7049,0.6856,0.7242,0.6028,0.6948,0.092,0.0338,0.0758,2.241,0.0006,0.825985
all,mortality,ALT,NORMA_q_age_set,21694,734,0.7043,0.6848,0.7237,0.6028,0.6936,0.0908,0.0338,0.076,2.248,,
all,mortality,ALT,NORMA_q_age_set_co,21694,734,0.7076,0.6882,0.7269,0.6028,0.6972,0.0943,0.0338,0.0765,2.26,0.0033,0.404183
all,mortality,ALT,PerRI,21635,728,0.5065,0.4863,0.5268,0.6079,0.6095,0.0017,0.0336,0.0346,1.028,-0.2004,0.0
all,mortality,ALT,PopRI,21694,734,0.6948,0.6746,0.7151,0.6028,0.7108,0.108,0.0338,0.0705,2.085,-0.0094,0.271442
all,mortality,AST,Cohen_m2,21748,685,0.7712,0.7535,0.7889,0.6043,0.7623,0.158,0.0315,0.0946,3.005,0.0237,0.00151
all,mortality,AST,Cohen_m3,21748,685,0.7094,0.6913,0.7275,0.6043,0.703,0.0987,0.0315,0.0636,2.019,-0.0381,5.6e-05
all,mortality,AST,Cohen_m4,21748,685,0.7281,0.7104,0.7459,0.6043,0.7186,0.1143,0.0315,0.0676,2.145,-0.0194,0.018002
all,mortality,AST,Gaussian_eb,21748,685,0.7413,0.7235,0.7591,0.6043,0.7279,0.1235,0.0315,0.071,2.255,-0.0062,0.352142
all,mortality,AST,Gaussian_mle,21668,679,0.7075,0.6898,0.7251,0.5912,0.6508,0.0597,0.0313,0.0564,1.8,-0.0398,0.0
all,mortality,AST,Gaussian_trunc,21668,679,0.632,0.6124,0.6517,0.5912,0.6152,0.0241,0.0313,0.0446,1.423,-0.1152,0.0
all,mortality,AST,NORMA_334f7e21,21748,685,0.7567,0.7387,0.7747,0.6043,0.7413,0.137,0.0315,0.0805,2.557,0.0092,0.000495
all,mortality,AST,NORMA_q_age,21748,685,0.75,0.732,0.768,0.6043,0.7341,0.1298,0.0315,0.0764,2.426,0.0025,0.309725
