subset,analyte,method,outcome,exposure,encoding,n,n_events,level,HR,HR_lower,HR_upper,p_value,p_fdr
all,ALP,Gaussian_eb,unplanned_icu,first,z,7358,60,z,1.215,1.017,1.45,0.03169,0.0744014370724372
all,PLT,Cohen_m4,periop_infection,window_worst,binary,12276,488,abnormal,1.49,1.24,1.791,2e-05,0.0001942377285043
all,PLT,Cohen_m3,periop_infection,window_worst,category,12276,488,high,1.257,0.96,1.647,0.09665,0.1497137892930587
all,PLT,Cohen_m3,periop_infection,window_worst,category,12276,488,low,1.455,1.187,1.782,0.0003,0.0017642140291975
all,PLT,Cohen_m3,periop_infection,window_worst,z,12276,488,z,1.507,1.282,1.77,0.0,3.104573249652307e-06
all,PLT,Cohen_m3,periop_infection,window_worst,binary,12276,488,abnormal,1.387,1.156,1.663,0.00043,0.0014381725453587
all,PLT,Cohen_m2,periop_infection,window_worst,category,12276,488,high,1.207,0.946,1.54,0.13023,0.192657172892574
all,PLT,Cohen_m2,periop_infection,window_worst,category,12276,488,low,1.553,1.263,1.91,3e-05,0.0003149533289809
all,PLT,Cohen_m2,periop_infection,window_worst,z,12276,488,z,1.372,1.179,1.597,4e-05,0.0001397217514286
all,PLT,Cohen_m2,periop_infection,window_worst,binary,12276,488,abnormal,1.4,1.169,1.677,0.00025,0.0010249640642058
all,PLT,PerRI,periop_infection,window_worst,category,12257,488,high,1.225,0.986,1.523,0.06745,0.116459560201159
all,PLT,PerRI,periop_infection,window_worst,category,12257,488,low,1.635,1.315,2.033,1e-05,0.0001567364098401
all,PLT,Cohen_m4,periop_infection,window_worst,z,12276,488,z,1.504,1.29,1.754,0.0,1.0108228131173977e-06
all,PLT,PerRI,periop_infection,window_worst,z,12257,488,z,1.018,0.985,1.052,0.27699,0.3234062166648402
all,PLT,PopRI,periop_infection,window_worst,category,12276,488,low,1.438,1.177,1.757,0.00038,0.0021515493310785
all,PLT,PopRI,periop_infection,window_worst,z,12276,488,z,1.542,1.253,1.9,5e-05,0.0001412150326763
all,PLT,PopRI,periop_infection,window_worst,binary,12276,488,abnormal,1.438,1.177,1.757,0.00038,0.0013820902755171
all,NA,NORMA_q_age_set_co,periop_infection,window_worst,category,19969,541,high,1.949,1.283,2.961,0.00176,0.0067313319324833
all,NA,NORMA_q_age_set_co,periop_infection,window_worst,category,19969,541,low,1.29,1.082,1.538,0.00452,0.0141608594688608
all,NA,NORMA_q_age_set_co,periop_infection,window_worst,z,19969,541,z,1.242,1.132,1.364,1e-05,2.09215251684468e-05
all,NA,NORMA_q_age_set_co,periop_infection,window_worst,binary,19969,541,abnormal,1.333,1.123,1.582,0.00101,0.0028202710891523
all,NA,Cohen_m4,periop_infection,window_worst,category,19969,541,low,1.3,1.086,1.556,0.00417,0.0135020058434128
all,NA,Cohen_m4,periop_infection,window_worst,binary,19969,541,abnormal,1.298,1.091,1.544,0.00327,0.007281188722815
all,K,Cohen_m3,periop_infection,window_worst,category,20602,549,high,1.089,0.806,1.469,0.57931,0.667131828529203
all,K,NORMA_334f7e21,periop_infection,window_worst,category,20602,549,low,1.494,1.238,1.802,3e-05,0.000297685314539
all,PLT,PerRI,periop_infection,window_worst,binary,12257,488,abnormal,1.4,1.162,1.687,0.0004,0.0013999292358389
all,NA,NORMA_q_age,periop_infection,window_worst,category,19969,541,high,2.094,1.342,3.269,0.00113,0.005139929016199
all,NA,Cohen_m4,periop_infection,window_worst,z,19969,541,z,1.238,1.116,1.374,6e-05,0.0001751726456529
all,NA,NORMA_q_age,periop_infection,window_worst,category,19969,541,low,1.259,1.056,1.5,0.01024,0.0271579639080685
all,K,Cohen_m3,periop_infection,window_worst,z,20602,549,z,1.492,1.257,1.771,0.0,1.944052057078621e-05
all,K,Cohen_m3,periop_infection,window_worst,category,20602,549,low,1.469,1.213,1.779,8e-05,0.000607089094427
all,NA,NORMA_q_age,periop_infection,window_worst,z,19969,541,z,1.293,1.16,1.442,0.0,1.4849225520376904e-05
all,NA,NORMA_334f7e21,periop_infection,window_worst,category,19969,541,high,2.114,1.34,3.334,0.00128,0.0054467407810366
all,NA,NORMA_334f7e21,periop_infection,window_worst,category,19969,541,low,1.296,1.088,1.545,0.00374,0.0126428592054459
all,NA,NORMA_334f7e21,periop_infection,window_worst,z,19969,541,z,1.291,1.161,1.437,0.0,1.1863832948799091e-05
all,NA,NORMA_334f7e21,periop_infection,window_worst,binary,19969,541,abnormal,1.339,1.128,1.589,0.00085,0.0024564959123595
all,NA,NORMA_q_age_set,periop_infection,window_worst,category,19969,541,high,1.926,1.247,2.975,0.00314,0.0108850662445338
all,NA,NORMA_q_age_set,periop_infection,window_worst,category,19969,541,low,1.277,1.07,1.523,0.0066,0.0188955311499454
all,NA,NORMA_q_age_set,periop_infection,window_worst,z,19969,541,z,1.305,1.165,1.462,0.0,1.7626623327490542e-05
all,NA,NORMA_q_age_set,periop_infection,window_worst,binary,19969,541,abnormal,1.318,1.11,1.564,0.00163,0.0042493091990037
all,NA,Gaussian_eb,periop_infection,window_worst,category,19969,541,high,1.222,0.911,1.64,0.18129,0.2530410704759362
all,NA,Gaussian_eb,periop_infection,window_worst,category,19969,541,low,1.233,1.027,1.48,0.02443,0.0530228049879743
all,NA,Gaussian_eb,periop_infection,window_worst,z,19969,541,z,1.102,1.008,1.205,0.03347,0.0531542655049972
all,NA,Gaussian_eb,periop_infection,window_worst,binary,19969,541,abnormal,1.231,1.037,1.461,0.01769,0.0274914528127995
all,NA,Gaussian_trunc,periop_infection,window_worst,category,19969,541,high,1.193,0.977,1.459,0.08395,0.1342462956413733
all,NA,Gaussian_trunc,periop_infection,window_worst,category,19969,541,low,1.191,0.926,1.532,0.174,0.2454708229144291
all,NA,Gaussian_trunc,periop_infection,window_worst,z,19969,541,z,1.046,0.969,1.129,0.2499,0.2949596381443176
all,NA,Gaussian_trunc,periop_infection,window_worst,binary,19969,541,abnormal,1.193,0.985,1.444,0.07101,0.0932353363158077
all,NA,Gaussian_mle,periop_infection,window_worst,category,19969,541,high,1.077,0.762,1.521,0.6745,0.7504970638373452
all,NA,Gaussian_mle,periop_infection,window_worst,category,19969,541,low,1.262,1.054,1.51,0.01113,0.0291184820120166
all,NA,Gaussian_mle,periop_infection,window_worst,z,19969,541,z,1.185,1.081,1.298,0.00028,0.0006980184785074
all,NA,Gaussian_mle,periop_infection,window_worst,binary,19969,541,abnormal,1.231,1.036,1.461,0.01789,0.0276050927081591
all,NA,Cohen_m4,periop_infection,window_worst,category,19969,541,high,1.282,0.919,1.789,0.14414,0.2096211282114913
all,NA,NORMA_q_age,periop_infection,window_worst,binary,19969,541,abnormal,1.303,1.098,1.547,0.00245,0.0057212416607014
all,K,NORMA_334f7e21,periop_infection,window_worst,binary,20602,549,abnormal,1.384,1.163,1.645,0.00024,0.0010111931961384
