model_type,method,outcome,subset,panel,n_test,n_events_test,concordance_test,time_window,concordance_lower,concordance_upper
gbm,PopRI,mortality,all,all,1952,39,0.4683,all,,
gbm,PopRI,mortality,all,all,1952,39,0.4683,1,,
gbm,PopRI,mortality,all,all,1952,39,0.4683,2,,
gbm,PopRI,mortality,all,all,1952,39,0.4683,7,,
gbm,PopRI,mortality,all,all,1952,39,0.4683,14,,
gbm,PopRI,mortality,all,all,1952,39,0.4683,30,,
penalized_cox,PopRI,mortality,all,all,1952,39,0.659,1,0.4817,0.8612
penalized_cox,PopRI,mortality,all,all,1952,39,0.659,2,0.4817,0.8612
penalized_cox,PopRI,mortality,all,all,1952,39,0.659,7,0.4817,0.8612
penalized_cox,PopRI,mortality,all,all,1952,39,0.659,14,0.4817,0.8612
penalized_cox,PopRI,mortality,all,all,1952,39,0.659,30,0.4817,0.8612
gbm,PopRI,mortality,all_eval_pop_normal,all,1949,39,0.4685,all,,
gbm,PopRI,mortality,all_eval_pop_normal,all,1949,39,0.4685,1,,
gbm,PopRI,mortality,all_eval_pop_normal,all,1949,39,0.4685,2,,
gbm,PopRI,mortality,all_eval_pop_normal,all,1949,39,0.4685,7,,
gbm,PopRI,mortality,all_eval_pop_normal,all,1949,39,0.4685,14,,
gbm,PopRI,mortality,all_eval_pop_normal,all,1949,39,0.4685,30,,
penalized_cox,PopRI,mortality,all_eval_pop_normal,all,1949,39,0.6593,1,0.5088,0.8305
penalized_cox,PopRI,mortality,all_eval_pop_normal,all,1949,39,0.6593,2,0.5088,0.8305
penalized_cox,PopRI,mortality,all_eval_pop_normal,all,1949,39,0.6593,7,0.5088,0.8305
penalized_cox,PopRI,mortality,all_eval_pop_normal,all,1949,39,0.6593,14,0.5088,0.8305
penalized_cox,PopRI,mortality,all_eval_pop_normal,all,1949,39,0.6593,30,0.5088,0.8305
gbm,PopRI,mortality,all,CBC,1888,37,0.4612,all,,
gbm,PopRI,mortality,all,CBC,1888,37,0.4612,1,,
gbm,PopRI,mortality,all,CBC,1888,37,0.4612,2,,
gbm,PopRI,mortality,all,CBC,1888,37,0.4612,7,,
gbm,PopRI,mortality,all,CBC,1888,37,0.4612,14,,
gbm,PopRI,mortality,all,CBC,1888,37,0.4612,30,,
penalized_cox,PopRI,mortality,all,CBC,1888,37,0.7882,all,0.7149,0.8557
penalized_cox,PopRI,mortality,all,CBC,1888,37,0.7882,1,0.7149,0.8557
penalized_cox,PopRI,mortality,all,CBC,1888,37,0.7882,2,0.7149,0.8557
penalized_cox,PopRI,mortality,all,CBC,1888,37,0.7882,7,0.7149,0.8557
penalized_cox,PopRI,mortality,all,CBC,1888,37,0.7882,14,0.7149,0.8557
penalized_cox,PopRI,mortality,all,CBC,1888,37,0.7882,30,0.7149,0.8557
gbm,PopRI,mortality,all_eval_pop_normal,CBC,1885,37,0.4615,all,,
gbm,PopRI,mortality,all_eval_pop_normal,CBC,1885,37,0.4615,1,,
gbm,PopRI,mortality,all_eval_pop_normal,CBC,1885,37,0.4615,2,,
gbm,PopRI,mortality,all_eval_pop_normal,CBC,1885,37,0.4615,7,,
gbm,PopRI,mortality,all_eval_pop_normal,CBC,1885,37,0.4615,14,,
gbm,PopRI,mortality,all_eval_pop_normal,CBC,1885,37,0.4615,30,,
penalized_cox,PopRI,mortality,all_eval_pop_normal,CBC,1885,37,0.7883,all,0.7125,0.8702
penalized_cox,PopRI,mortality,all_eval_pop_normal,CBC,1885,37,0.7883,1,0.7125,0.8702
penalized_cox,PopRI,mortality,all_eval_pop_normal,CBC,1885,37,0.7883,2,0.7125,0.8702
penalized_cox,PopRI,mortality,all_eval_pop_normal,CBC,1885,37,0.7883,7,0.7125,0.8702
