design,n,n_events,n_nonevents,n_reclassified,events_up,events_down,nonevents_up,nonevents_down,NRI,NRI_events,NRI_nonevents,NRI_se,NRI_p,ref_high_risk_rate,new_high_risk_rate,outcome,ref_method,new_method,subset,ref_mean_abnormal,new_mean_abnormal
refit,1672,28,1644,290,2,3,178,107,-0.0789,-0.0357,-0.0432,0.0818,0.3227,0.5,0.5419,periop_infection,PopRI,NORMA_q_age_set_co,all,,
refit,1672,28,1644,269,2,2,159,106,-0.0322,0.0,-0.0322,0.0733,0.6486,0.5,0.5317,periop_infection,PopRI,NORMA_q_age_set,all,,
refit,1672,28,1644,368,1,1,237,129,-0.0657,0.0,-0.0657,0.0542,0.2191,0.5,0.5646,periop_infection,PopRI,Gaussian_eb,all,,
refit,1672,28,1644,477,2,2,299,174,-0.076,0.0,-0.076,0.0754,0.3005,0.5,0.5748,periop_infection,PopRI,Gaussian_trunc,all,,
refit,1672,28,1644,329,1,2,202,124,-0.0832,-0.0357,-0.0474,0.0625,0.1755,0.5,0.5461,periop_infection,PopRI,Gaussian_mle,all,,
refit,1672,28,1644,346,3,1,215,127,0.0179,0.0714,-0.0535,0.0725,0.8188,0.5,0.5538,periop_infection,PopRI,Cohen_m4,all,,
refit,1672,28,1644,343,2,1,230,110,-0.0373,0.0357,-0.073,0.0623,0.5538,0.5,0.5724,periop_infection,PopRI,Cohen_m3,all,,
refit,1672,28,1644,393,1,4,258,130,-0.185,-0.1071,-0.0779,0.08,0.0185,0.5,0.5748,periop_infection,PopRI,Cohen_m2,all,,
refit,1672,28,1644,459,4,0,289,166,0.068,0.1429,-0.0748,0.0688,0.3371,0.5,0.576,periop_infection,PopRI,PerRI,all,,
refit,1690,243,1447,180,6,12,62,100,0.0016,-0.0247,0.0263,0.0201,0.9163,0.5,0.474,unplanned_icu,PopRI,NORMA_q_age_set_co,all,,
refit,1690,243,1447,165,4,11,63,87,-0.0122,-0.0288,0.0166,0.0183,0.4933,0.5,0.4817,unplanned_icu,PopRI,NORMA_q_age,all,,
refit,1690,243,1447,157,7,9,55,86,0.0132,-0.0082,0.0214,0.0184,0.4745,0.5,0.4805,unplanned_icu,PopRI,NORMA_334f7e21,all,,
refit,1690,243,1447,133,5,12,48,68,-0.015,-0.0288,0.0138,0.0193,0.4481,0.5,0.484,unplanned_icu,PopRI,NORMA_q_age_set,all,,
refit,1690,243,1447,313,12,23,131,147,-0.0342,-0.0453,0.0111,0.0269,0.1976,0.5,0.484,unplanned_icu,PopRI,Gaussian_eb,all,,
refit,1690,243,1447,340,10,21,130,179,-0.0114,-0.0453,0.0339,0.0256,0.6398,0.5,0.4645,unplanned_icu,PopRI,Gaussian_trunc,all,,
refit,1690,243,1447,270,10,18,113,129,-0.0219,-0.0329,0.0111,0.0243,0.3669,0.5,0.4858,unplanned_icu,PopRI,Gaussian_mle,all,,
refit,1690,243,1447,267,11,18,103,135,-0.0067,-0.0288,0.0221,0.024,0.7935,0.5,0.4769,unplanned_icu,PopRI,Cohen_m4,all,,
refit,1690,243,1447,273,12,14,96,151,0.0298,-0.0082,0.038,0.0236,0.1956,0.5,0.4663,unplanned_icu,PopRI,Cohen_m3,all,,
refit,1690,243,1447,240,8,19,67,146,0.0093,-0.0453,0.0546,0.0235,0.715,0.5,0.4467,unplanned_icu,PopRI,Cohen_m2,all,,
refit,1690,22,1668,349,2,0,230,117,0.0232,0.0909,-0.0677,0.0627,0.712,0.5,0.568,mortality,PopRI,PerRI,all,,
refit,1672,28,1644,267,1,2,173,91,-0.0856,-0.0357,-0.0499,0.0643,0.1742,0.5,0.5484,periop_infection,PopRI,NORMA_334f7e21,all,,
refit,1690,243,1447,360,13,29,114,204,-0.0036,-0.0658,0.0622,0.0289,0.9124,0.5,0.4373,unplanned_icu,PopRI,PerRI,all,,
refit,1672,28,1644,274,2,1,175,96,-0.0123,0.0357,-0.0481,0.062,0.834,0.5,0.5478,periop_infection,PopRI,NORMA_q_age,all,,
refit,1690,1272,418,222,88,86,21,27,0.0159,0.0016,0.0144,0.019,0.3683,0.5,0.4976,prolonged_los,PopRI,NORMA_q_age,all,,
refit,1690,1272,418,249,106,97,21,25,0.0166,0.0071,0.0096,0.0196,0.4115,0.5,0.503,prolonged_los,PopRI,NORMA_q_age_set_co,all,,
refit,1690,1272,418,248,108,82,29,29,0.0204,0.0204,0.0,0.0217,0.3662,0.5,0.5154,prolonged_los,PopRI,NORMA_q_age_set,all,,
refit,1690,1272,418,386,141,164,36,45,0.0034,-0.0181,0.0215,0.0247,0.923,0.5,0.4811,prolonged_los,PopRI,Gaussian_eb,all,,
refit,1690,1272,418,452,145,194,53,60,-0.0218,-0.0385,0.0167,0.0285,0.4594,0.5,0.4669,prolonged_los,PopRI,Gaussian_trunc,all,,
refit,1690,1272,418,368,137,150,28,53,0.0496,-0.0102,0.0598,0.0243,0.043,0.5,0.4775,prolonged_los,PopRI,Gaussian_mle,all,,
refit,1690,1272,418,298,122,114,28,34,0.0206,0.0063,0.0144,0.0222,0.3664,0.5,0.5012,prolonged_los,PopRI,Cohen_m4,all,,
refit,1690,1272,418,355,125,153,34,43,-0.0005,-0.022,0.0215,0.0249,0.956,0.5,0.4781,prolonged_los,PopRI,Cohen_m2,all,,
refit,1690,1272,418,495,194,188,50,63,0.0358,0.0047,0.0311,0.0296,0.2472,0.5,0.4959,prolonged_los,PopRI,PerRI,all,,
refit,1690,1272,418,217,94,77,19,27,0.0325,0.0134,0.0191,0.0192,0.0935,0.5,0.5053,prolonged_los,PopRI,NORMA_334f7e21,all,,
refit,1690,1272,418,375,127,147,42,59,0.0249,-0.0157,0.0407,0.0273,0.3681,0.5,0.4781,prolonged_los,PopRI,Cohen_m3,all,,
refit,1690,22,1668,175,0,1,101,73,-0.0622,-0.0455,-0.0168,0.0446,0.1587,0.5,0.516,mortality,PopRI,NORMA_334f7e21,all,,
refit,1690,22,1668,171,0,1,104,66,-0.0682,-0.0455,-0.0228,0.0448,0.124,0.5,0.5219,mortality,PopRI,NORMA_q_age_set,all,,
refit,1690,22,1668,265,1,0,175,89,-0.0061,0.0455,-0.0516,0.0445,0.8508,0.5,0.5515,mortality,PopRI,Gaussian_eb,all,,
refit,1690,22,1668,179,0,0,111,68,-0.0258,0.0,-0.0258,0.0082,0.0015,0.5,0.5254,mortality,PopRI,NORMA_q_age,all,,
refit,1690,22,1668,392,1,0,256,135,-0.0271,0.0455,-0.0725,0.0448,0.5174,0.5,0.5722,mortality,PopRI,Gaussian_trunc,all,,
refit,1690,22,1668,239,0,0,149,90,-0.0354,0.0,-0.0354,0.0097,0.0002,0.5,0.5349,mortality,PopRI,Gaussian_mle,all,,
refit,1690,22,1668,265,1,1,159,104,-0.033,0.0,-0.033,0.0661,0.59,0.5,0.5325,mortality,PopRI,Cohen_m4,all,,
refit,1690,22,1668,241,1,1,149,90,-0.0354,0.0,-0.0354,0.066,0.5717,0.5,0.5349,mortality,PopRI,Cohen_m3,all,,
refit,1690,22,1668,234,0,1,143,90,-0.0772,-0.0455,-0.0318,0.0453,0.0869,0.5,0.5308,mortality,PopRI,Cohen_m2,all,,
refit,1690,22,1668,206,0,1,124,81,-0.0712,-0.0455,-0.0258,0.0452,0.1114,0.5,0.5249,mortality,PopRI,NORMA_q_age_set_co,all,,
