analyte,method,outcome,subset,n_patients,n_events,anchor,sensitivity,specificity,ppv,n_flagged
A1C,PerRI,mortality,pop_normal,58.0,3.0,native,0.3333333333333333,0.4545454545454545,0.032258064516129,31.0
A1C,PerRI,mortality,pop_normal,58.0,3.0,rate_of:PerRI,0.3333333333333333,0.4545454545454545,0.032258064516129,31.0
A1C,NORMA_q_age_set,mortality,pop_normal,58.0,3.0,native,0.0,0.9454545454545454,0.0,3.0
A1C,NORMA_q_age_set,mortality,pop_normal,58.0,3.0,rate_of:PerRI,0.0,0.4363636363636363,0.0,31.0
ALB,PerRI,mortality,pop_normal,21527.0,290.0,native,0.5103448275862069,0.5492301172481989,0.0152247711140829,9721.0
ALB,PerRI,mortality,pop_normal,21527.0,290.0,rate_of:PerRI,0.5103448275862069,0.5492301172481989,0.0152247711140829,9721.0
ALB,NORMA_q_age_set,mortality,pop_normal,21527.0,290.0,native,0.1586206896551724,0.8297782172623251,0.012564872985523,3661.0
ALB,NORMA_q_age_set,mortality,pop_normal,21527.0,290.0,rate_of:PerRI,0.4310344827586206,0.5481471017563686,0.0128587593868943,9721.0
ALP,PerRI,mortality,pop_normal,22953.0,699.0,native,0.6580829756795422,0.2887121416374584,0.0282399165080729,16289.0
ALP,PerRI,mortality,pop_normal,22953.0,699.0,rate_of:PerRI,0.6580829756795422,0.2887121416374584,0.0282399165080729,16289.0
ALP,NORMA_q_age_set,mortality,pop_normal,22953.0,699.0,native,0.5908440629470673,0.6192594589736676,0.046477605221697,8886.0
ALP,NORMA_q_age_set,mortality,pop_normal,22953.0,699.0,rate_of:PerRI,0.8369098712446352,0.2943291093735957,0.0359138068635275,16289.0
ALT,PerRI,mortality,pop_normal,19333.0,643.0,native,0.5489891135303266,0.4080256821829855,0.0309188052903564,11417.0
ALT,PerRI,mortality,pop_normal,19333.0,643.0,rate_of:PerRI,0.5489891135303266,0.4080256821829855,0.0309188052903564,11417.0
ALT,NORMA_q_age_set,mortality,pop_normal,19333.0,643.0,native,0.5489891135303266,0.690529695024077,0.0575199608929444,6137.0
ALT,NORMA_q_age_set,mortality,pop_normal,19333.0,643.0,rate_of:PerRI,0.7340590979782271,0.4143927233814874,0.0413418586318647,11417.0
AST,PerRI,mortality,pop_normal,21577.0,656.0,native,0.6448170731707317,0.3665216767840925,0.0309300965194501,13676.0
AST,PerRI,mortality,pop_normal,21577.0,656.0,rate_of:PerRI,0.6448170731707317,0.3665216767840925,0.0309300965194501,13676.0
AST,NORMA_q_age_set,mortality,pop_normal,21577.0,656.0,native,0.5152439024390244,0.7302710195497347,0.0565122889148971,5981.0
AST,NORMA_q_age_set,mortality,pop_normal,21577.0,656.0,rate_of:PerRI,0.8323170731707317,0.3724009368577028,0.0399239543726235,13676.0
BUN,PerRI,mortality,pop_normal,22198.0,561.0,native,0.4491978609625668,0.4525119009104774,0.0208298892378905,12098.0
BUN,PerRI,mortality,pop_normal,22198.0,561.0,rate_of:PerRI,0.4491978609625668,0.4521421638859361,0.020816124235916,12106.0
BUN,NORMA_q_age_set,mortality,pop_normal,22198.0,561.0,native,0.3654188948306595,0.7757082774876369,0.0405298536971134,5058.0
BUN,NORMA_q_age_set,mortality,pop_normal,22198.0,561.0,rate_of:PerRI,0.6720142602495544,0.4582890419189351,0.0311621755662092,12098.0
CA,PerRI,mortality,pop_normal,20856.0,581.0,native,0.5215146299483648,0.5505302096177559,0.032179269328802,9416.0
CA,PerRI,mortality,pop_normal,20856.0,581.0,rate_of:PerRI,0.5215146299483648,0.5505302096177559,0.032179269328802,9416.0
CA,NORMA_q_age_set,mortality,pop_normal,20856.0,581.0,native,0.3683304647160069,0.812379778051788,0.0532603285216525,4018.0
CA,NORMA_q_age_set,mortality,pop_normal,20856.0,581.0,rate_of:PerRI,0.6247848537005164,0.5534895191122071,0.0385514018691588,9416.0
CL,PerRI,mortality,pop_normal,24134.0,660.0,native,0.406060606060606,0.5369770810258158,0.0240639310406752,11137.0
CL,PerRI,mortality,pop_normal,24134.0,660.0,rate_of:PerRI,0.406060606060606,0.5369770810258158,0.0240639310406752,11137.0
CL,NORMA_q_age_set,mortality,pop_normal,24134.0,660.0,native,0.3409090909090909,0.8266166822867854,0.0523864959254947,4295.0
CL,NORMA_q_age_set,mortality,pop_normal,24134.0,660.0,rate_of:PerRI,0.6575757575757576,0.5440487347703843,0.0389692017598994,11137.0
CO2,PerRI,mortality,pop_normal,9282.0,555.0,native,0.3621621621621622,0.5444024292425805,0.0481206607613119,4177.0
CO2,PerRI,mortality,pop_normal,9282.0,555.0,rate_of:PerRI,0.3621621621621622,0.5444024292425805,0.0481206607613119,4177.0
CO2,NORMA_q_age_set,mortality,pop_normal,9282.0,555.0,native,0.2504504504504504,0.8336198006187694,0.0873664362036455,1591.0
CO2,NORMA_q_age_set,mortality,pop_normal,9282.0,555.0,rate_of:PerRI,0.5405405405405406,0.5557465337458463,0.0718218817333014,4177.0
CRE,PerRI,mortality,pop_normal,33350.0,635.0,native,0.5307086614173229,0.6979367262723521,0.0329777864761718,10219.0
CRE,PerRI,mortality,pop_normal,33350.0,635.0,rate_of:PerRI,0.5307086614173229,0.6979367262723521,0.0329777864761718,10219.0
