outcome,analyte,method,n,n_flagged,flag_rate,logrank_p,rr_24h,rr_72h,rr_168h,rr_720h,landmark_hours,anchor,target_sensitivity
mortality,WBC,StandardOfCare,3377,627,0.1856677524429967,2.996369994205183e-14,25.5898856354311,6.647980933869246,5.344520805242018,2.8725506553479803,168.0,soc_rate,0.25
mortality,CA,NORMA_q_age_set,2200,496,0.2254545454545454,0.9010472498422608,0.2133600129397151,0.5039004722275624,0.7564449453039365,0.975583190157722,168.0,soc_rate,0.25
mortality,CRE,StandardOfCare,2862,433,0.1512928022361984,3.599851720810789e-23,5.106386028318185,4.1576164732867325,4.870482492598563,4.414374961108619,168.0,soc_rate,0.25
mortality,CA,NORMA_334f7e21,2200,496,0.2254545454545454,0.8810342217494771,0.4445292028574317,0.8042358426424456,0.8934727523150395,0.8416750849016319,168.0,soc_rate,0.25
mortality,CA,NORMA_q_age,2200,471,0.214090909090909,0.4277261523548445,0.7200663605081343,0.789433807233651,0.9095741030915668,1.1554146433144812,168.0,sensitivity,0.25
mortality,CA,NORMA_q_age,2200,496,0.2254545454545454,0.76493210531927,0.6730383030032326,0.564030276956725,0.8325910117461381,0.9120068679511047,168.0,soc_rate,0.25
mortality,CA,NORMA_q_age_set_co,2200,462,0.21,0.4018292404240986,0.4502819720715217,0.812941590056004,0.9369207362499408,1.2166195662380928,168.0,sensitivity,0.25
mortality,CA,NORMA_q_age_set_co,2200,496,0.2254545454545454,0.208685200027612,1.3244021969996325,1.0490839446260998,0.9939661344213984,1.3899464266496726,168.0,soc_rate,0.25
mortality,CA,StandardOfCare,2200,496,0.2254545454545454,2.397631433625396e-05,1.5553318762578934,1.4957565529785866,2.5237506680911013,1.4863817729884443,168.0,sensitivity,0.25
mortality,CA,StandardOfCare,2200,496,0.2254545454545454,2.397631433625396e-05,1.5553318762578934,1.4957565529785866,2.5237506680911013,1.4863817729884443,168.0,soc_rate,0.25
mortality,CL,PopRI,14117,2447,0.1733371112842672,0.0404616139078265,0.6401355246049285,1.381287235610529,1.1733366867073274,1.2280713775881318,0.0,sensitivity,0.25
mortality,CL,PerRI,14117,3854,0.2730041793582206,0.5505671346084944,2.256861158281865,1.4931292941219707,0.9958050679306044,0.9000541975697696,0.0,sensitivity,0.25
mortality,CL,Cohen_m2,14117,2666,0.188850322306439,0.0917248890718534,1.613189343863788,1.5364089755922326,1.276838027708432,1.2685555189460238,0.0,sensitivity,0.25
mortality,CL,Cohen_m3,14117,2539,0.1798540766451795,0.0338982684821044,0.6397139240995826,1.337887062803888,1.0741998234640542,1.2035426477181932,0.0,sensitivity,0.25
mortality,CL,Cohen_m4,14117,2711,0.1920379684068853,0.0098725024563205,0.9362296210795328,1.5711711201804792,1.2051688790324546,1.375375543078899,0.0,sensitivity,0.25
mortality,CL,Gaussian_mle,14117,2860,0.2025926188283629,0.0333746059409195,1.0856450495898196,1.544733765769673,1.0988036513012387,1.0941148730204804,0.0,sensitivity,0.25
mortality,CL,Gaussian_trunc,14117,4804,0.3402989303676418,0.0976764395648981,0.8448692356722779,0.8855917043747137,0.6504664833731363,0.7012206353827397,0.0,sensitivity,0.25
mortality,CL,Gaussian_eb,14117,2886,0.2044343699086208,0.0601053695454719,0.8801946065469216,1.37769763404824,1.0249885493597242,1.1973515128360994,0.0,sensitivity,0.25
mortality,CL,NORMA_q_age_set,14117,2883,0.204221860168591,0.1880403104586292,1.2411819636178305,1.271580936101498,1.1419193240114531,1.063899042730288,0.0,sensitivity,0.25
mortality,CL,NORMA_334f7e21,14117,2487,0.1761705744846639,0.0143705151876691,1.507706032192697,1.6247523458513529,1.5219278450830451,1.2478593612204854,0.0,sensitivity,0.25
mortality,CL,NORMA_q_age,14117,2897,0.2052135722887299,0.3576970827603051,1.4531516111633342,1.440804066747097,1.0931691839887014,1.1036185930957578,0.0,sensitivity,0.25
mortality,CL,NORMA_q_age_set_co,14117,2490,0.1763830842246936,0.1792530396350675,1.4841208639515011,1.3003178713909724,1.1333233616631542,0.9375181371480408,0.0,sensitivity,0.25
mortality,CL,PopRI,12993,704,0.0541830216270299,0.3346819494881451,3.734207045367625,1.4494596156812325,1.129584837164798,1.178783894682866,24.0,soc_rate,0.25
mortality,CL,PopRI,12993,2427,0.1867928884784114,0.0759795734982168,1.8855205102683208,1.5968487449589237,0.997140077818206,1.1683418330995068,24.0,sensitivity,0.25
mortality,CA,NORMA_q_age_set,2200,545,0.2477272727272727,0.2696815977278345,0.369762592807526,0.5458896666848347,0.821600496081432,1.3374335367796302,168.0,sensitivity,0.25
mortality,CA,Gaussian_eb,2200,490,0.2227272727272727,0.6830560530458331,1.0138198731639754,0.937878168645486,0.6010176601006679,1.0235480484349304,168.0,soc_rate,0.25
mortality,CA,NORMA_334f7e21,4574,817,0.1786182772190643,0.7641275759144232,1.214980809613058,0.9505603192189384,0.7341603408333607,0.8909839011052112,72.0,soc_rate,0.25
mortality,CA,NORMA_q_age,4574,1014,0.2216878006121556,0.2537258527324453,1.960554405764244,1.5815627744828469,1.0281355368358114,1.0561390250571847,72.0,sensitivity,0.25
mortality,CA,NORMA_q_age,4574,817,0.1786182772190643,0.5384025273038029,0.7581665284876329,1.6408543505934765,1.0887110683422578,0.9194871084491466,72.0,soc_rate,0.25
mortality,CA,NORMA_q_age_set_co,4574,971,0.2122868386532575,0.2195791124790353,2.075850502633568,1.6189736941647166,0.9958004586625828,0.9216865141319682,72.0,sensitivity,0.25
mortality,CA,NORMA_q_age_set_co,4574,817,0.1786182772190643,0.6538825394302574,0.8174350087832414,1.1167027146797452,0.9090652788715924,1.0016795975591786,72.0,soc_rate,0.25
mortality,CA,StandardOfCare,4574,817,0.1786182772190643,1.3649591263873669e-17,6.978716730158421,4.039800492726741,3.0614990378999014,2.257645813612133,72.0,sensitivity,0.25
mortality,CA,StandardOfCare,4574,817,0.1786182772190643,1.3649591263873669e-17,6.978716730158421,4.039800492726741,3.0614990378999014,2.257645813612133,72.0,soc_rate,0.25
mortality,CA,PopRI,2200,574,0.2609090909090909,0.9389232950274774,0.5654051141884021,0.6452272423708653,1.0010440761432844,0.90515755751172,168.0,sensitivity,0.25
mortality,CA,PopRI,2200,496,0.2254545454545454,0.927169611560524,0.6859570418638548,0.7807239512497565,1.2079391085827795,0.7064076507996173,168.0,soc_rate,0.25
mortality,CA,PerRI,2200,572,0.26,0.9020369496364502,1.3126582071312565,1.5668408078056246,0.9273215210917608,0.761414505486238,168.0,sensitivity,0.25
mortality,CA,Cohen_m2,2200,379,0.1722727272727272,0.0207602886077222,1.6835146677189297,1.334594786473032,1.417160938854288,1.6484029881630708,168.0,sensitivity,0.25
mortality,CL,NORMA_q_age_set,12993,2782,0.2141152928499961,0.3726995599176225,1.0042329600370448,1.306505002296253,0.9544844849289178,1.0065775287103602,24.0,sensitivity,0.25
mortality,CA,Cohen_m2,2200,496,0.2254545454545454,0.0091921124486492,1.2124052822910076,1.7158746260166593,1.771254166387544,1.543628323506261,168.0,soc_rate,0.25
mortality,CA,Cohen_m3,2200,355,0.1613636363636363,0.0048509748308135,1.4559855302215492,1.054913411724064,1.956170852370536,1.7084501088822113,168.0,sensitivity,0.25
mortality,CA,Cohen_m3,2200,496,0.2254545454545454,0.7132072009551822,1.2275000367631754,0.9580431357049906,1.4497150214404533,1.1863810110790862,168.0,soc_rate,0.25
mortality,CA,Cohen_m4,2200,408,0.1854545454545454,0.0500785746236405,0.8125739956162573,0.7119494133291467,1.673223586438788,1.5316278642499468,168.0,sensitivity,0.25
mortality,CA,Cohen_m4,2200,496,0.2254545454545454,0.4772673788424288,1.187331434717993,0.799827958003268,1.3367365266312086,1.3196193525950757,168.0,soc_rate,0.25
mortality,CA,Gaussian_mle,2200,663,0.3013636363636364,0.6524575580680656,1.107915615664252,0.9394711544779124,0.7144921211225151,0.7832803015400842,168.0,sensitivity,0.25
mortality,CA,Gaussian_mle,2200,490,0.2227272727272727,0.7330121432767,0.965384090826009,0.918089715424658,0.5957959216984918,0.9812997323208624,168.0,soc_rate,0.25
mortality,CA,Gaussian_trunc,2200,508,0.2309090909090909,0.9585645359507204,1.5607037833502444,0.9159397098908202,1.1734778717886616,0.9771368604817045,168.0,sensitivity,0.25
mortality,CA,Gaussian_trunc,2200,490,0.2227272727272727,0.1490209963326426,1.243063231886827,0.99117364746089,0.7241953719976076,0.6569046165776646,168.0,soc_rate,0.25
mortality,CA,Gaussian_eb,2200,586,0.2663636363636363,0.6527988166132097,1.3026633293139074,1.3217491930064118,0.7149292648607943,1.0565779469479823,168.0,sensitivity,0.25
mortality,CL,PerRI,12993,3680,0.2832294312322019,0.8204961824863604,1.731364236533192,1.1634448778740365,1.0732746794525556,0.8517258872518058,24.0,sensitivity,0.25
