split,analyte,n_patients,value_mean,value_std,time_span_mean,time_span_std,tests_per_person_mean,tests_per_person_std
all,A1C,39996,6.55,1.31,1565.8,1342.8,5.5,5.4
all,ALB,55220,3.76,0.77,1039.3,1277.1,7.8,13.4
all,ALP,78930,107.0,58.35,1013.1,1287.0,8.5,14.4
all,ALT,92599,30.17,21.91,1155.0,1355.9,8.9,14.6
all,AST,90639,32.74,21.44,1130.3,1345.6,8.8,14.6
all,BUN,153329,22.23,14.28,960.6,1316.7,12.7,20.6
all,CA,121478,8.83,0.74,825.9,1225.1,11.7,19.8
all,CL,148304,101.82,5.21,924.1,1298.7,12.9,21.6
all,CO2,145386,25.61,4.1,905.7,1288.2,12.7,21.3
all,CRE,156044,1.08,0.55,975.4,1320.9,12.8,20.5
all,DBIL,6635,0.69,0.89,645.7,877.2,4.3,4.3
all,GLU,147195,118.29,40.36,893.7,1271.6,11.4,19.1
all,HCT,164903,33.59,6.8,956.5,1307.6,12.1,19.5
all,HDL,49011,55.8,17.69,1678.3,1392.1,5.1,4.2
all,HGB,162168,10.97,2.34,957.7,1307.7,12.0,19.4
all,K,150333,4.17,0.54,933.1,1307.7,13.1,21.7
all,LDL,48688,104.25,37.77,1678.3,1390.2,5.1,4.3
all,MCH,161671,29.71,2.79,957.2,1307.4,11.9,19.3
all,MCHC,161806,32.57,1.61,957.3,1307.5,11.9,19.3
all,MCV,161661,91.21,7.26,957.3,1307.5,11.9,19.2
all,NA,149303,138.74,4.18,930.4,1304.0,13.0,21.7
all,PLT,162308,229.35,113.26,960.0,1308.5,12.0,19.8
all,RBC,161825,3.72,0.81,957.3,1307.6,11.9,19.3
all,RDW,161640,15.14,2.38,957.7,1307.7,11.8,19.1
all,TBIL,73002,0.67,0.56,970.1,1260.9,8.4,14.7
all,TC,49762,187.5,44.65,1674.4,1392.2,5.1,4.2
all,TGL,48445,140.36,77.55,1604.8,1389.0,4.9,4.1
all,TP,18673,6.99,0.72,1161.7,1192.8,3.9,3.5
all,WBC,164291,7.71,3.96,957.2,1309.4,12.2,19.7
baseline,A1C,1970,6.82,1.29,1998.1,928.2,9.1,4.7
baseline,ALB,3217,3.72,0.75,1287.6,1200.6,13.9,15.7
baseline,ALP,5183,110.68,60.05,1198.5,1220.3,13.9,16.5
baseline,ALT,6522,31.56,22.47,1385.5,1217.8,13.6,14.8
baseline,AST,6409,33.97,22.26,1384.4,1242.1,13.8,15.4
baseline,BUN,14498,22.72,14.19,1161.6,1254.4,17.2,20.1
baseline,CA,10588,8.82,0.74,997.7,1219.3,16.9,20.7
baseline,CL,13890,101.77,5.33,1100.0,1237.3,17.4,21.0
baseline,CO2,13461,25.7,4.21,1099.1,1257.2,17.3,20.4
baseline,CRE,14449,1.08,0.54,1156.7,1255.7,17.0,19.4
baseline,DBIL,189,0.69,0.81,897.0,921.6,8.9,5.4
baseline,GLU,12787,120.02,41.0,1053.8,1228.0,15.9,19.2
baseline,HCT,15378,33.19,6.75,1137.0,1232.7,16.1,18.0
baseline,HDL,2405,55.21,17.21,2106.7,888.9,7.9,3.6
baseline,HGB,14656,10.85,2.31,1156.9,1243.2,16.2,18.8
baseline,K,14292,4.16,0.55,1115.6,1249.4,17.3,20.0
baseline,LDL,2434,107.08,38.49,2087.0,877.1,7.9,3.3
baseline,MCH,14511,29.75,2.84,1160.0,1255.7,16.3,19.2
baseline,MCHC,14745,32.62,1.62,1152.5,1232.4,16.1,18.2
baseline,MCV,14582,91.17,7.43,1159.8,1244.1,16.2,18.7
baseline,NA,14032,138.66,4.24,1140.8,1264.5,17.7,21.1
baseline,PLT,14639,229.86,117.54,1156.7,1243.0,16.3,19.4
baseline,RBC,14720,3.67,0.8,1150.3,1235.8,16.1,18.2
baseline,RDW,14595,15.22,2.31,1167.2,1251.2,16.1,18.0
baseline,TBIL,4557,0.71,0.59,1135.2,1214.8,14.7,18.7
baseline,TC,2416,190.98,45.14,2109.6,882.4,7.9,3.3
baseline,TGL,2218,147.43,78.68,2069.9,905.5,7.9,3.5
baseline,TP,461,6.99,0.69,1485.6,1039.4,7.9,4.0
baseline,WBC,15256,7.67,4.04,1150.4,1229.7,16.3,19.1
index,A1C,1970,6.85,1.32,701.8,533.2,3.5,1.6
index,ALB,3217,3.68,0.77,423.9,579.0,5.1,5.3
index,ALP,5183,117.19,63.97,358.2,529.6,5.1,5.5
index,ALT,6522,27.85,20.63,455.7,576.5,5.0,5.0
index,AST,6409,31.38,20.79,424.2,565.5,5.1,5.2
index,BUN,14498,24.69,15.73,312.2,495.1,6.2,6.7
index,CA,10588,8.85,0.74,246.7,487.6,6.1,6.9
index,CL,13890,101.28,5.55,304.5,509.1,6.3,7.0
index,CO2,13461,25.4,4.33,289.3,502.1,6.3,6.8
index,CRE,14449,1.15,0.63,322.9,492.2,6.1,6.5
index,DBIL,189,0.77,0.98,327.2,447.3,3.4,1.9
index,GLU,12787,119.59,40.99,289.5,537.5,5.8,6.4
index,HCT,15378,32.68,6.82,322.1,519.5,5.8,6.0
index,HDL,2405,55.29,17.44,756.5,528.7,3.1,1.3
index,HGB,14656,10.54,2.31,327.0,523.3,5.9,6.3
index,K,14292,4.2,0.55,301.8,494.7,6.3,6.7
index,LDL,2434,97.32,38.86,759.9,526.7,3.1,1.2
index,MCH,14511,29.57,2.82,320.7,520.3,5.9,6.4
index,MCHC,14745,32.14,1.58,323.9,516.3,5.8,6.1
index,MCV,14582,92.05,7.59,325.8,518.1,5.9,6.3
index,NA,14032,138.71,4.36,305.7,507.2,6.4,7.1
index,PLT,14639,225.09,117.55,325.5,530.0,5.9,6.5
index,RBC,14720,3.59,0.82,323.6,525.1,5.8,6.1
index,RDW,14595,15.69,2.6,322.8,513.1,5.8,6.0
index,TBIL,4557,0.69,0.58,351.1,549.1,5.4,6.3
index,TC,2416,180.31,45.71,776.0,531.1,3.1,1.2
index,TGL,2218,144.85,76.63,751.3,541.0,3.1,1.2
index,TP,461,6.95,0.69,593.4,630.4,3.1,1.4
index,WBC,15256,7.7,3.96,325.3,519.9,5.9,6.4
train,A1C,27997,6.56,1.31,1566.0,1337.4,5.5,5.4
train,ALB,38654,3.76,0.77,1043.2,1276.6,7.8,13.4
train,ALP,55251,106.68,58.02,1018.0,1294.4,8.5,14.4
train,ALT,64819,30.17,21.88,1159.3,1359.3,8.9,14.6
train,AST,63447,32.78,21.45,1130.3,1344.3,8.8,14.7
train,BUN,107330,22.19,14.28,960.5,1317.1,12.7,20.6
train,CA,85034,8.83,0.74,825.8,1224.9,11.7,19.7
train,CL,103813,101.84,5.2,923.4,1300.1,12.9,21.3
train,CO2,101770,25.61,4.08,903.5,1286.8,12.7,21.1
train,CRE,109231,1.08,0.55,978.9,1323.5,12.8,20.6
train,DBIL,4644,0.69,0.9,654.5,889.8,4.2,4.2
train,GLU,103036,118.18,40.33,895.3,1273.1,11.5,19.1
train,HCT,115432,33.6,6.8,957.2,1308.6,12.1,19.8
train,HDL,34308,55.82,17.71,1678.6,1393.7,5.1,4.2
train,HGB,113517,10.98,2.34,956.8,1306.7,12.0,19.4
train,K,105233,4.17,0.54,935.6,1310.9,13.1,21.8
train,LDL,34081,104.32,37.71,1673.1,1393.2,5.1,4.3
train,MCH,113170,29.71,2.79,958.7,1308.1,11.9,19.1
train,MCHC,113264,32.57,1.61,955.4,1307.2,11.9,19.5
train,MCV,113163,91.2,7.24,955.4,1304.9,11.9,19.1
train,NA,104513,138.73,4.18,926.7,1301.1,13.0,21.5
