dataset,target_state,analyte,method,n,mae,mape,rmse,r2,bias,n_analytes,n_targets
mimiciv,normal,A1C,NORMA_normal,177.0,0.1778864661179019,3.454157368828329,0.2567747968168665,0.1059258384370902,0.0426539458797476,,
mimiciv,normal,A1C,NORMA_marginal,177.0,0.256811823513862,4.952109040382038,0.3810657894887231,-0.9691041085531726,0.1881267185730541,,
mimiciv,normal,A1C,NORMA_marginal_freq,177.0,0.3698073987108813,7.219574861165009,0.4649437288072969,-1.9313626110412545,0.3688815290318301,,
mimiciv,normal,A1C,NORMA_oracle,177.0,0.1778864661179019,3.454157368828329,0.2567747968168665,0.1059258384370902,0.0426539458797476,,
mimiciv,normal,A1C,Mean,177.0,0.3308899394401483,6.352048475934162,0.4715827241232062,-2.015674955676793,0.2780883183785478,,
mimiciv,normal,A1C,Last,177.0,0.3059322341013762,5.849614800059815,0.5457204105783825,-3.038398296519003,0.1844632827629478,,
mimiciv,normal,A1C,ARIMA,177.0,0.4826984123771523,9.146866165613435,1.1009765546900068,-15.437088639092728,0.2492482338589226,,
mimiciv,normal,A1C,PopRI,177.0,0.5387005649717516,9.977363747022086,0.5821861196954989,-3.596131538511484,-0.5149717514124295,,
mimiciv,normal,A1C,PerRI,177.0,0.3052042697377904,5.8803774666150535,0.4455357193280371,-1.691744357569009,0.249911637862351,,
mimiciv,normal,A1C,Gaussian_mle,177.0,0.2405928534742093,4.609505180040051,0.332152623349923,-0.4960431823297471,-0.0375330382110043,,
mimiciv,normal,A1C,Gaussian_trunc,177.0,1.143908076350076,21.29997386714639,2.1146355958884864,-59.63729683544764,0.849380241924189,,
mimiciv,normal,A1C,Gaussian_eb,177.0,0.2051456191025485,3.98162714171568,0.2895096903306327,-0.1365667984751974,0.018806272233811,,
mimiciv,normal,A1C,Cohen_m2,177.0,0.3274399590357549,6.258324059581081,0.409494930571196,-1.2738709586705763,0.259523558751338,,
mimiciv,normal,A1C,Cohen_m3,177.0,0.268173179518705,5.17639432261533,0.3456886154236458,-0.6204622188998485,0.1770739501478982,,
mimiciv,normal,A1C,Cohen_m4,177.0,0.2253883431860283,4.360124510310984,0.2904285466262618,-0.1437928007650468,0.1488502281533796,,
mimiciv,all_states,A1C,NORMA_normal,882.0,1.0004717427857068,13.014407209266372,1.5366750851717224,-0.3763235818899748,-0.9425315098967952,,
mimiciv,all_states,A1C,NORMA_marginal,882.0,0.4416399757768269,6.099653677278489,0.7106093280461218,0.7056810269234962,-0.1346892529234995,,
mimiciv,all_states,A1C,NORMA_marginal_freq,882.0,0.5830570126823329,7.865728815435398,0.9122678794957572,0.5149335705123421,-0.3664817766541997,,
mimiciv,all_states,A1C,NORMA_oracle,882.0,0.4048499286850563,5.584882150661617,0.6644358779817071,0.7426864823705404,-0.0677042584840943,,
mimiciv,all_states,A1C,Mean,882.0,0.518321512867861,7.282678253903542,0.8098699936937427,0.6177151669578903,-0.0180525708844385,,
mimiciv,all_states,A1C,Last,882.0,0.4676304051665221,6.64883794644174,0.7717059373155299,0.6528955875409426,0.0239796017843579,,
mimiciv,all_states,A1C,ARIMA,882.0,0.6160747596567769,8.905686691961622,1.1880804456498109,0.1772874026209504,0.1011313310302497,,
mimiciv,all_states,A1C,PopRI,882.0,1.8917233560090707,25.91234583964357,2.2970268173328945,-2.0753077476451938,-1.8869614512471653,,
mimiciv,all_states,A1C,PerRI,882.0,0.5350800870479627,7.418053023935618,0.8566229246305949,0.5723033618084743,-0.0817442134282059,,
mimiciv,all_states,A1C,Gaussian_mle,882.0,1.7742945489884263,23.90067358466861,2.2587013819651625,-1.9735420641213888,-1.7335444500070356,,
mimiciv,all_states,A1C,Gaussian_trunc,882.0,2.0834748703032893,29.392187266057,2.569234595717557,-2.847370174625494,-1.3629355632968458,,
mimiciv,all_states,A1C,Gaussian_eb,882.0,1.7158758432906784,22.94542828951218,2.2318575176503925,-1.9032830771908504,-1.6709331167980075,,
mimiciv,all_states,A1C,Cohen_m2,882.0,0.9848945286809182,12.646172144008402,1.4978664175502774,-0.3076834252811655,-0.8401351465930204,,
mimiciv,all_states,A1C,Cohen_m3,882.0,1.0320914306337872,13.317946578326392,1.532352778717995,-0.3685919202802583,-0.9354570424475636,,
mimiciv,all_states,A1C,Cohen_m4,882.0,1.0731913449812909,13.800489731364175,1.5885359881120311,-0.4707896587533333,-0.9956228818482552,,
mimiciv,normal,ALB,NORMA_normal,977.0,0.2010834704646068,4.855200807116477,0.2679859271505317,0.5444317269861731,0.0233074102333404,,
mimiciv,normal,ALB,NORMA_marginal,977.0,0.2332580972092099,5.623528913236067,0.3257364628076571,0.3269268806490382,-0.0754949048590855,,
mimiciv,normal,ALB,NORMA_marginal_freq,977.0,0.2322197962497559,5.415389623500456,0.3059449947551382,0.4062328052412407,-0.1482873672174427,,
mimiciv,normal,ALB,NORMA_oracle,977.0,0.2010834704646068,4.855200807116477,0.2679859271505317,0.5444317269861731,0.0233074102333404,,
mimiciv,normal,ALB,Mean,977.0,0.2920427850362064,7.033490775534503,0.4129044010699152,-0.0815049667623997,-0.1097744260477203,,
mimiciv,normal,ALB,Last,977.0,0.2682190463145167,6.478519761830789,0.3855932928986679,0.0568333486837867,-0.0592118772293918,,
mimiciv,normal,ALB,ARIMA,977.0,0.3242283589718846,7.810259069559806,0.4989269987146796,-0.5790777200714317,-0.0612470780904246,,
mimiciv,normal,ALB,PopRI,977.0,0.3880757420675537,9.905241640685592,0.4912619265222558,-0.5309313213006166,0.2893039918116683,,
mimiciv,normal,ALB,PerRI,977.0,0.3029730854628314,7.327258808253964,0.440318015980512,-0.2298790537066211,-0.0924355383051544,,
mimiciv,normal,ALB,Gaussian_mle,977.0,0.2415907605493928,5.9020748236850125,0.3247671534578484,0.3309267113677162,0.0438826773336413,,
mimiciv,normal,ALB,Gaussian_trunc,977.0,0.6312751351504249,15.786290802598172,1.4804349265376038,-12.902987722372432,-0.3579141350603145,,
mimiciv,normal,ALB,Gaussian_eb,977.0,0.2346773681111132,5.723047980044249,0.3123605459985202,0.3810695622842396,0.0331776107442186,,
mimiciv,normal,ALB,Cohen_m2,977.0,0.2907897106334643,6.992015611272097,0.393663507096462,0.0169404901528763,-0.098627081522556,,
mimiciv,normal,ALB,Cohen_m3,977.0,0.2562851865313558,6.056957901242625,0.3394708355305301,0.2689712909869822,-0.0868140524705088,,
mimiciv,normal,ALB,Cohen_m4,977.0,0.2280823262467476,5.46095584241031,0.3006735583458534,0.4265177652130727,-0.0211244977484461,,
mimiciv,all_states,ALB,NORMA_normal,1480.0,0.3861721091979259,13.521053675448613,0.5648964081439126,0.4812941193068649,0.2677809474597106,,
mimiciv,all_states,ALB,NORMA_marginal,1480.0,0.2627695752361834,7.899748987433202,0.3842534306251021,0.7599956836919894,0.0218195668027341,,
mimiciv,all_states,ALB,NORMA_marginal_freq,1480.0,0.3562984465141025,11.927885489561298,0.4972433719228494,0.5980967197881526,0.1023726479670183,,
mimiciv,all_states,ALB,NORMA_oracle,1480.0,0.2087045979499817,6.122901250119116,0.2878474457692732,0.8653183881750264,0.022208379829252,,
mimiciv,all_states,ALB,Mean,1480.0,0.3441626867873406,10.484742739630464,0.4811929888417287,0.6236238228087495,0.0464077628668276,,
mimiciv,all_states,ALB,Last,1480.0,0.2826351438825194,8.26640578929017,0.4168373505372245,0.7175661158183191,0.0045945915177061,,
mimiciv,all_states,ALB,ARIMA,1480.0,0.3454510964684486,10.066572381347989,0.5435206958030264,0.5198071202473574,0.0128718878939964,,
mimiciv,all_states,ALB,PopRI,1480.0,0.826114864864865,28.833726315734094,1.0927888634132397,-0.9411364560058167,0.7609121621621622,,
mimiciv,all_states,ALB,PerRI,1480.0,0.3543282832364544,10.710205478023228,0.5077734657775888,0.5808943164968732,0.053541302363058,,
mimiciv,all_states,ALB,Gaussian_mle,1480.0,0.6063088233402187,21.94535773536378,0.9016489188001888,-0.3214735581288179,0.4757947711092801,,
mimiciv,all_states,ALB,Gaussian_trunc,1480.0,1.0347797259310096,34.071218048813535,1.7795750423261465,-4.1477347156885935,-0.0827751638373033,,
mimiciv,all_states,ALB,Gaussian_eb,1480.0,0.5769340395049927,20.8931885344835,0.8581770964469528,-0.1971191671334102,0.4439169699459007,,
mimiciv,all_states,ALB,Cohen_m2,1480.0,0.4181192560453673,14.151533273422784,0.583361649056666,0.4468291397851948,0.1597264556627015,,
mimiciv,all_states,ALB,Cohen_m3,1480.0,0.4779400391192049,16.575406466214428,0.6582132985547279,0.2957662246515213,0.251448176615947,,
mimiciv,all_states,ALB,Cohen_m4,1480.0,0.4768622331039325,16.855329784736686,0.671048392107176,0.2680334659997585,0.3123520526692673,,
mimiciv,normal,ALP,NORMA_normal,1653.0,8.897919543497647,11.939974776004137,12.372513916248092,0.6443126962294965,-0.0826506732956828,,
mimiciv,normal,ALP,NORMA_marginal,1653.0,10.683461810042845,14.137924674881123,17.53766723503134,0.2853455337386815,3.381456726521114,,
mimiciv,normal,ALP,NORMA_marginal_freq,1653.0,9.80596643220363,13.833275421039271,13.463709056467012,0.5788062697269946,4.533605766213852,,
mimiciv,normal,ALP,NORMA_oracle,1653.0,8.897919543497647,11.939974776004137,12.372513916248092,0.6443126962294965,-0.0826506732956828,,
mimiciv,normal,ALP,Mean,1653.0,18.325525958430045,24.42583041899477,29.27784182188038,-0.9917305355095156,7.938968823835792,,
mimiciv,normal,ALP,Last,1653.0,11.930127041742288,15.590655662632516,21.26635522342294,-0.0508448232996938,3.55686630369026,,
mimiciv,normal,ALP,ARIMA,1653.0,17.202566066587824,22.48138408007363,35.28970353815184,-1.8936665322733592,5.313643876533152,,
mimiciv,normal,ALP,PopRI,1653.0,17.326981246218995,24.19715482181828,21.019655624320617,-0.0266056601400817,-3.383847549909256,,
mimiciv,normal,ALP,PerRI,1653.0,17.969030546223767,23.38518713492933,30.50808412057752,-1.162630540848141,4.905857626104394,,
mimiciv,normal,ALP,Gaussian_mle,1653.0,12.082431495477682,16.043225741758192,16.098606146236285,0.3978162770397181,-2.1972395450528057,,
mimiciv,normal,ALP,Gaussian_trunc,1653.0,22.63516898862318,30.2195962853859,56.55618208062179,-6.432118566211663,2.460257641210578,,
mimiciv,normal,ALP,Gaussian_eb,1653.0,11.8699043966132,15.930441426129043,15.675893059780028,0.4290250625823032,-1.8077431940869684,,
mimiciv,normal,ALP,Cohen_m2,1653.0,13.280815959914266,18.447839316579284,17.092306536971563,0.3211812849674376,0.9613957436821784,,
mimiciv,normal,ALP,Cohen_m3,1653.0,15.394303300491767,22.35351361846984,19.78732914759293,0.090240043125288,5.575983503264365,,
mimiciv,normal,ALP,Cohen_m4,1653.0,14.662010135177548,20.715880315355985,19.408204745223102,0.1247679923708854,5.607506751437224,,
mimiciv,all_states,ALP,NORMA_normal,2374.0,26.5701096148278,18.25801209221628,49.39101024002169,0.3154244210107766,-20.15630461653442,,
mimiciv,all_states,ALP,NORMA_marginal,2374.0,16.33946968625675,14.577607880675316,28.31993660670665,0.7749338729862354,-2.830869834979852,,
mimiciv,all_states,ALP,NORMA_marginal_freq,2374.0,25.56862695125065,18.71408832032703,46.63097562425765,0.3897966497413134,-15.236767273909496,,
mimiciv,all_states,ALP,NORMA_oracle,2374.0,13.655957442125354,12.282377468477854,22.563476901977545,0.8571311235582674,-1.0642572762891838,,
mimiciv,all_states,ALP,Mean,2374.0,26.96742591598367,24.49267733574271,42.328828873705824,0.4971967345189914,-3.3590711780160776,,
mimiciv,all_states,ALP,Last,2374.0,17.240732940185342,15.79709569029844,30.1269516211786,0.7452958835573482,0.2967565290648694,,
mimiciv,all_states,ALP,ARIMA,2374.0,23.048721768180982,21.7406736393428,44.371014814407694,0.447510145861988,1.826806304582744,,
mimiciv,all_states,ALP,PopRI,2374.0,44.99178601516428,34.11122873272435,69.23904373196237,-0.3453265285563893,-35.079401853411966,,
mimiciv,all_states,ALP,PerRI,2374.0,28.718362815862733,24.770498450538987,47.52767796690811,0.3661028819461153,-7.097095585980385,,
mimiciv,all_states,ALP,Gaussian_mle,2374.0,38.20767908035712,26.253088077818965,64.68485726131367,-0.1741696002413595,-31.24288184225321,,
mimiciv,all_states,ALP,Gaussian_trunc,2374.0,47.45896323991216,37.70825271340416,83.92227090704688,-0.9764236327003112,-24.38371578461161,,
mimiciv,all_states,ALP,Gaussian_eb,2374.0,37.66555913313916,25.959249653692872,63.950063812315136,-0.1476449452349701,-30.571885350454025,,
mimiciv,all_states,ALP,Cohen_m2,2374.0,37.54124013455655,27.172930717969106,61.53361280939686,-0.0625525375213582,-27.54096293429316,,
mimiciv,all_states,ALP,Cohen_m3,2374.0,37.670833949191085,29.224164900012777,59.98014041216919,-0.0095795386046968,-22.93928598052027,,
mimiciv,all_states,ALP,Cohen_m4,2374.0,29.56803852103795,23.80824791486253,48.43421724402594,0.3416904511232749,-15.110299125677814,,
mimiciv,normal,ALT,NORMA_normal,2179.0,4.073366182667774,20.002026265671223,5.9833259596266535,0.4269940815844576,-0.468165454102963,,
mimiciv,normal,ALT,NORMA_marginal,2179.0,4.777567395249145,23.767874804275664,7.534974206787371,0.0912648608864216,0.6238920796616872,,
mimiciv,normal,ALT,NORMA_marginal_freq,2179.0,4.131001320855546,21.04094645435239,5.986369024766571,0.4264110821755664,0.2674521930439429,,
mimiciv,normal,ALT,NORMA_oracle,2179.0,4.073366182667774,20.002026265671223,5.9833259596266535,0.4269940815844576,-0.468165454102963,,
mimiciv,normal,ALT,Mean,2179.0,9.357824471450831,50.71895316235305,13.853820943073735,-2.071941366334106,6.772785912864489,,
mimiciv,normal,ALT,Last,2179.0,6.358191831115191,32.0255180071214,11.231220621954582,-1.018959925265237,2.645938503900872,,
mimiciv,normal,ALT,ARIMA,2179.0,8.736221786925585,44.87528937369792,16.956046265480314,-3.60174943345444,4.039286213058095,,
mimiciv,normal,ALT,PopRI,2179.0,7.750344194584672,47.980825098953474,8.898063791532552,-0.2672573291160205,4.086278109224415,,
mimiciv,normal,ALT,PerRI,2179.0,8.243974010329412,42.95117443018348,13.275881299710262,-1.8209832218702413,4.193483568640327,,
mimiciv,normal,ALT,Gaussian_mle,2179.0,5.434538109653029,29.55483928340686,6.970138940789104,0.2223992831024797,1.269766284660676,,
mimiciv,normal,ALT,Gaussian_trunc,2179.0,18.83950111621324,106.53875156768385,37.0007869841715,-20.91269048605353,-5.476885840825191,,
mimiciv,normal,ALT,Gaussian_eb,2179.0,5.338595691727172,29.32537037939369,6.7604249684754425,0.2684874592626916,1.2353007144966104,,
mimiciv,normal,ALT,Cohen_m2,2179.0,7.863965269073865,42.32009857247919,11.048021198430297,-0.9536320863279016,4.154918616821373,,
mimiciv,normal,ALT,Cohen_m3,2179.0,8.832938764553761,50.15286004114019,12.307106025883185,-1.424296116943932,5.692677729389108,,
mimiciv,normal,ALT,Cohen_m4,2179.0,9.978737357998726,55.09912159372429,14.483790138387167,-2.357671688460478,7.132642725839042,,
mimiciv,all_states,ALT,NORMA_normal,2954.0,8.991912581263641,28.38687161829128,16.63823418545409,0.3597566146801507,-5.5371253314499285,,
mimiciv,all_states,ALT,NORMA_marginal,2954.0,7.54225343367506,27.23372953335896,13.35174105258502,0.5877065488197324,-2.6812618415810987,,
