split,analyte,n_patients,value_mean,value_std,time_span_mean,time_span_std,tests_per_person_mean,tests_per_person_std
all,A1C,19,6.94,1.7,4228.5,789.1,9.6,1.7
all,ALB,18,4.25,0.76,4071.6,568.2,9.2,2.1
all,ALP,16,78.65,31.14,3928.5,1151.8,9.4,2.0
all,ALT,24,35.17,15.01,4032.7,861.4,9.4,2.2
all,AST,13,31.01,13.39,3718.5,1103.0,9.3,2.1
all,BUN,18,14.97,5.52,4316.1,1078.8,8.5,1.5
all,CA,14,9.48,0.88,4053.3,834.3,9.9,1.7
all,CL,17,102.31,4.36,4119.6,877.9,9.2,2.0
all,CO2,21,25.86,3.56,4079.5,807.3,8.3,2.0
all,CRE,15,1.01,0.31,4107.8,643.1,9.1,2.5
all,CRP,20,2.33,1.4,4254.4,650.8,9.9,2.1
all,DBIL,13,0.23,0.11,3647.2,769.1,8.8,2.2
all,GGT,13,37.97,19.11,3998.5,1124.3,9.1,2.1
all,GLU,19,159.1,53.13,4419.1,833.2,9.1,1.6
all,HCT,12,44.06,4.6,4183.2,860.8,8.6,2.2
all,HDL,18,58.6,18.22,4373.7,519.3,9.1,1.8
all,HGB,13,14.31,2.28,3905.5,770.0,9.3,2.2
all,K,17,4.37,0.66,3673.2,1138.8,8.9,1.9
all,LDH,19,194.17,50.34,4124.1,807.7,8.6,1.6
all,LDL,25,115.82,35.88,4042.8,933.0,9.1,1.7
all,MCH,18,30.16,2.35,4357.1,644.6,9.7,1.8
all,MCHC,21,33.71,1.57,3949.8,885.8,9.0,2.1
all,MCV,17,87.85,6.88,4063.1,660.2,8.8,1.9
all,MPV,12,9.66,1.63,4577.7,571.8,10.2,1.6
all,NA,15,140.42,4.32,3778.9,932.5,9.5,2.2
all,PLT,17,315.31,104.09,4162.2,524.4,9.1,2.1
all,PT,16,11.77,1.7,3893.9,736.3,8.4,2.1
all,RBC,19,5.08,0.68,4190.5,703.7,10.0,1.5
all,RDW,23,13.36,1.49,4142.0,646.3,9.0,1.8
all,TBIL,25,0.83,0.39,4159.7,743.8,9.5,2.0
all,TC,16,192.77,37.86,3982.5,961.3,9.0,2.3
all,TGL,15,143.76,61.7,4182.7,561.7,8.5,2.1
all,TP,15,6.97,0.94,4147.3,586.0,8.4,2.1
all,WBC,24,7.58,2.35,4128.2,763.2,8.8,1.8
baseline,A1C,19,7.01,1.69,2650.3,665.3,7.2,1.6
baseline,ALB,18,4.26,0.76,2772.7,515.4,7.1,1.9
baseline,ALP,16,79.6,31.25,2635.2,737.2,7.2,1.5
baseline,ALT,24,35.3,15.01,2814.4,497.8,7.5,2.2
baseline,AST,13,31.75,13.42,2405.3,643.1,7.3,1.6
baseline,BUN,18,14.99,5.47,2783.6,683.5,6.8,1.3
baseline,CA,14,9.44,0.9,2709.9,477.7,7.9,1.5
baseline,CL,17,102.34,4.25,2876.1,719.6,7.3,1.7
baseline,CO2,21,25.85,3.62,2645.6,653.7,6.5,1.5
baseline,CRE,15,1.01,0.32,2740.0,516.3,7.3,1.9
baseline,CRP,20,2.41,1.38,2848.5,599.2,8.0,1.6
baseline,DBIL,13,0.23,0.11,2483.0,498.0,6.6,1.6
baseline,GGT,13,37.06,19.09,2474.2,756.5,7.2,1.6
baseline,GLU,19,157.88,53.56,3022.1,438.0,7.0,1.2
baseline,HCT,12,44.02,4.51,2557.8,781.0,6.8,1.4
baseline,HDL,18,58.13,18.23,2858.4,569.0,7.0,1.6
baseline,HGB,13,14.15,2.28,2608.8,575.3,7.1,1.8
baseline,K,17,4.33,0.67,2627.1,661.3,7.1,1.7
baseline,LDH,19,198.57,50.28,2592.6,603.0,6.4,1.2
baseline,LDL,25,116.42,35.8,2751.2,499.6,7.6,1.3
baseline,MCH,18,30.01,2.36,2910.0,427.9,7.8,1.7
baseline,MCHC,21,33.84,1.57,2629.7,562.2,6.8,1.7
baseline,MCV,17,87.77,6.76,2602.7,513.0,7.2,1.6
baseline,MPV,12,9.47,1.57,2959.7,487.6,7.9,1.3
baseline,NA,15,140.18,4.39,2569.9,480.9,7.9,2.1
baseline,PLT,17,322.33,103.39,2641.1,623.3,6.8,1.8
baseline,PT,16,11.76,1.69,2599.4,491.5,6.8,1.5
baseline,RBC,19,5.03,0.68,2831.6,536.0,7.3,1.8
baseline,RDW,23,13.35,1.5,2695.9,555.8,7.1,1.6
baseline,TBIL,25,0.85,0.38,2728.2,562.0,7.3,2.0
baseline,TC,16,191.62,37.89,2792.3,533.6,7.5,2.0
baseline,TGL,15,139.51,65.15,2736.3,341.7,6.7,1.6
baseline,TP,15,6.99,0.94,2826.9,566.8,6.8,1.9
baseline,WBC,24,7.56,2.32,2580.3,641.9,6.3,1.1
index,A1C,17,6.72,1.72,848.8,458.6,2.7,1.4
index,ALB,18,4.22,0.78,343.3,482.4,2.2,1.6
index,ALP,12,75.38,30.54,1004.6,530.2,2.8,1.0
index,ALT,20,34.68,15.01,542.4,569.2,2.2,1.3
index,AST,10,28.31,12.95,785.0,489.7,2.6,1.0
index,BUN,16,14.86,5.7,615.5,601.4,1.9,0.8
index,CA,10,9.63,0.77,656.8,643.3,2.7,1.1
index,CL,15,102.19,4.73,611.3,479.9,2.2,1.0
index,CO2,19,25.89,3.31,552.8,541.9,2.0,1.1
index,CRE,13,1.01,0.27,289.5,340.8,2.1,1.0
index,CRP,18,1.99,1.44,719.1,640.2,2.1,0.9
index,DBIL,11,0.24,0.1,490.9,494.3,2.5,1.2
index,GGT,12,41.56,18.77,571.7,626.6,2.0,1.0
index,GLU,18,163.24,51.41,508.6,549.7,2.2,1.2
index,HCT,11,44.21,4.91,692.8,645.8,2.0,1.1
index,HDL,18,60.17,18.1,554.6,465.9,2.1,1.1
index,HGB,12,14.83,2.2,345.8,432.6,2.4,1.6
index,K,13,4.56,0.56,862.5,551.9,2.4,0.8
index,LDH,17,181.09,48.19,488.2,518.0,2.4,1.0
index,LDL,20,112.74,36.11,395.8,476.5,1.8,0.9
index,MCH,16,30.73,2.19,679.0,641.5,2.2,1.2
index,MCHC,20,33.31,1.48,518.5,565.1,2.3,1.2
index,MCV,15,88.2,7.36,494.7,549.8,1.9,1.1
index,MPV,12,10.32,1.64,491.4,514.1,2.3,1.1
index,NA,12,141.53,3.82,655.0,570.4,2.1,1.0
index,PLT,16,293.87,103.29,530.1,554.5,2.4,1.1
index,PT,13,11.81,1.74,522.2,537.5,2.1,1.1
index,RBC,18,5.21,0.67,707.7,543.8,2.8,1.3
index,RDW,20,13.39,1.45,535.1,500.7,2.2,1.1
index,TBIL,22,0.76,0.41,764.0,573.7,2.5,1.0
index,TC,13,198.5,37.19,463.0,525.4,1.8,1.0
index,TGL,14,158.94,44.13,380.8,526.8,2.0,1.2
index,TP,14,6.87,0.97,270.6,417.0,1.7,1.1
index,WBC,23,7.63,2.41,623.2,507.2,2.6,1.4
