dataset,target_state,analyte,method,n,mae,mape,rmse,r2,bias,n_analytes,n_targets
chs,normal,A1C,NORMA_normal,6.0,0.7783538071314494,14.995829724241608,1.2401491254270465,-7.482360963753589,-0.7398052295049032,,
chs,normal,A1C,NORMA_marginal,6.0,2.253461736001229,47.96480435726824,2.345086730764738,-29.33100116328626,2.253461736001229,,
chs,normal,A1C,NORMA_marginal_freq,6.0,1.4611843040678814,31.42754170677677,1.5777528613542204,-12.729252109511046,1.4611843040678814,,
chs,normal,A1C,NORMA_oracle,6.0,0.7783538071314494,14.995829724241608,1.2401491254270465,-7.482360963753589,-0.7398052295049032,,
chs,normal,A1C,Mean,6.0,2.22264485548413,46.997561260621,2.304874003254454,-28.29970893809317,2.22264485548413,,
chs,normal,A1C,Last,6.0,2.4533333301544187,53.92589005169409,2.972927892231131,-47.745853428923134,2.4533333301544187,,
chs,normal,A1C,ARIMA,6.0,2.555948106549737,54.676644996615785,2.830544132535575,-43.18845205587861,2.555948106549737,,
chs,normal,A1C,PopRI,6.0,0.3583333333333334,7.403580724279106,0.4278434293056282,-0.0095751689059795,-0.0416666666666669,,
chs,normal,A1C,PerRI,6.0,2.222633333333333,46.99732631142402,2.304863510781784,-28.29944217670398,2.222633333333333,,
chs,normal,A1C,Gaussian_mle,6.0,0.3980555555555556,8.246732100153695,0.4434591509017697,-0.0846164059667344,-0.0730555555555557,,
chs,normal,A1C,Gaussian_trunc,6.0,2.2216666666666662,48.52445593264278,3.398683568677731,-62.70747475985472,-0.0416666666666669,,
chs,normal,A1C,Cohen_m2,6.0,1.1044954776763916,23.68648551614748,1.169466733895401,-6.543009805090487,1.1044954776763916,,
chs,normal,A1C,Cohen_m3,6.0,1.034505796432495,22.10536948844513,1.0858083173008997,-5.502423554779647,1.034505796432495,,
chs,normal,A1C,Cohen_m4,6.0,0.8800604661305744,19.041471185439583,0.9740023753729709,-4.232255692301383,0.8800604661305744,,
chs,all_states,A1C,NORMA_normal,17.0,2.08871548203861,28.88775614135058,2.545707973081837,-1.4739276953585918,-2.075110101699829,,
chs,all_states,A1C,NORMA_marginal,17.0,1.7979583857118888,29.97964156498241,2.1116552806885425,-0.7022207591893919,0.1501210431176731,,
chs,all_states,A1C,NORMA_marginal_freq,17.0,1.338328808496272,20.995394081903843,1.670724914631177,-0.0655644799945356,-0.1436447765894438,,
chs,all_states,A1C,NORMA_oracle,17.0,1.103246083540075,16.38972955327543,1.4819312857647298,0.1616488383613891,-0.343766664056217,,
chs,all_states,A1C,Mean,17.0,1.639236248389902,27.6187051162746,1.864439597874021,-0.3269864040188113,0.4960579028761799,,
chs,all_states,A1C,Last,17.0,1.9300000134636377,33.21107623359378,2.4066269280745334,-1.2109930657702628,0.3535294364480411,,
chs,all_states,A1C,ARIMA,17.0,2.1355331113647926,35.82076789620483,2.498252388959203,-1.3825523933417947,0.6344332621246946,,
chs,all_states,A1C,PopRI,17.0,1.8294117647058823,24.35829178142789,2.3600598197802483,-1.1262575027474857,-1.7176470588235295,,
chs,all_states,A1C,PerRI,17.0,1.6392411764705883,27.61874200526477,1.864444931277056,-0.3269939959659524,0.4960529411764706,,
chs,all_states,A1C,Gaussian_mle,17.0,1.8683823529411765,24.856470024922974,2.4298489439722126,-1.253867537356697,-1.7536764705882353,,
chs,all_states,A1C,Gaussian_trunc,17.0,2.836862056575787,44.53174775597898,3.445227015947665,-3.531119595273169,-1.0439208801051996,,
chs,all_states,A1C,Cohen_m2,17.0,1.3537536553775562,19.9566000932708,1.6965041456654557,-0.0987014242000094,-0.5531630123362822,,
chs,all_states,A1C,Cohen_m3,17.0,1.3918081283569332,20.37014700718262,1.7015878299015093,-0.1052959494266212,-0.6615687426398783,,
chs,all_states,A1C,Cohen_m4,17.0,1.4324582156013037,20.43232653353285,1.817379879832097,-0.2608437452206371,-0.8112390630385455,,
chs,normal,ALB,NORMA_normal,13.0,0.6727966924814077,14.92074975948174,0.7511815423493914,-0.7824654284792094,-0.1684484070997971,,
chs,normal,ALB,NORMA_marginal,13.0,0.8350061327012747,18.14587192803848,0.8910653751496839,-1.5081322681339384,-0.4153363418770032,,
chs,normal,ALB,NORMA_marginal_freq,13.0,0.7671660911791461,16.09699144241398,0.8903379279739153,-1.5040387660629593,-0.5224095204889392,,
chs,normal,ALB,NORMA_oracle,13.0,0.6727966924814077,14.92074975948174,0.7511815423493914,-0.7824654284792094,-0.1684484070997971,,
chs,normal,ALB,Mean,13.0,0.578709287491791,12.263225037211829,0.7203607494359425,-0.63919787171669,-0.3063530220132196,,
chs,normal,ALB,Last,13.0,0.8146153185917779,17.98761092306334,0.9503723498460498,-1.853112417644636,-0.2976922944875863,,
