method,state,analyte,n,coverage95,width_rel,inside_pop,n_analytes
PopRI,high,A1C,29,0.0,1.0,1.0,
PopRI,high,GLU,33,0.0,1.0,1.0,
PopRI,normal,ALB,28,1.0,1.0,1.0,
PopRI,normal,ALP,31,1.0,1.0,1.0,
PopRI,normal,ALT,24,1.0,1.0,1.0,
PopRI,normal,HDL,30,1.0,1.0,1.0,
PopRI,normal,K,22,1.0,1.0,1.0,
PopRI,normal,LDL,24,1.0,1.0,1.0,
PopRI,normal,MCHC,22,1.0,1.0,1.0,
PopRI,normal,PLT,33,1.0,1.0,1.0,
PopRI,normal,RBC,25,1.0,1.0,1.0,
PopRI,normal,RDW,28,1.0,1.0,1.0,
PopRI,normal,TBIL,32,1.0,1.0,1.0,
PopRI,normal,WBC,47,1.0,1.0,1.0,
PopRI,all,A1C,46,0.3696,1.0,1.0,
PopRI,all,ALB,39,0.7179,1.0,1.0,
PopRI,all,ALP,34,0.9118,1.0,1.0,
PopRI,all,ALT,45,0.5333,1.0,1.0,
PopRI,all,AST,26,0.6923,1.0,1.0,
PopRI,all,BUN,28,0.6071,1.0,1.0,
PopRI,all,CA,27,0.6667,1.0,1.0,
PopRI,all,CL,33,0.4848,1.0,1.0,
PopRI,all,CO2,38,0.4474,1.0,1.0,
PopRI,all,CRE,27,0.5926,1.0,1.0,
PopRI,all,DBIL,27,0.6667,1.0,1.0,
PopRI,all,GLU,39,0.1282,1.0,1.0,
PopRI,all,HCT,22,0.5,1.0,1.0,
PopRI,all,HDL,37,0.8108,1.0,1.0,
PopRI,all,HGB,29,0.5862,1.0,1.0,
PopRI,all,K,31,0.7097,1.0,1.0,
PopRI,all,LDL,37,0.6486,1.0,1.0,
PopRI,all,MCH,35,0.4857,1.0,1.0,
PopRI,all,MCHC,44,0.5,1.0,1.0,
PopRI,all,MCV,28,0.6786,1.0,1.0,
PopRI,all,NA,25,0.68,1.0,1.0,
PopRI,all,PLT,38,0.8684,1.0,1.0,
PopRI,all,RBC,51,0.4902,1.0,1.0,
PopRI,all,RDW,43,0.6512,1.0,1.0,
PopRI,all,TBIL,54,0.5926,1.0,1.0,
PopRI,all,TC,24,0.4583,1.0,1.0,
PopRI,all,TGL,28,0.4286,1.0,1.0,
PopRI,all,TP,24,0.625,1.0,1.0,
PopRI,all,WBC,59,0.7966,1.0,1.0,
PerRI,high,A1C,29,1.0,4.2368,0.232,
PerRI,high,GLU,33,1.0,7.6138,0.1271,
PerRI,normal,ALB,28,1.0,1.4186,0.6903,
PerRI,normal,ALP,31,1.0,1.3281,0.7214,
PerRI,normal,ALT,24,0.9583,2.0258,0.4765,
PerRI,normal,HDL,30,0.9,1.1815,0.798,
PerRI,normal,K,22,0.9545,1.6763,0.5582,
PerRI,normal,LDL,24,0.9583,1.1207,0.6232,
PerRI,normal,MCHC,22,1.0,2.3706,0.4219,
PerRI,normal,PLT,33,0.9697,1.3194,0.6968,
PerRI,normal,RBC,25,0.0,0.0019,0.0,
PerRI,normal,RDW,28,1.0,1.1516,0.6649,
PerRI,normal,TBIL,32,0.9688,1.8852,0.5305,
PerRI,normal,WBC,47,0.9362,1.4937,0.6561,
PerRI,all,A1C,46,0.913,4.2368,0.23,
PerRI,all,ALB,39,0.9487,1.4394,0.6197,
PerRI,all,ALP,34,1.0,1.3281,0.7214,
PerRI,all,ALT,45,0.9333,1.9849,0.4849,
PerRI,all,AST,26,0.9231,1.7658,0.5273,
PerRI,all,BUN,28,1.0,1.876,0.5346,
PerRI,all,CA,27,0.7778,2.2002,0.4545,
PerRI,all,CL,33,0.8788,1.9007,0.5261,
PerRI,all,CO2,38,0.8421,2.5003,0.3999,
PerRI,all,CRE,27,1.0,2.206,0.4507,
PerRI,all,DBIL,27,0.9259,2.168,0.4613,
PerRI,all,GLU,39,0.9744,7.8665,0.1214,
PerRI,all,HCT,22,0.9545,2.1864,0.4574,
PerRI,all,HDL,37,0.9189,1.2078,0.7036,
PerRI,all,HGB,29,0.9655,2.0912,0.3912,
PerRI,all,K,31,0.9355,1.6763,0.5687,
PerRI,all,LDL,37,0.9189,1.1165,0.6232,
PerRI,all,MCH,35,0.8286,2.0157,0.4514,
PerRI,all,MCHC,44,0.9545,2.2748,0.4399,
PerRI,all,MCV,28,0.8214,1.4012,0.7101,
PerRI,all,NA,25,1.0,1.9767,0.5059,
PerRI,all,PLT,38,0.9474,1.3336,0.6948,
PerRI,all,RBC,51,0.0,0.002,0.0,
PerRI,all,RDW,43,1.0,1.1351,0.6699,
PerRI,all,TBIL,54,0.9444,1.911,0.5233,
PerRI,all,TC,24,1.0,1.6264,0.5442,
PerRI,all,TGL,28,1.0,2.6126,0.3715,
PerRI,all,TP,24,0.875,1.997,0.4937,
PerRI,all,WBC,59,0.9153,1.4937,0.6561,
Cohen_m2,high,A1C,29,0.2759,0.6374,0.1195,
Cohen_m2,high,GLU,33,0.0303,1.7181,0.5821,
Cohen_m2,normal,ALB,28,0.5357,0.5035,1.0,
Cohen_m2,normal,ALP,31,0.5484,0.753,1.0,
Cohen_m2,normal,ALT,24,0.875,1.2336,0.7769,
Cohen_m2,normal,HDL,30,0.7,0.5835,1.0,
Cohen_m2,normal,K,22,0.7727,0.9975,0.7223,
Cohen_m2,normal,LDL,24,0.7083,0.6615,0.6893,
Cohen_m2,normal,MCHC,22,1.0,1.2401,0.5741,
Cohen_m2,normal,PLT,33,0.5455,0.5804,1.0,
Cohen_m2,normal,RBC,25,0.68,0.7543,0.8729,
Cohen_m2,normal,RDW,28,0.6429,0.5058,0.8592,
Cohen_m2,normal,TBIL,32,0.7188,1.2354,0.7878,
Cohen_m2,normal,WBC,47,1.0,1.5191,0.6583,
Cohen_m2,all,A1C,46,0.1957,0.6374,0.1328,
Cohen_m2,all,ALB,39,0.4103,0.5035,1.0,
