subset,analyte,n,n_patients,PopRI_pct,PopRI_valid,PopRI_abn,PopRI_pct_lo,PopRI_pct_hi,PerRI_pct,PerRI_valid,PerRI_abn,PerRI_pct_lo,PerRI_pct_hi,PerRI_reclass_pct,PerRI_reclass_valid,PerRI_reclass_abn,PerRI_reclass_pct_lo,PerRI_reclass_pct_hi,Cohen_m2_pct,Cohen_m2_valid,Cohen_m2_abn,Cohen_m2_pct_lo,Cohen_m2_pct_hi,Cohen_m2_reclass_pct,Cohen_m2_reclass_valid,Cohen_m2_reclass_abn,Cohen_m2_reclass_pct_lo,Cohen_m2_reclass_pct_hi,Cohen_m3_pct,Cohen_m3_valid,Cohen_m3_abn,Cohen_m3_pct_lo,Cohen_m3_pct_hi,Cohen_m3_reclass_pct,Cohen_m3_reclass_valid,Cohen_m3_reclass_abn,Cohen_m3_reclass_pct_lo,Cohen_m3_reclass_pct_hi,Cohen_m4_pct,Cohen_m4_valid,Cohen_m4_abn,Cohen_m4_pct_lo,Cohen_m4_pct_hi,Cohen_m4_reclass_pct,Cohen_m4_reclass_valid,Cohen_m4_reclass_abn,Cohen_m4_reclass_pct_lo,Cohen_m4_reclass_pct_hi,Gaussian_mle_pct,Gaussian_mle_valid,Gaussian_mle_abn,Gaussian_mle_pct_lo,Gaussian_mle_pct_hi,Gaussian_mle_reclass_pct,Gaussian_mle_reclass_valid,Gaussian_mle_reclass_abn,Gaussian_mle_reclass_pct_lo,Gaussian_mle_reclass_pct_hi,Gaussian_trunc_pct,Gaussian_trunc_valid,Gaussian_trunc_abn,Gaussian_trunc_pct_lo,Gaussian_trunc_pct_hi,Gaussian_trunc_reclass_pct,Gaussian_trunc_reclass_valid,Gaussian_trunc_reclass_abn,Gaussian_trunc_reclass_pct_lo,Gaussian_trunc_reclass_pct_hi,Gaussian_eb_pct,Gaussian_eb_valid,Gaussian_eb_abn,Gaussian_eb_pct_lo,Gaussian_eb_pct_hi,Gaussian_eb_reclass_pct,Gaussian_eb_reclass_valid,Gaussian_eb_reclass_abn,Gaussian_eb_reclass_pct_lo,Gaussian_eb_reclass_pct_hi,NORMA_q_age_set_pct,NORMA_q_age_set_valid,NORMA_q_age_set_abn,NORMA_q_age_set_pct_lo,NORMA_q_age_set_pct_hi,NORMA_q_age_set_reclass_pct,NORMA_q_age_set_reclass_valid,NORMA_q_age_set_reclass_abn,NORMA_q_age_set_reclass_pct_lo,NORMA_q_age_set_reclass_pct_hi,n_popri_normal,PopRI_per_1000,PerRI_per_1000,Cohen_m2_per_1000,Cohen_m3_per_1000,Cohen_m4_per_1000,Gaussian_mle_per_1000,Gaussian_trunc_per_1000,Gaussian_eb_per_1000,NORMA_q_age_set_per_1000,PopRI_pct_median,PopRI_pct_q25,PopRI_pct_q75,PerRI_pct_median,PerRI_pct_q25,PerRI_pct_q75,PerRI_reclass_pct_median,PerRI_reclass_pct_q25,PerRI_reclass_pct_q75,Cohen_m2_pct_median,Cohen_m2_pct_q25,Cohen_m2_pct_q75,Cohen_m2_reclass_pct_median,Cohen_m2_reclass_pct_q25,Cohen_m2_reclass_pct_q75,Cohen_m3_pct_median,Cohen_m3_pct_q25,Cohen_m3_pct_q75,Cohen_m3_reclass_pct_median,Cohen_m3_reclass_pct_q25,Cohen_m3_reclass_pct_q75,Cohen_m4_pct_median,Cohen_m4_pct_q25,Cohen_m4_pct_q75,Cohen_m4_reclass_pct_median,Cohen_m4_reclass_pct_q25,Cohen_m4_reclass_pct_q75,Gaussian_mle_pct_median,Gaussian_mle_pct_q25,Gaussian_mle_pct_q75,Gaussian_mle_reclass_pct_median,Gaussian_mle_reclass_pct_q25,Gaussian_mle_reclass_pct_q75,Gaussian_trunc_pct_median,Gaussian_trunc_pct_q25,Gaussian_trunc_pct_q75,Gaussian_trunc_reclass_pct_median,Gaussian_trunc_reclass_pct_q25,Gaussian_trunc_reclass_pct_q75,Gaussian_eb_pct_median,Gaussian_eb_pct_q25,Gaussian_eb_pct_q75,Gaussian_eb_reclass_pct_median,Gaussian_eb_reclass_pct_q25,Gaussian_eb_reclass_pct_q75,NORMA_q_age_set_pct_median,NORMA_q_age_set_pct_q25,NORMA_q_age_set_pct_q75,NORMA_q_age_set_reclass_pct_median,NORMA_q_age_set_reclass_pct_q25,NORMA_q_age_set_reclass_pct_q75
all,A1C,46,17,63.04,46,29,48.6,75.48,71.74,46,33,57.45,82.68,23.53,17,4,9.55,47.26,97.83,46,45,88.66,99.62,94.12,17.0,16.0,73.02,98.95,93.48,46,43,82.5,97.76,82.35,17.0,14.0,58.97,93.81,93.48,46,43,82.5,97.76,82.35,17.0,14.0,58.97,93.81,67.39,46,31,52.97,79.13,11.76,17,2,3.29,34.34,71.74,46,33,57.45,82.68,23.53,17,4,9.55,47.26,63.04,46,29,48.6,75.48,0.0,17,0,0.0,18.43,63.04,46,29,48.6,75.48,0.0,17,0,0.0,18.43,17,630.0,717.0,978.0,935.0,935.0,674.0,717.0,630.0,630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,ALB,39,18,28.21,39,11,16.54,43.78,28.21,39,11,16.54,43.78,0.0,28,0,0.0,12.06,61.54,39,24,45.9,75.11,46.43,28.0,13.0,29.53,64.19,64.1,39,25,48.42,77.26,50.0,28.0,14.0,32.63,67.37,56.41,39,22,40.98,70.7,39.29,28.0,11.0,23.57,57.59,30.77,39,12,18.57,46.42,3.57,28,1,0.63,17.71,41.03,39,16,27.08,56.58,17.86,28,5,7.88,35.59,28.21,39,11,16.54,43.78,0.0,28,0,0.0,12.06,28.21,39,11,16.54,43.78,0.0,28,0,0.0,12.06,28,282.0,282.0,615.0,641.0,564.0,308.0,410.0,282.0,282.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,ALP,34,12,8.82,34,3,3.05,22.96,8.82,34,3,3.05,22.96,0.0,31,0,-0.0,11.03,50.0,34,17,34.07,65.93,45.16,31.0,14.0,29.16,62.23,55.88,34,19,39.45,71.12,51.61,31.0,16.0,34.84,68.03,58.82,34,20,42.22,73.63,54.84,31.0,17.0,37.77,70.84,8.82,34,3,3.05,22.96,0.0,31,0,-0.0,11.03,23.53,34,8,12.44,40.0,16.13,31,5,7.09,32.63,8.82,34,3,3.05,22.96,0.0,31,0,-0.0,11.03,20.59,34,7,10.35,36.8,12.9,31,4,5.13,28.85,31,88.0,88.0,500.0,559.0,588.0,88.0,235.0,88.0,206.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,ALT,45,20,46.67,45,21,32.93,60.92,48.89,45,22,34.96,63.0,4.17,24,1,0.74,20.24,53.33,45,24,39.08,67.07,12.5,24.0,3.0,4.34,31.0,55.56,45,25,41.18,69.06,16.67,24.0,4.0,6.68,35.85,66.67,45,30,52.07,78.64,37.5,24.0,9.0,21.16,57.29,51.11,45,23,37.0,65.04,8.33,24,2,2.32,25.85,71.11,45,32,56.63,82.27,45.83,24,11,27.89,64.93,46.67,45,21,32.93,60.92,0.0,24,0,0.0,13.8,55.56,45,25,41.18,69.06,16.67,24,4,6.68,35.85,24,467.0,489.0,533.0,556.0,667.0,511.0,711.0,467.0,556.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,AST,26,10,30.77,26,8,16.5,49.99,34.62,26,9,19.41,53.78,5.56,18,1,0.99,25.76,42.31,26,11,25.54,61.05,16.67,18.0,3.0,5.84,39.22,38.46,26,10,22.43,57.47,11.11,18.0,2.0,3.1,32.8,34.62,26,9,19.41,53.78,5.56,18.0,1.0,0.99,25.76,46.15,26,12,28.76,64.54,22.22,18,4,9.0,45.22,57.69,26,15,38.95,74.46,38.89,18,7,20.3,61.38,30.77,26,8,16.5,49.99,0.0,18,0,0.0,17.59,46.15,26,12,28.76,64.54,22.22,18,4,9.0,45.22,18,308.0,346.0,423.0,385.0,346.0,462.0,577.0,308.0,462.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,BUN,31,16,38.71,31,12,23.73,56.18,38.71,31,12,23.73,56.18,0.0,19,0,0.0,16.82,39.29,28,11,23.57,57.59,0.0,17.0,0.0,0.0,18.43,46.43,28,13,29.53,64.19,11.76,17.0,2.0,3.29,34.34,50.0,28,14,32.63,67.37,17.65,17.0,3.0,6.19,41.03,41.94,31,13,26.42,59.23,5.26,19,1,0.94,24.64,48.39,31,15,31.97,65.16,15.79,19,3,5.52,37.57,38.71,31,12,23.73,56.18,0.0,19,0,0.0,16.82,39.29,28,11,23.57,57.59,0.0,17,0,0.0,18.43,19,387.0,387.0,393.0,464.0,500.0,419.0,484.0,387.0,393.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,CA,27,10,33.33,27,9,18.64,52.18,40.74,27,11,24.51,59.27,11.11,18,2,3.1,32.8,48.15,27,13,30.74,66.01,22.22,18.0,4.0,9.0,45.22,51.85,27,14,33.99,69.26,27.78,18.0,5.0,12.5,50.87,55.56,27,15,37.31,72.41,33.33,18.0,6.0,16.28,56.25,40.74,27,11,24.51,59.27,11.11,18,2,3.1,32.8,59.26,27,16,40.73,75.49,38.89,18,7,20.3,61.38,33.33,27,9,18.64,52.18,0.0,18,0,0.0,17.59,44.44,27,12,27.59,62.69,16.67,18,3,5.84,39.22,18,333.0,407.0,481.0,519.0,556.0,407.0,593.0,333.0,444.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,CL,33,15,51.52,33,17,35.22,67.5,51.52,33,17,35.22,67.5,0.0,16,0,0.0,19.36,54.55,33,18,37.99,70.16,6.25,16.0,1.0,1.11,28.33,51.52,33,17,35.22,67.5,0.0,16.0,0.0,0.0,19.36,51.52,33,17,35.22,67.5,0.0,16.0,0.0,0.0,19.36,57.58,33,19,40.81,72.76,12.5,16,2,3.5,36.02,66.67,33,22,49.61,80.25,31.25,16,5,14.16,55.6,51.52,33,17,35.22,67.5,0.0,16,0,0.0,19.36,57.58,33,19,40.81,72.76,12.5,16,2,3.5,36.02,16,515.0,515.0,545.0,515.0,515.0,576.0,667.0,515.0,576.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,CO2,38,19,55.26,38,21,39.71,69.85,55.26,38,21,39.71,69.85,0.0,17,0,0.0,18.43,55.26,38,21,39.71,69.85,0.0,17.0,0.0,0.0,18.43,55.26,38,21,39.71,69.85,0.0,17.0,0.0,0.0,18.43,55.26,38,21,39.71,69.85,0.0,17.0,0.0,0.0,18.43,63.16,38,24,47.28,76.62,17.65,17,3,6.19,41.03,63.16,38,24,47.28,76.62,17.65,17,3,6.19,41.03,55.26,38,21,39.71,69.85,0.0,17,0,0.0,18.43,55.26,38,21,39.71,69.85,0.0,17,0,0.0,18.43,17,553.0,553.0,553.0,553.0,553.0,632.0,632.0,553.0,553.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,CRE,27,13,40.74,27,11,24.51,59.27,40.74,27,11,24.51,59.27,0.0,16,0,0.0,19.36,66.67,27,18,47.82,81.36,43.75,16.0,7.0,23.1,66.82,59.26,27,16,40.73,75.49,31.25,16.0,5.0,14.16,55.6,59.26,27,16,40.73,75.49,31.25,16.0,5.0,14.16,55.6,59.26,27,16,40.73,75.49,31.25,16,5,14.16,55.6,62.96,27,17,44.23,78.47,37.5,16,6,18.48,61.36,40.74,27,11,24.51,59.27,0.0,16,0,0.0,19.36,40.74,27,11,24.51,59.27,0.0,16,0,0.0,19.36,16,407.0,407.0,667.0,593.0,593.0,593.0,630.0,407.0,407.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
