Panel,analyte,n_patients,cv_intra,cv_intra_ci_lower,cv_intra_ci_upper,cv_inter,cv_inter_ci_lower,cv_inter_ci_upper,individuality_index,ii_ci_lower,ii_ci_upper
CBC,HCT,12,10.8,9.6,12.1,2.8,1.8,3.3,3.89,2.99,6.23
CBC,HGB,13,15.9,13.9,17.9,6.0,2.4,9.0,2.66,1.64,6.96
CBC,MCH,18,7.3,6.6,8.0,3.9,2.5,4.8,1.88,1.41,3.12
CBC,MCHC,21,4.7,4.1,5.2,1.4,0.8,1.8,3.3,2.48,6.06
CBC,MCV,17,6.9,6.1,7.8,3.8,2.5,4.7,1.83,1.38,2.8
CBC,MPV,12,15.8,14.6,16.8,7.2,4.3,9.0,2.18,1.75,3.54
CBC,PLT,17,31.0,27.6,34.2,13.2,9.4,15.8,2.34,1.89,3.36
CBC,RBC,19,13.5,12.3,14.9,4.3,3.2,5.1,3.12,2.61,4.29
CBC,RDW,23,11.5,10.7,12.2,2.8,1.7,3.8,4.08,3.02,6.86
CBC,WBC,24,29.8,27.1,32.7,12.8,8.8,15.8,2.34,1.83,3.49
BMP,A1C,19,24.2,21.8,26.3,7.1,4.5,9.1,3.4,2.52,5.5
BMP,BUN,18,37.7,35.0,40.5,9.0,5.8,11.5,4.19,3.24,6.53
BMP,CA,14,8.4,6.9,9.8,4.6,2.9,6.0,1.81,1.24,3.09
BMP,CL,17,4.2,3.8,4.7,1.1,0.6,1.4,3.93,2.81,7.14
BMP,CO2,21,13.4,12.0,14.7,5.6,3.9,7.0,2.38,1.78,3.64
BMP,CRE,15,31.9,27.0,36.1,10.9,5.6,15.1,2.92,1.88,6.08
BMP,GLU,19,34.1,30.8,36.8,12.1,7.4,15.7,2.81,2.2,4.58
BMP,K,17,14.8,13.4,16.2,6.2,3.5,8.1,2.38,1.71,4.6
BMP,NA,15,3.1,2.8,3.4,0.8,0.6,1.0,3.68,3.08,5.09
HFP,ALB,18,17.1,14.9,19.3,8.0,5.7,9.9,2.15,1.62,3.11
HFP,ALP,16,38.9,35.0,42.8,16.0,10.3,19.8,2.43,2.02,3.6
HFP,ALT,24,44.6,40.9,48.1,10.5,7.6,12.7,4.24,3.43,5.83
HFP,AST,13,40.0,32.1,48.4,21.7,13.8,26.6,1.84,1.48,2.89
HFP,CRP,20,59.0,51.6,66.9,24.5,15.0,31.8,2.41,1.85,4.22
HFP,DBIL,13,47.9,40.0,56.6,21.4,11.4,29.4,2.23,1.72,4.07
HFP,GGT,13,50.7,43.4,58.1,18.6,11.8,23.3,2.73,2.15,4.21
HFP,LDH,19,24.5,21.1,27.9,10.5,7.8,12.5,2.32,1.74,3.43
HFP,PT,16,14.5,12.8,16.2,4.2,2.9,5.0,3.46,2.76,5.18
HFP,TBIL,25,48.1,43.1,53.3,14.4,10.9,16.9,3.34,2.84,4.27
HFP,TP,15,12.2,10.3,14.0,6.5,3.2,8.6,1.88,1.22,4.16
Lipid,HDL,18,30.7,27.6,33.9,10.9,7.7,13.1,2.82,2.22,4.15
Lipid,LDL,25,31.3,29.2,33.6,9.4,7.0,11.0,3.32,2.79,4.6
Lipid,TC,16,19.9,17.3,22.4,5.6,3.2,7.5,3.55,2.38,6.77
Lipid,TGL,15,47.2,41.0,53.7,18.0,10.9,23.2,2.62,1.85,4.67
