method,analyte,decile,z_median,mortality_pct,ci_lo,ci_hi,n
baseline_z,ALT,1,0.13,0.0,0.0,65.8,2
baseline_z,ALT,2,0.2,50.0,9.5,90.5,2
baseline_z,ALT,3,0.27,50.0,9.5,90.5,2
baseline_z,ALT,4,0.51,0.0,0.0,65.8,2
baseline_z,ALT,5,0.78,50.0,9.5,90.5,2
baseline_z,ALT,6,0.87,0.0,0.0,65.8,2
baseline_z,ALT,7,1.02,0.0,0.0,65.8,2
baseline_z,ALT,8,1.19,0.0,0.0,65.8,2
baseline_z,ALT,9,1.35,0.0,0.0,65.8,2
baseline_z,ALT,10,1.73,50.0,9.5,90.5,2
baseline_z,LDL,1,0.05,0.0,0.0,65.8,2
baseline_z,LDL,2,0.09,50.0,9.5,90.5,2
baseline_z,LDL,3,0.23,50.0,9.5,90.5,2
baseline_z,LDL,4,0.51,0.0,0.0,65.8,2
baseline_z,LDL,5,0.79,0.0,0.0,65.8,2
baseline_z,LDL,6,0.95,0.0,0.0,65.8,2
baseline_z,LDL,7,1.03,50.0,9.5,90.5,2
baseline_z,LDL,8,1.15,0.0,0.0,65.8,2
baseline_z,LDL,9,1.4,0.0,0.0,65.8,2
baseline_z,LDL,10,2.53,50.0,9.5,90.5,2
baseline_z,MCHC,1,0.04,0.0,0.0,65.8,2
baseline_z,MCHC,2,0.09,50.0,9.5,90.5,2
baseline_z,MCHC,3,0.32,0.0,0.0,65.8,2
baseline_z,MCHC,4,0.39,0.0,0.0,65.8,2
baseline_z,MCHC,5,0.5,0.0,0.0,65.8,2
baseline_z,MCHC,6,0.85,0.0,0.0,65.8,2
baseline_z,MCHC,7,1.18,0.0,0.0,65.8,2
baseline_z,MCHC,8,1.36,0.0,0.0,65.8,2
baseline_z,MCHC,9,1.67,50.0,9.5,90.5,2
baseline_z,MCHC,10,2.24,50.0,9.5,90.5,2
baseline_z,RDW,1,0.06,0.0,0.0,65.8,2
baseline_z,RDW,2,0.23,0.0,0.0,65.8,2
baseline_z,RDW,3,0.39,0.0,0.0,65.8,2
baseline_z,RDW,4,0.46,50.0,9.5,90.5,2
baseline_z,RDW,5,0.7,0.0,0.0,65.8,2
baseline_z,RDW,6,0.77,50.0,9.5,90.5,2
baseline_z,RDW,7,0.88,50.0,9.5,90.5,2
baseline_z,RDW,8,1.18,50.0,9.5,90.5,2
baseline_z,RDW,9,1.35,50.0,9.5,90.5,2
baseline_z,RDW,10,1.65,0.0,0.0,65.8,2
baseline_z,TBIL,1,0.31,66.7,20.8,93.9,3
baseline_z,TBIL,2,0.63,50.0,9.5,90.5,2
baseline_z,TBIL,3,0.74,50.0,9.5,90.5,2
baseline_z,TBIL,4,0.85,0.0,0.0,65.8,2
baseline_z,TBIL,5,1.02,0.0,0.0,65.8,2
baseline_z,TBIL,6,1.13,0.0,0.0,65.8,2
baseline_z,TBIL,7,1.23,100.0,34.2,100.0,2
baseline_z,TBIL,8,1.39,50.0,9.5,90.5,2
baseline_z,TBIL,9,1.65,50.0,9.5,90.5,2
baseline_z,TBIL,10,2.01,0.0,0.0,56.2,3
baseline_z,WBC,1,0.03,0.0,0.0,56.2,3
baseline_z,WBC,2,0.23,0.0,0.0,65.8,2
baseline_z,WBC,3,0.34,0.0,0.0,65.8,2
baseline_z,WBC,4,0.49,50.0,9.5,90.5,2
baseline_z,WBC,5,0.59,0.0,0.0,56.2,3
baseline_z,WBC,6,0.94,50.0,9.5,90.5,2
baseline_z,WBC,7,1.09,0.0,0.0,65.8,2
baseline_z,WBC,8,1.22,0.0,0.0,65.8,2
baseline_z,WBC,9,1.34,50.0,9.5,90.5,2
baseline_z,WBC,10,1.56,33.3,6.1,79.2,3
PopRI,A1C,1,0.21,20.0,3.6,62.4,5
PopRI,A1C,2,0.39,60.0,23.1,88.2,5
PopRI,A1C,3,0.59,50.0,15.0,85.0,4
PopRI,A1C,4,0.91,20.0,3.6,62.4,5
PopRI,A1C,5,1.81,25.0,4.6,69.9,4
PopRI,A1C,6,2.16,0.0,0.0,43.4,5
PopRI,A1C,7,3.54,0.0,0.0,49.0,4
PopRI,A1C,8,4.25,40.0,11.8,76.9,5
PopRI,A1C,9,5.08,0.0,0.0,49.0,4
PopRI,A1C,10,6.18,40.0,11.8,76.9,5
PopRI,ALB,1,0.05,25.0,4.6,69.9,4
PopRI,ALB,2,0.23,0.0,0.0,49.0,4
PopRI,ALB,3,0.34,0.0,0.0,49.0,4
PopRI,ALB,4,0.4,0.0,0.0,49.0,4
PopRI,ALB,5,0.62,0.0,0.0,49.0,4
PopRI,ALB,6,0.68,0.0,0.0,56.2,3
PopRI,ALB,7,0.87,0.0,0.0,49.0,4
PopRI,ALB,8,1.08,0.0,0.0,49.0,4
PopRI,ALB,9,1.27,0.0,0.0,49.0,4
PopRI,ALB,10,1.41,0.0,0.0,49.0,4
PopRI,ALP,1,0.08,0.0,0.0,49.0,4
PopRI,ALP,2,0.17,0.0,0.0,56.2,3
PopRI,ALP,3,0.23,33.3,6.1,79.2,3
PopRI,ALP,4,0.45,25.0,4.6,69.9,4
PopRI,ALP,5,0.61,0.0,0.0,56.2,3
PopRI,ALP,6,0.69,100.0,43.8,100.0,3
PopRI,ALP,7,0.82,25.0,4.6,69.9,4
PopRI,ALP,8,0.85,33.3,6.1,79.2,3
PopRI,ALP,9,0.93,33.3,6.1,79.2,3
PopRI,ALP,10,1.07,25.0,4.6,69.9,4
PopRI,ALT,1,0.05,40.0,11.8,76.9,5
PopRI,ALT,2,0.27,25.0,4.6,69.9,4
PopRI,ALT,3,0.42,20.0,3.6,62.4,5
PopRI,ALT,4,0.53,0.0,0.0,49.0,4
PopRI,ALT,5,0.72,20.0,3.6,62.4,5
PopRI,ALT,6,1.05,0.0,0.0,49.0,4
PopRI,ALT,7,1.13,75.0,30.1,95.4,4
PopRI,ALT,8,1.37,20.0,3.6,62.4,5
PopRI,ALT,9,1.92,25.0,4.6,69.9,4
PopRI,ALT,10,2.19,20.0,3.6,62.4,5
PopRI,AST,1,0.15,0.0,0.0,56.2,3
PopRI,AST,2,0.24,0.0,0.0,56.2,3
PopRI,AST,3,0.28,50.0,9.5,90.5,2
PopRI,AST,4,0.31,33.3,6.1,79.2,3
PopRI,AST,5,0.53,50.0,9.5,90.5,2
PopRI,AST,6,0.79,33.3,6.1,79.2,3
PopRI,AST,7,0.92,0.0,0.0,65.8,2
PopRI,AST,8,1.13,33.3,6.1,79.2,3
PopRI,AST,9,1.32,50.0,9.5,90.5,2
PopRI,AST,10,1.78,0.0,0.0,56.2,3
PopRI,BUN,1,0.11,50.0,15.0,85.0,4
PopRI,BUN,2,0.23,0.0,0.0,56.2,3
PopRI,BUN,3,0.47,0.0,0.0,56.2,3
PopRI,BUN,4,0.55,0.0,0.0,56.2,3
PopRI,BUN,5,0.73,0.0,0.0,56.2,3
PopRI,BUN,6,0.87,66.7,20.8,93.9,3
PopRI,BUN,7,1.04,0.0,0.0,56.2,3
PopRI,BUN,8,1.19,0.0,0.0,56.2,3
PopRI,BUN,9,1.49,0.0,0.0,56.2,3
PopRI,BUN,10,1.69,33.3,6.1,79.2,3
PopRI,CA,1,0.04,100.0,43.8,100.0,3
PopRI,CA,2,0.14,0.0,0.0,56.2,3
PopRI,CA,3,0.34,0.0,0.0,65.8,2
PopRI,CA,4,0.47,0.0,0.0,56.2,3
PopRI,CA,5,0.8,0.0,0.0,56.2,3
PopRI,CA,6,0.93,0.0,0.0,65.8,2
PopRI,CA,7,1.0,0.0,0.0,56.2,3
PopRI,CA,8,1.28,0.0,0.0,65.8,2
PopRI,CA,9,1.53,0.0,0.0,56.2,3
PopRI,CA,10,1.78,0.0,0.0,56.2,3
PopRI,CL,1,0.15,25.0,4.6,69.9,4
PopRI,CL,2,0.45,66.7,20.8,93.9,3
PopRI,CL,3,0.69,66.7,20.8,93.9,3
PopRI,CL,4,0.82,0.0,0.0,56.2,3
PopRI,CL,5,0.95,50.0,15.0,85.0,4
PopRI,CL,6,1.24,0.0,0.0,56.2,3
PopRI,CL,7,1.31,33.3,6.1,79.2,3
PopRI,CL,8,1.52,0.0,0.0,56.2,3
PopRI,CL,9,1.58,33.3,6.1,79.2,3
PopRI,CL,10,1.88,50.0,15.0,85.0,4
PopRI,CO2,1,0.03,50.0,15.0,85.0,4
PopRI,CO2,2,0.16,50.0,15.0,85.0,4
PopRI,CO2,3,0.33,0.0,0.0,49.0,4
