analyte,q_label,mortality_pct,ci_lo,ci_hi,n
ALT,1,0.0,0.0,49.0,4
ALT,2,25.0,4.6,69.9,4
ALT,3,25.0,4.6,69.9,4
ALT,4,25.0,4.6,69.9,4
ALT,5,25.0,4.6,69.9,4
LDL,1,25.0,4.6,69.9,4
LDL,2,25.0,4.6,69.9,4
LDL,3,25.0,4.6,69.9,4
LDL,4,0.0,0.0,49.0,4
LDL,5,25.0,4.6,69.9,4
MCHC,1,25.0,4.6,69.9,4
MCHC,2,0.0,0.0,49.0,4
MCHC,3,25.0,4.6,69.9,4
MCHC,4,0.0,0.0,49.0,4
MCHC,5,25.0,4.6,69.9,4
RDW,1,25.0,4.6,69.9,4
RDW,2,25.0,4.6,69.9,4
RDW,3,0.0,0.0,49.0,4
RDW,4,50.0,15.0,85.0,4
RDW,5,25.0,4.6,69.9,4
TBIL,1,20.0,3.6,62.4,5
TBIL,2,50.0,15.0,85.0,4
TBIL,3,40.0,11.8,76.9,5
TBIL,4,33.3,6.1,79.2,3
TBIL,5,40.0,11.8,76.9,5
WBC,1,20.0,3.6,62.4,5
WBC,2,0.0,0.0,49.0,4
WBC,3,16.7,3.0,56.4,6
WBC,4,33.3,6.1,79.2,3
WBC,5,20.0,3.6,62.4,5
