Analyte,EHRSHOT N,EHRSHOT Mean,MIMIC-IV N,MIMIC-IV Mean,eICU-CRD N,eICU-CRD Mean,CHS N,CHS Mean,INSPIRE N,INSPIRE Mean
A1C,107,6.4 ± 1.1,1970,6.8 ± 1.3,---,---,---,---,269,6.7 ± 1.0
ALB,525,3.3 ± 0.9,3217,3.7 ± 0.8,19075,2.5 ± 0.6,---,---,26023,3.5 ± 0.6
ALP,487,117.8 ± 62.6,5183,117.2 ± 64.0,13582,102.8 ± 44.3,---,---,23445,80.2 ± 29.8
ALT,497,35.3 ± 25.3,6522,27.9 ± 20.6,12425,33.9 ± 23.3,---,---,21698,20.6 ± 12.3
AST,496,31.6 ± 19.3,6409,31.4 ± 20.8,12704,34.6 ± 23.7,---,---,21751,23.6 ± 9.7
BUN,685,23.6 ± 15.2,14498,24.7 ± 15.7,57540,24.8 ± 15.5,---,---,25388,16.1 ± 8.0
CA,701,8.8 ± 0.7,10588,8.8 ± 0.7,57067,8.5 ± 0.7,---,---,25181,8.7 ± 0.7
CL,697,101.9 ± 5.4,13890,101.3 ± 5.5,59172,103.0 ± 5.8,---,---,26586,101.9 ± 4.7
CO2,693,25.6 ± 4.1,13461,25.4 ± 4.3,70208,26.3 ± 4.5,---,---,11019,24.9 ± 3.7
CRE,696,1.1 ± 0.6,14449,1.1 ± 0.6,54820,1.0 ± 0.6,---,---,38300,0.8 ± 0.2
DBIL,114,0.3 ± 0.3,189,0.8 ± 1.0,1147,0.5 ± 0.5,---,---,---,---
GLU,702,125.5 ± 41.5,12787,119.6 ± 41.0,90958,136.7 ± 44.1,---,---,30553,140.4 ± 47.5
HCT,742,32.2 ± 6.8,15378,32.7 ± 6.8,60110,29.6 ± 5.2,---,---,37057,33.0 ± 5.4
HDL,101,56.1 ± 17.6,2405,55.3 ± 17.4,11,24.1 ± 13.6,---,---,---,---
HGB,751,10.6 ± 2.3,14656,10.5 ± 2.3,60482,9.7 ± 1.7,---,---,31439,11.0 ± 1.9
K,721,4.2 ± 0.6,14292,4.2 ± 0.6,66569,4.0 ± 0.5,---,---,34288,4.1 ± 0.5
LDL,48,86.9 ± 32.0,2434,97.3 ± 38.9,3,84.4 ± 48.1,---,---,---,---
MCH,693,30.2 ± 2.8,14511,29.6 ± 2.8,48432,29.6 ± 2.0,---,---,---,---
MCHC,679,33.0 ± 1.4,14745,32.1 ± 1.6,51710,32.6 ± 1.3,---,---,---,---
MCV,708,92.2 ± 7.1,14582,92.0 ± 7.6,50841,90.7 ± 5.5,---,---,---,---
MPV,24,9.1 ± 1.6,---,---,37083,9.7 ± 1.4,---,---,---,---
NA,692,137.3 ± 4.5,14032,138.7 ± 4.4,62419,138.5 ± 4.7,---,---,33867,137.6 ± 3.4
PLT,692,187.9 ± 108.8,14639,225.1 ± 117.5,53371,220.6 ± 105.6,---,---,29222,220.5 ± 96.0
RBC,702,3.5 ± 0.8,14720,3.6 ± 0.8,53584,3.3 ± 0.6,---,---,---,---
RDW,718,16.3 ± 3.0,14595,15.7 ± 2.6,48715,16.0 ± 2.1,---,---,---,---
TBIL,495,0.6 ± 0.4,4557,0.7 ± 0.6,12738,0.7 ± 0.5,---,---,24127,0.7 ± 0.4
TC,122,170.5 ± 42.0,2416,180.3 ± 45.7,35,109.4 ± 35.0,---,---,---,---
TGL,---,---,2218,144.8 ± 76.6,312,144.5 ± 66.7,---,---,---,---
TP,503,6.5 ± 1.0,461,7.0 ± 0.7,15134,5.8 ± 0.9,---,---,24294,6.3 ± 0.9
WBC,691,7.5 ± 4.4,15256,7.7 ± 4.0,52141,10.1 ± 4.3,---,---,29419,7.5 ± 3.2
