Analyte,eICU-CRD CV_intra,eICU-CRD CV_inter,eICU-CRD II,CHS CV_intra,CHS CV_inter,CHS II,INSPIRE CV_intra,INSPIRE CV_inter,INSPIRE II
A1C,---,---,---,"8.6 [8.5, 8.6]","16.5 [16.5, 16.6]","0.5 [0.5, 0.5]","4.8 [4.4, 5.3]","13.0 [11.8, 13.8]","0.4 [0.3, 0.4]"
ALB,"9.6 [9.5, 9.7]","22.4 [22.2, 22.6]","0.4 [0.4, 0.4]","6.7 [6.7, 6.8]","18.9 [18.3, 19.4]","0.4 [0.3, 0.4]","8.4 [8.3, 8.4]","13.4 [13.3, 13.5]","0.6 [0.6, 0.6]"
ALP,"11.6 [11.4, 11.8]","41.1 [40.7, 41.6]","0.3 [0.3, 0.3]","17.8 [17.7, 17.8]","30.1 [30.0, 30.2]","0.6 [0.6, 0.6]","10.9 [10.7, 11.0]","34.0 [33.7, 34.4]","0.3 [0.3, 0.3]"
ALT,"17.8 [17.5, 18.0]","62.5 [61.8, 63.3]","0.3 [0.3, 0.3]","34.2 [34.2, 34.3]","50.2 [50.0, 50.5]","0.7 [0.7, 0.7]","19.2 [19.0, 19.4]","49.8 [49.3, 50.3]","0.4 [0.4, 0.4]"
AST,"19.5 [19.3, 19.8]","61.4 [60.7, 62.1]","0.3 [0.3, 0.3]","24.7 [24.6, 24.7]","35.1 [34.9, 35.4]","0.7 [0.7, 0.7]","14.4 [14.3, 14.6]","32.6 [32.2, 32.9]","0.4 [0.4, 0.5]"
BUN,"18.6 [18.5, 18.7]","57.2 [56.9, 57.4]","0.3 [0.3, 0.3]","20.5 [20.4, 20.5]","36.2 [36.2, 36.3]","0.6 [0.6, 0.6]","15.4 [15.2, 15.5]","42.0 [41.5, 42.4]","0.4 [0.4, 0.4]"
CA,"4.0 [3.9, 4.0]","7.1 [7.0, 7.1]","0.6 [0.6, 0.6]","3.5 [3.5, 3.5]","3.7 [3.7, 3.7]","0.9 [0.9, 0.9]","4.4 [4.3, 4.4]","5.6 [5.5, 5.6]","0.8 [0.8, 0.8]"
CL,"2.2 [2.2, 2.2]","5.1 [5.1, 5.1]","0.4 [0.4, 0.4]","2.4 [2.3, 2.4]","2.3 [2.2, 2.3]","1.0 [1.0, 1.1]","1.9 [1.8, 1.9]","3.3 [3.3, 3.3]","0.6 [0.6, 0.6]"
CO2,"7.7 [7.7, 7.8]","15.8 [15.7, 15.9]","0.5 [0.5, 0.5]","17.7 [17.3, 18.2]","27.0 [25.9, 28.1]","0.7 [0.6, 0.7]","5.5 [5.4, 5.6]","10.2 [10.1, 10.4]","0.5 [0.5, 0.6]"
CRE,"15.2 [15.1, 15.3]","48.2 [47.9, 48.4]","0.3 [0.3, 0.3]","12.2 [12.2, 12.2]","34.7 [34.4, 34.9]","0.3 [0.3, 0.4]","11.0 [11.0, 11.1]","25.3 [25.2, 25.5]","0.4 [0.4, 0.4]"
