Analyte,N (events),PopRI HR,PerRI HR,NORMA HR
A1C,1123 (548),"2.80 [1.79, 4.37]","1.69 [1.29, 2.20]","3.18 [2.12, 4.78]"
ALB,8657 (3241),"2.12 [1.93, 2.33]","1.43 [1.27, 1.61]","1.73 [1.57, 1.91]"
ALP,13718 (5129),"1.52 [1.41, 1.63]","1.38 [1.22, 1.57]","1.60 [1.47, 1.74]"
ALT,17349 (6453),"1.60 [1.49, 1.72]","1.48 [1.30, 1.67]","1.73 [1.61, 1.87]"
AST,17360 (6460),"1.66 [1.56, 1.77]","1.62 [1.44, 1.84]","1.71 [1.59, 1.83]"
BUN,18207 (6968),"1.69 [1.56, 1.83]","1.55 [1.38, 1.74]","1.70 [1.57, 1.84]"
CA,10526 (3971),"1.66 [1.53, 1.80]","1.47 [1.33, 1.64]","1.73 [1.57, 1.89]"
CL,220 (128),"1.36 [0.72, 2.59]","2.15 [0.77, 5.95]","1.78 [0.98, 3.22]"
CO2,---,---,---,---
CRE,20075 (7643),"1.67 [1.58, 1.77]","1.50 [1.39, 1.63]","1.79 [1.69, 1.91]"
DBIL,---,---,---,---
GLU,19544 (7559),"89.23 [46.39, 171.61]","3.54 [2.93, 4.27]","43.46 [26.60, 71.00]"
HCT,22419 (8436),"1.95 [1.78, 2.13]","1.47 [1.33, 1.64]","1.91 [1.72, 2.11]"
HDL,13762 (5012),"1.46 [1.34, 1.58]","1.13 [0.98, 1.29]","1.46 [1.32, 1.61]"
HGB,22401 (8429),"1.76 [1.64, 1.89]","1.53 [1.38, 1.68]","2.04 [1.87, 2.22]"
K,17051 (6547),"1.43 [1.33, 1.52]","1.54 [1.41, 1.69]","1.66 [1.53, 1.79]"
LDL,16089 (5722),"0.74 [0.69, 0.80]","1.24 [1.12, 1.38]","1.01 [0.93, 1.09]"
MCH,20249 (7642),"1.49 [1.39, 1.61]","1.28 [1.17, 1.41]","1.82 [1.62, 2.04]"
MCHC,22406 (8435),"1.53 [1.20, 1.96]","1.37 [1.27, 1.49]","1.49 [1.17, 1.91]"
MCV,22279 (8383),"1.39 [1.32, 1.47]","1.26 [1.15, 1.38]","1.69 [1.55, 1.84]"
MPV,20460 (7746),"1.50 [1.41, 1.59]","1.23 [1.14, 1.33]",---
NA,17182 (6604),"1.83 [1.71, 1.95]","1.59 [1.43, 1.77]","2.02 [1.89, 2.17]"
PLT,22371 (8429),"1.49 [1.41, 1.58]","1.30 [1.16, 1.46]","1.50 [1.42, 1.59]"
RBC,22365 (8419),---,"1.37 [1.22, 1.55]",---
RDW,22293 (8385),"1.59 [1.49, 1.70]","1.42 [1.29, 1.56]","1.74 [1.58, 1.92]"
TBIL,8749 (3320),"1.57 [1.43, 1.71]","1.49 [1.35, 1.65]","1.28 [1.12, 1.47]"
TC,17507 (6345),"0.84 [0.77, 0.92]","1.19 [1.07, 1.32]","1.04 [0.95, 1.14]"
TGL,---,---,---,---
TP,8676 (3241),"1.86 [1.70, 2.04]","1.49 [1.33, 1.68]","1.67 [1.51, 1.85]"
WBC,22431 (8441),"1.82 [1.71, 1.94]","1.53 [1.36, 1.71]","2.04 [1.89, 2.21]"
