Analyte,N (events),PopRI HR,PerRI HR,Gaussian_mle HR,Gaussian_trunc HR,Gaussian_eb HR,Cohen_m4 HR,NORMA HR
A1C,---,---,---,---,---,---,---,---
ALB,7148 (227),"1.27 [0.73, 2.23]","2.10 [0.86, 5.10]","1.26 [0.70, 2.25]","0.99 [0.54, 1.81]","1.44 [0.79, 2.65]","1.32 [0.72, 2.42]","1.47 [0.80, 2.69]"
ALP,5491 (202),"1.35 [1.01, 1.81]","1.18 [0.89, 1.57]","1.41 [1.07, 1.86]","1.40 [1.06, 1.84]","1.22 [0.92, 1.62]","1.36 [1.03, 1.79]","1.36 [1.03, 1.80]"
ALT,4834 (183),"0.90 [0.66, 1.22]","0.85 [0.63, 1.14]","0.90 [0.67, 1.21]","0.98 [0.73, 1.31]","0.90 [0.67, 1.22]","1.04 [0.78, 1.40]","0.97 [0.72, 1.30]"
AST,4804 (176),"1.36 [1.01, 1.83]","1.13 [0.83, 1.53]","1.34 [1.00, 1.81]","1.29 [0.95, 1.74]","1.33 [0.99, 1.79]","1.20 [0.87, 1.65]","1.43 [1.06, 1.93]"
BUN,22944 (372),"1.31 [1.04, 1.65]","1.28 [0.98, 1.67]","1.27 [0.99, 1.62]","1.28 [0.98, 1.67]","1.37 [1.08, 1.74]","1.33 [1.04, 1.70]","1.44 [1.13, 1.83]"
CA,22430 (366),"1.68 [1.33, 2.12]","1.80 [1.38, 2.34]","1.66 [1.30, 2.12]","1.33 [1.02, 1.73]","1.74 [1.37, 2.21]","1.79 [1.40, 2.28]","1.66 [1.31, 2.10]"
CL,23725 (369),"1.50 [1.22, 1.85]","1.45 [1.16, 1.83]","1.34 [1.08, 1.65]","1.23 [0.97, 1.56]","1.43 [1.16, 1.76]","1.32 [1.05, 1.66]","1.45 [1.18, 1.79]"
CO2,35837 (538),"1.47 [1.24, 1.75]","1.42 [1.18, 1.71]","1.39 [1.16, 1.67]","1.20 [0.98, 1.47]","1.46 [1.23, 1.74]","1.52 [1.26, 1.84]","1.48 [1.25, 1.77]"
CRE,21901 (355),"1.40 [1.13, 1.73]","1.40 [1.12, 1.74]","1.35 [1.09, 1.68]","1.30 [1.03, 1.64]","1.33 [1.07, 1.65]","1.33 [1.06, 1.68]","1.35 [1.09, 1.67]"
DBIL,465 (16),"1.32 [0.46, 3.80]","0.89 [0.30, 2.68]","0.95 [0.31, 2.92]","0.79 [0.22, 2.90]","1.16 [0.40, 3.35]","0.46 [0.16, 1.36]","1.16 [0.40, 3.34]"
GLU,40018 (470),"1.00 [0.79, 1.27]","0.99 [0.76, 1.30]","1.08 [0.83, 1.40]","1.13 [0.84, 1.51]","1.12 [0.87, 1.44]","1.22 [0.82, 1.80]","1.11 [0.86, 1.44]"
HCT,25616 (381),"1.00 [0.64, 1.57]","1.53 [0.76, 3.08]","1.04 [0.64, 1.69]","0.83 [0.51, 1.35]","1.05 [0.65, 1.68]","1.01 [0.62, 1.66]","1.02 [0.64, 1.62]"
HDL,---,---,---,---,---,---,---,---
HGB,25855 (386),"1.22 [0.76, 1.96]","1.63 [0.84, 3.17]","1.30 [0.78, 2.19]","1.14 [0.66, 1.94]","1.27 [0.77, 2.10]","1.15 [0.72, 1.86]","1.25 [0.76, 2.03]"
K,29030 (402),"1.19 [0.93, 1.52]","1.13 [0.92, 1.39]","1.17 [0.94, 1.45]","1.14 [0.93, 1.39]","1.11 [0.88, 1.40]","0.99 [0.81, 1.22]","1.11 [0.87, 1.40]"
LDL,---,---,---,---,---,---,---,---
MCH,18448 (329),"0.92 [0.72, 1.18]","1.05 [0.84, 1.30]","1.02 [0.82, 1.28]","0.98 [0.79, 1.23]","1.01 [0.80, 1.27]","0.95 [0.76, 1.20]","0.95 [0.75, 1.21]"
MCHC,19828 (339),"0.89 [0.72, 1.10]","0.95 [0.76, 1.19]","0.94 [0.76, 1.17]","0.95 [0.75, 1.20]","0.92 [0.74, 1.14]","0.96 [0.77, 1.19]","0.90 [0.72, 1.12]"
MCV,19632 (341),"0.98 [0.71, 1.36]","1.13 [0.91, 1.40]","1.21 [0.95, 1.54]","1.17 [0.93, 1.47]","1.19 [0.92, 1.55]","0.97 [0.70, 1.34]","1.17 [0.88, 1.54]"
MPV,---,---,---,---,---,---,---,---
NA,26992 (389),"1.30 [1.06, 1.59]","1.44 [1.17, 1.76]","1.37 [1.12, 1.68]","1.09 [0.89, 1.34]","1.26 [1.03, 1.54]","1.33 [1.09, 1.63]","1.34 [1.09, 1.64]"
PLT,21366 (360),"1.81 [1.47, 2.23]","1.49 [1.18, 1.88]","1.52 [1.23, 1.87]","1.51 [1.22, 1.88]","1.56 [1.27, 1.92]","1.92 [1.56, 2.37]","1.89 [1.53, 2.33]"
RBC,20635 (351),"1.50 [0.95, 2.37]","1.72 [0.98, 3.00]","1.98 [1.13, 3.45]","1.50 [0.86, 2.62]","1.83 [1.09, 3.08]","1.59 [0.98, 2.56]","1.49 [0.94, 2.37]"
RDW,18878 (318),"1.46 [1.11, 1.92]","1.27 [0.95, 1.71]","1.22 [0.92, 1.60]","1.24 [0.93, 1.66]","1.42 [1.07, 1.87]","1.80 [1.29, 2.50]","1.42 [1.08, 1.87]"
TBIL,4944 (188),"1.21 [0.89, 1.66]","1.27 [0.95, 1.69]","1.23 [0.91, 1.65]","0.98 [0.73, 1.32]","1.24 [0.93, 1.67]","1.06 [0.79, 1.42]","1.14 [0.84, 1.55]"
TC,---,---,---,---,---,---,---,---
TGL,141 (7),"0.84 [0.17, 3.98]","2.47 [0.28, 21.60]","0.62 [0.13, 3.03]","0.95 [0.20, 4.58]","0.82 [0.17, 3.87]","1.25 [0.24, 6.54]","1.14 [0.23, 5.60]"
TP,6029 (217),"1.07 [0.81, 1.42]","1.11 [0.81, 1.52]","1.09 [0.81, 1.46]","1.04 [0.75, 1.44]","1.05 [0.79, 1.40]","1.04 [0.77, 1.41]","1.10 [0.82, 1.47]"
WBC,20002 (329),"1.90 [1.51, 2.38]","1.96 [1.51, 2.54]","1.71 [1.35, 2.16]","1.64 [1.28, 2.08]","1.83 [1.45, 2.30]","2.06 [1.61, 2.63]","1.85 [1.47, 2.33]"
