Analyte,N (events),PopRI HR,PerRI HR,Gaussian_mle HR,Gaussian_trunc HR,Gaussian_eb HR,Cohen_m4 HR,NORMA HR
A1C,---,---,---,---,---,---,---,---
ALB,8136 (53),"1.04 [0.59, 1.83]","1.03 [0.56, 1.90]","1.09 [0.61, 1.96]","1.58 [0.78, 3.19]","1.08 [0.61, 1.92]","0.86 [0.49, 1.52]","0.98 [0.56, 1.74]"
ALP,7448 (62),"1.48 [0.73, 3.00]","1.13 [0.68, 1.86]","1.83 [1.08, 3.12]","1.50 [0.89, 2.53]","2.02 [1.18, 3.46]","2.06 [1.16, 3.66]","1.61 [0.91, 2.86]"
ALT,5971 (83),"0.95 [0.60, 1.51]","0.93 [0.60, 1.45]","0.86 [0.55, 1.34]","0.85 [0.55, 1.32]","0.77 [0.49, 1.22]","1.36 [0.88, 2.09]","0.94 [0.60, 1.47]"
AST,5949 (81),"1.25 [0.57, 2.75]","0.97 [0.62, 1.51]","1.16 [0.67, 2.01]","1.11 [0.70, 1.77]","1.34 [0.78, 2.30]","1.01 [0.62, 1.66]","1.08 [0.58, 2.01]"
BUN,8579 (68),"1.38 [0.85, 2.22]","1.03 [0.63, 1.69]","1.30 [0.81, 2.09]","1.28 [0.78, 2.11]","1.41 [0.87, 2.27]","1.14 [0.71, 1.84]","1.21 [0.75, 1.96]"
CA,8337 (65),"0.99 [0.60, 1.64]","1.24 [0.72, 2.12]","1.00 [0.60, 1.67]","0.69 [0.41, 1.16]","0.95 [0.58, 1.57]","1.07 [0.65, 1.77]","0.99 [0.60, 1.64]"
CL,10330 (70),"1.67 [1.04, 2.69]","1.26 [0.78, 2.02]","1.79 [1.12, 2.88]","1.45 [0.90, 2.33]","1.96 [1.22, 3.14]","1.45 [0.90, 2.33]","1.76 [1.10, 2.82]"
CO2,2288 (390),"0.82 [0.67, 1.01]","1.07 [0.87, 1.32]","0.81 [0.66, 0.99]","0.82 [0.67, 1.00]","0.82 [0.67, 1.01]","0.83 [0.68, 1.02]","0.83 [0.68, 1.02]"
CRE,8512 (54),"1.41 [0.81, 2.45]","1.78 [1.02, 3.10]","1.20 [0.69, 2.09]","1.29 [0.75, 2.22]","1.36 [0.79, 2.37]","1.48 [0.86, 2.56]","1.34 [0.77, 2.32]"
DBIL,---,---,---,---,---,---,---,---
GLU,13681 (473),"1.27 [1.00, 1.60]","1.25 [0.94, 1.64]","1.45 [1.11, 1.88]","1.44 [1.10, 1.88]","1.26 [1.00, 1.59]","1.66 [1.17, 2.38]","1.37 [1.08, 1.75]"
HCT,17278 (88),"1.28 [0.64, 2.57]","1.66 [0.61, 4.55]","1.05 [0.52, 2.11]","0.85 [0.39, 1.84]","1.37 [0.66, 2.84]","1.18 [0.59, 2.37]","1.21 [0.60, 2.42]"
HDL,---,---,---,---,---,---,---,---
HGB,11575 (58),"1.16 [0.49, 2.73]","0.82 [0.33, 2.08]","0.97 [0.41, 2.29]","1.02 [0.41, 2.58]","1.07 [0.46, 2.53]","1.13 [0.48, 2.66]","1.11 [0.47, 2.61]"
K,16068 (118),"1.83 [1.17, 2.86]","1.09 [0.75, 1.59]","1.44 [0.96, 2.15]","1.15 [0.80, 1.66]","1.81 [1.20, 2.73]","2.06 [1.43, 2.97]","1.82 [1.22, 2.73]"
LDL,---,---,---,---,---,---,---,---
MCH,---,---,---,---,---,---,---,---
MCHC,---,---,---,---,---,---,---,---
MCV,---,---,---,---,---,---,---,---
MPV,---,---,---,---,---,---,---,---
NA,15704 (115),"1.94 [1.29, 2.92]","1.44 [0.99, 2.08]","1.85 [1.26, 2.73]","1.56 [1.05, 2.31]","2.27 [1.54, 3.33]","2.47 [1.71, 3.57]","1.78 [1.20, 2.63]"
PLT,10908 (52),"5.21 [3.01, 9.03]","1.01 [0.58, 1.76]","1.93 [1.11, 3.33]","1.65 [0.95, 2.85]","2.24 [1.30, 3.87]","3.73 [2.16, 6.47]","3.21 [1.86, 5.54]"
RBC,---,---,---,---,---,---,---,---
RDW,---,---,---,---,---,---,---,---
TBIL,7123 (81),"2.31 [1.41, 3.79]","2.70 [1.73, 4.22]","2.90 [1.85, 4.54]","2.21 [1.38, 3.56]","2.80 [1.79, 4.38]","1.84 [1.18, 2.88]","2.01 [1.26, 3.22]"
TC,---,---,---,---,---,---,---,---
TGL,---,---,---,---,---,---,---,---
TP,7928 (59),"0.77 [0.45, 1.33]","0.68 [0.41, 1.15]","0.77 [0.45, 1.29]","0.59 [0.35, 0.98]","0.76 [0.45, 1.29]","0.81 [0.49, 1.36]","0.87 [0.52, 1.48]"
WBC,11074 (59),"2.73 [1.64, 4.56]","1.69 [1.00, 2.87]","2.19 [1.31, 3.67]","2.04 [1.21, 3.44]","2.62 [1.56, 4.38]","2.29 [1.36, 3.82]","2.44 [1.46, 4.07]"
