Dataset,Outcome,Subset,Method,N,Events,NRI,NRI (events),NRI (non-events),SE,p-value
eICU-CRD,Mortality,refit,Per$_{RI}$,"1,660",207,-0.0737,-0.0290,-0.0447,nan,---
eICU-CRD,Mortality,refit,Cohen,"1,660",207,0.0159,0.0193,-0.0034,nan,---
eICU-CRD,Mortality,refit,Gaussian,"1,660",207,0.0304,0.0531,-0.0227,nan,---
eICU-CRD,Mortality,refit,Trunc. Gaussian,"1,660",207,-0.0385,0.0000,-0.0385,nan,---
eICU-CRD,Mortality,refit,Empirical Bayes,"1,660",207,-0.0096,0.0048,-0.0145,nan,---
eICU-CRD,Mortality,refit,NORMA$_{RI}$,"1,660",207,-0.0228,-0.0242,0.0014,nan,---
eICU-CRD,Mortality,refit,NORMA | sex,"1,660",207,-0.0117,-0.0097,-0.0021,nan,---
eICU-CRD,Mortality,refit,"NORMA | sex, age","1,660",207,0.0034,-0.0048,0.0083,nan,---
eICU-CRD,Mortality,refit,"NORMA | sex, age, setting, analytes","1,660",207,0.0076,0.0145,-0.0069,nan,---
eICU-CRD,Acute Kidney Injury,refit,Per$_{RI}$,"1,657",238,-0.0225,-0.0084,-0.0141,nan,---
eICU-CRD,Acute Kidney Injury,refit,Cohen,"1,657",238,0.0295,0.0168,0.0127,nan,---
eICU-CRD,Acute Kidney Injury,refit,Gaussian,"1,657",238,-0.0694,-0.0588,-0.0106,nan,---
eICU-CRD,Acute Kidney Injury,refit,Trunc. Gaussian,"1,657",238,-0.0463,-0.0294,-0.0169,nan,---
eICU-CRD,Acute Kidney Injury,refit,Empirical Bayes,"1,657",238,-0.0021,-0.0042,0.0021,nan,---
eICU-CRD,Acute Kidney Injury,refit,NORMA$_{RI}$,"1,657",238,-0.0070,-0.0084,0.0014,nan,---
eICU-CRD,Acute Kidney Injury,refit,NORMA | sex,"1,657",238,0.0022,-0.0084,0.0106,nan,---
eICU-CRD,Acute Kidney Injury,refit,"NORMA | sex, age","1,657",238,-0.0400,-0.0336,-0.0063,nan,---
eICU-CRD,Acute Kidney Injury,refit,"NORMA | sex, age, setting, analytes","1,657",238,-0.0134,0.0000,-0.0134,nan,---
eICU-CRD,Sepsis,refit,Per$_{RI}$,"1,655",364,-0.0118,0.0192,-0.0310,nan,---
eICU-CRD,Sepsis,refit,Cohen,"1,655",364,0.0116,0.0302,-0.0186,nan,---
eICU-CRD,Sepsis,refit,Gaussian,"1,655",364,0.0147,0.0247,-0.0101,nan,---
eICU-CRD,Sepsis,refit,Trunc. Gaussian,"1,655",364,-0.0064,0.0137,-0.0201,nan,---
eICU-CRD,Sepsis,refit,Empirical Bayes,"1,655",364,-0.0093,0.0000,-0.0093,nan,---
eICU-CRD,Sepsis,refit,NORMA$_{RI}$,"1,655",364,-0.0073,0.0082,-0.0155,nan,---
eICU-CRD,Sepsis,refit,NORMA | sex,"1,655",364,-0.0080,0.0137,-0.0217,nan,---
eICU-CRD,Sepsis,refit,"NORMA | sex, age","1,655",364,-0.0135,0.0027,-0.0163,nan,---
eICU-CRD,Sepsis,refit,"NORMA | sex, age, setting, analytes","1,655",364,-0.0112,0.0027,-0.0139,nan,---
