Analyte,N,PopRI RR,PerRI RR,Gaussian_mle RR,Gaussian_trunc RR,Gaussian_eb RR,Cohen_m4 RR,NORMA RR
A1C,---,---,---,---,---,---,---,---
ALB,719,0.29 (0.19),1.34 (0.07),0.50 (0.62),1.89 (0.12),0.47 (0.84),0.45 (0.33),0.79 (0.30)
ALP,4114,1.87 (0.72),0.96 (0.18),1.31 (0.02),1.19 (0.05),1.47 (0.002),1.67 (0.04),1.23 ($<$0.001)
ALT,3331,0.56 (0.34),0.92 (0.84),0.71 (0.65),0.70 (0.27),0.67 (0.75),1.96 (0.02),0.61 (0.37)
AST,3468,1.55 (0.63),1.86 (0.005),3.17 (0.83),0.77 (0.73),3.45 (0.56),1.05 (0.82),1.02 (0.91)
BUN,10241,4.01 (0.03),0.54 (0.74),2.11 (0.04),1.86 (0.08),1.75 (0.11),0.96 (0.42),0.88 (0.80)
CA,9768,1.67 (0.12),0.50 (0.16),0.59 (0.004),0.53 (0.55),0.56 (0.03),0.64 ($<$0.001),0.47 (0.58)
CL,13820,1.60 (0.17),0.57 (0.37),0.53 (0.36),0.48 (0.91),0.63 (0.53),0.63 (0.26),1.69 (0.21)
CO2,21844,2.21 (0.16),0.39 (0.67),0.49 (0.20),0.50 (0.93),0.73 (0.006),1.63 ($<$0.001),1.58 (0.12)
CRE,12457,0.55 (0.34),1.51 (0.12),1.70 (0.03),1.61 (0.30),1.24 (0.16),1.54 ($<$0.001),1.09 (0.36)
DBIL,208,1.14 (0.45),2.36 (0.16),---,0.44 (0.64),---,2.05 (0.38),1.81 (0.77)
GLU,15381,2.50 (0.34),0.33 (0.46),2.50 (0.79),0.69 (0.94),2.47 (0.95),0.65 (0.005),0.47 (0.22)
HCT,1969,0.63 (0.64),1.75 (0.05),0.23 (0.06),1.07 (0.35),0.22 (0.05),1.96 (0.53),1.33 (0.72)
HDL,---,---,---,---,---,---,---,---
HGB,2207,1.56 (0.55),2.66 ($<$0.001),0.65 (0.18),0.53 (0.22),0.49 (0.13),0.78 (0.98),1.05 (0.62)
K,23678,0.87 (0.40),0.55 (0.03),0.74 (0.65),2.70 (0.22),0.63 ($<$0.001),0.85 (0.14),0.69 (0.71)
LDL,---,---,---,---,---,---,---,---
MCH,12514,0.50 (0.22),1.08 (0.009),1.23 (0.06),0.61 (0.33),1.03 (0.08),2.12 (0.010),0.74 (0.35)
MCHC,10379,1.09 (0.40),0.41 (0.78),0.72 (0.69),0.65 (0.19),0.75 (0.47),2.33 (0.003),0.66 (0.65)
MCV,15660,1.00 (0.29),0.71 (0.08),0.87 (0.01),0.89 (0.08),0.89 (0.02),0.63 (0.59),1.54 (0.43)
MPV,12290,0.89 (0.58),0.75 (0.91),1.18 (0.18),1.39 (0.05),1.37 (0.05),---,1.11 (0.66)
NA,19115,1.31 (0.08),0.96 (0.04),0.94 (0.10),3.75 (0.006),0.99 (0.005),1.03 (0.04),1.85 (0.77)
PLT,13748,1.31 (0.82),0.99 (0.54),0.75 (0.85),0.89 (0.52),0.72 (0.90),1.66 (0.007),1.67 (0.002)
RBC,2465,1.20 (0.48),1.28 (0.35),1.35 (0.35),1.08 (0.40),1.99 (0.01),1.92 (0.009),1.24 (0.55)
RDW,6527,2.50 (0.06),1.13 (0.56),0.89 (0.87),1.57 (0.15),1.18 (0.85),1.82 (0.58),0.80 (0.98)
TBIL,3940,0.48 (0.40),0.57 (0.20),1.06 (0.33),0.84 (0.36),0.82 (0.49),0.83 (0.78),0.91 (0.19)
TC,---,---,---,---,---,---,---,---
TGL,---,---,---,---,---,---,---,---
TP,2647,0.67 (0.09),0.80 (0.20),0.92 (0.12),0.59 (0.38),0.81 (0.32),3.22 (0.82),0.97 (0.22)
WBC,11486,0.74 (0.16),1.07 (0.001),0.78 (0.02),1.21 (0.04),0.86 (0.003),0.98 (0.24),0.82 (0.004)
