Analyte,N,PopRI RR,PerRI RR,Gaussian_mle RR,Gaussian_trunc RR,Gaussian_eb RR,Cohen_m4 RR,NORMA RR
A1C,---,---,---,---,---,---,---,---
ALB,2443,0.86 (0.48),1.20 ($<$0.001),1.08 (0.15),0.65 ($<$0.001),0.97 (0.70),0.91 (0.18),1.29 (0.58)
ALP,10723,1.06 (0.16),1.03 (0.48),1.13 ($<$0.001),1.11 (0.02),1.14 ($<$0.001),1.15 ($<$0.001),1.08 (0.64)
ALT,9325,1.13 (0.93),1.10 (0.006),0.93 (0.42),0.98 (0.49),0.99 (0.31),1.10 (0.34),0.96 (0.59)
AST,10088,1.14 (0.07),0.93 (0.20),1.14 (0.04),1.14 (0.96),1.05 (0.11),0.96 (0.09),1.14 ($<$0.001)
BUN,33084,1.00 (0.18),1.09 ($<$0.001),1.16 (0.002),0.96 (0.14),1.16 (0.002),1.04 (0.45),0.94 (0.73)
CA,34584,1.05 (0.006),1.22 ($<$0.001),1.08 ($<$0.001),1.02 (0.04),0.98 (0.08),1.04 (0.02),1.03 (0.28)
CL,44543,1.19 ($<$0.001),1.09 ($<$0.001),1.17 ($<$0.001),1.16 (0.01),1.18 ($<$0.001),1.19 ($<$0.001),1.11 (0.93)
CO2,51709,1.06 (1.00),1.36 ($<$0.001),1.20 ($<$0.001),0.88 (0.98),1.12 ($<$0.001),1.01 (0.12),1.02 (0.11)
CRE,37210,0.91 (0.56),1.01 (0.47),1.00 (0.32),0.98 (0.87),1.18 ($<$0.001),1.18 ($<$0.001),1.06 (0.12)
DBIL,573,1.21 (0.49),1.11 (0.98),1.02 (0.35),2.02 (0.14),0.74 (0.38),1.01 (0.83),0.92 (0.39)
GLU,50662,1.02 (0.88),1.09 ($<$0.001),0.95 ($<$0.001),1.00 (0.80),1.09 ($<$0.001),1.22 ($<$0.001),1.00 (0.60)
HCT,6110,1.05 (0.98),1.10 ($<$0.001),0.95 (0.03),1.21 (0.36),1.02 (0.005),0.88 (0.02),1.01 (0.56)
HDL,---,---,---,---,---,---,---,---
HGB,6634,1.00 (0.93),0.71 ($<$0.001),0.89 (0.36),1.12 (0.58),1.12 (0.04),1.23 (0.03),0.91 (0.24)
K,62449,1.15 ($<$0.001),1.12 ($<$0.001),0.98 (0.46),1.07 ($<$0.001),1.09 ($<$0.001),1.22 ($<$0.001),1.14 ($<$0.001)
LDL,---,---,---,---,---,---,---,---
MCH,36541,0.91 (0.03),1.10 ($<$0.001),0.99 (0.15),0.93 ($<$0.001),1.05 ($<$0.001),1.18 ($<$0.001),0.98 (0.16)
MCHC,31442,0.99 (0.53),1.04 ($<$0.001),1.00 ($<$0.001),1.00 (0.74),1.00 ($<$0.001),1.04 ($<$0.001),1.02 (0.83)
MCV,45217,1.09 ($<$0.001),0.92 ($<$0.001),1.05 ($<$0.001),0.96 ($<$0.001),0.98 ($<$0.001),1.14 ($<$0.001),1.05 ($<$0.001)
MPV,34466,1.10 ($<$0.001),1.17 ($<$0.001),1.02 (0.68),1.13 ($<$0.001),0.98 ($<$0.001),---,1.01 ($<$0.001)
NA,52291,1.19 ($<$0.001),1.03 ($<$0.001),1.12 ($<$0.001),0.90 (0.010),1.17 ($<$0.001),1.28 ($<$0.001),1.14 (0.30)
PLT,42305,1.51 ($<$0.001),0.93 (0.50),0.86 (0.04),0.75 ($<$0.001),0.85 (0.10),1.37 ($<$0.001),1.30 ($<$0.001)
RBC,8237,0.87 (1.00),0.97 ($<$0.001),1.13 ($<$0.001),1.16 (0.37),1.20 (0.07),1.03 (0.39),0.91 (0.75)
RDW,19284,0.97 (0.001),1.18 (0.93),1.03 (0.87),0.89 ($<$0.001),1.47 ($<$0.001),1.30 ($<$0.001),1.24 (0.32)
TBIL,10896,0.98 (0.58),1.08 (0.38),1.04 (0.88),0.98 (0.60),1.20 (0.002),0.94 (0.02),1.12 (0.09)
TC,---,---,---,---,---,---,---,---
TGL,219,1.41 (0.69),2.19 (0.06),0.98 (0.71),1.00 (0.79),1.04 (0.66),1.65 (0.02),0.99 (0.88)
TP,8281,1.00 (0.03),0.96 (0.13),1.08 (0.92),1.08 (0.92),1.13 (0.001),0.99 (0.53),0.89 (0.05)
WBC,38749,1.22 ($<$0.001),1.47 ($<$0.001),1.17 ($<$0.001),1.24 ($<$0.001),1.09 ($<$0.001),1.19 ($<$0.001),1.03 (0.004)
