Analyte,N,PopRI RR,PerRI RR,Gaussian_mle RR,Gaussian_trunc RR,Gaussian_eb RR,Cohen_m4 RR,NORMA RR
A1C,---,---,---,---,---,---,---,---
ALB,7069,1.66 (0.01),1.60 (0.008),1.39 (0.15),1.16 (0.33),1.14 (0.48),0.72 (0.87),1.10 (0.18)
ALP,11232,1.25 (0.002),0.83 (0.24),1.21 (0.03),1.12 (0.18),1.25 (0.05),2.24 ($<$0.001),1.41 (0.02)
ALT,7904,0.96 (0.87),1.18 (0.36),1.25 (0.08),1.06 (0.30),1.12 (0.23),1.63 ($<$0.001),1.26 (0.05)
AST,9432,1.52 ($<$0.001),1.13 (0.02),1.27 (0.005),1.22 (0.003),1.23 (0.001),1.00 (0.97),1.43 ($<$0.001)
BUN,10461,0.83 (0.15),0.78 (0.76),1.12 (0.08),0.75 (0.82),1.09 (0.06),0.87 (0.51),0.90 (0.37)
CA,7973,0.90 (0.40),0.87 (0.12),1.03 (0.48),1.06 (0.51),1.05 (0.65),1.62 (0.009),1.31 (0.01)
CL,14117,1.23 (0.04),0.90 (0.55),1.09 (0.03),0.70 (0.10),1.20 (0.06),1.38 (0.010),1.06 (0.19)
CO2,6339,1.31 (0.52),0.98 (0.36),1.13 (0.51),0.76 (0.16),1.01 (0.53),1.00 (0.32),0.79 (0.10)
CRE,10546,0.95 (1.00),1.21 (0.02),1.06 (0.73),0.86 (0.74),1.19 (0.33),3.34 ($<$0.001),1.75 ($<$0.001)
DBIL,---,---,---,---,---,---,---,---
GLU,8058,1.08 (0.45),1.22 (0.94),1.65 (0.07),1.49 (0.09),1.42 (0.06),2.44 ($<$0.001),1.28 (0.36)
HCT,4739,1.10 (0.76),1.54 (0.06),0.66 (0.94),1.39 (0.30),1.14 (0.92),2.60 (0.001),1.34 (0.50)
HDL,---,---,---,---,---,---,---,---
HGB,2720,0.61 (0.12),1.38 (0.55),0.70 (0.53),0.71 (0.73),0.68 (0.82),4.46 ($<$0.001),0.64 (0.72)
K,23234,1.07 ($<$0.001),1.03 (0.72),1.44 (0.87),1.09 (0.13),0.97 (0.01),1.33 ($<$0.001),1.04 ($<$0.001)
LDL,---,---,---,---,---,---,---,---
MCH,---,---,---,---,---,---,---,---
MCHC,---,---,---,---,---,---,---,---
MCV,---,---,---,---,---,---,---,---
MPV,---,---,---,---,---,---,---,---
NA,21996,1.27 ($<$0.001),0.91 (0.76),0.79 (0.04),1.35 (0.003),1.19 ($<$0.001),2.14 ($<$0.001),1.03 (0.79)
PLT,15112,2.42 ($<$0.001),1.46 (0.26),1.30 (0.98),0.71 (0.62),1.01 (0.86),2.08 ($<$0.001),1.44 ($<$0.001)
RBC,---,---,---,---,---,---,---,---
RDW,---,---,---,---,---,---,---,---
TBIL,9976,0.99 (0.61),1.27 (0.81),1.35 (0.46),0.82 (0.79),1.31 (0.010),1.15 (0.16),1.80 (0.01)
TC,---,---,---,---,---,---,---,---
TGL,---,---,---,---,---,---,---,---
TP,8854,1.71 ($<$0.001),0.98 (0.14),1.09 (0.07),1.38 ($<$0.001),0.89 (0.15),0.77 (0.81),0.97 (0.92)
WBC,14418,1.37 (0.21),1.41 (0.10),0.89 (0.79),1.48 (0.18),1.29 (0.19),0.96 (0.36),1.37 (0.17)
