Analyte,N,PopRI RR,PerRI RR,Gaussian_mle RR,Gaussian_trunc RR,Gaussian_eb RR,Cohen_m4 RR,NORMA RR
A1C,---,---,---,---,---,---,---,---
ALB,6884,2.10 (0.001),0.97 (0.45),1.16 (0.01),1.95 (0.29),1.79 (0.78),2.48 (0.02),2.41 (0.008)
ALP,10869,1.19 (0.72),1.02 (0.47),1.00 (0.49),1.00 (0.91),1.06 (0.35),1.35 (0.16),1.44 (0.99)
ALT,7582,1.24 (0.27),1.72 (0.01),1.75 (0.27),1.19 (0.75),1.70 (0.23),0.92 (0.83),0.96 (0.15)
AST,9069,1.11 (0.81),0.97 (0.15),1.19 (0.19),0.69 (0.38),1.18 (0.20),1.32 (0.12),1.31 (0.55)
BUN,10139,1.49 (0.18),0.89 (0.86),0.88 (0.74),1.33 (0.24),0.93 (0.83),0.80 (0.38),1.12 (0.55)
CA,7692,1.53 (0.26),1.21 (0.07),1.49 (0.36),0.70 (0.36),1.22 (0.44),1.48 (0.43),1.10 (0.99)
CL,13720,0.58 (0.84),0.86 (0.94),0.66 (0.81),0.65 (0.43),0.63 (0.73),1.15 (0.78),0.62 (0.53)
CO2,6049,0.92 (0.92),1.06 (0.09),0.96 (0.23),0.76 (0.60),1.39 (0.005),1.22 (0.17),1.04 (0.28)
CRE,10233,2.17 (0.06),1.14 (0.15),1.82 ($<$0.001),0.72 (0.65),2.18 (0.01),2.62 ($<$0.001),1.35 (0.06)
DBIL,---,---,---,---,---,---,---,---
GLU,7799,1.48 (0.76),1.42 (0.07),1.15 (0.79),1.59 (0.45),1.31 (0.55),1.30 (0.007),1.20 (0.68)
HCT,4660,2.26 (0.37),1.73 (0.24),1.64 (0.04),0.69 (0.46),0.57 (0.32),2.02 (0.34),0.30 (0.79)
HDL,---,---,---,---,---,---,---,---
HGB,2668,0.91 (0.97),1.00 (0.55),0.32 (0.31),0.69 (0.40),1.43 (0.36),1.35 (0.35),2.37 (0.87)
K,22773,0.82 (0.45),0.71 (0.03),1.17 (0.98),0.90 (0.64),0.72 (0.91),0.47 (0.79),0.88 (0.63)
LDL,---,---,---,---,---,---,---,---
MCH,---,---,---,---,---,---,---,---
MCHC,---,---,---,---,---,---,---,---
MCV,---,---,---,---,---,---,---,---
MPV,---,---,---,---,---,---,---,---
NA,21562,1.10 (0.37),1.60 (0.09),1.16 (0.43),1.08 (0.07),1.03 (0.74),0.79 (0.73),1.56 (0.35)
PLT,14729,1.08 (0.32),1.37 (0.10),1.29 (0.12),1.09 (0.27),1.38 (0.02),0.92 (0.06),1.22 (0.10)
RBC,---,---,---,---,---,---,---,---
RDW,---,---,---,---,---,---,---,---
TBIL,9626,1.16 (0.96),0.83 (0.34),0.92 (0.67),0.66 (0.12),1.07 (0.11),1.06 (0.24),1.18 (0.62)
TC,---,---,---,---,---,---,---,---
TGL,---,---,---,---,---,---,---,---
TP,8565,2.98 ($<$0.001),0.68 (0.71),1.00 (0.83),1.25 (0.03),1.03 (0.50),0.49 (0.90),1.51 (0.19)
WBC,14012,1.14 (0.77),1.21 (0.70),0.85 (0.85),1.91 (0.03),1.57 (0.44),1.07 (0.88),0.96 (0.96)
