Analyte,CHS CV_intra,CHS CV_inter,CHS II
A1C,"8.6 [8.5, 8.6]","16.5 [16.5, 16.6]","0.5 [0.5, 0.5]"
ALB,"6.7 [6.7, 6.8]","18.9 [18.3, 19.4]","0.4 [0.3, 0.4]"
ALP,"17.8 [17.7, 17.8]","30.1 [30.0, 30.2]","0.6 [0.6, 0.6]"
ALT,"34.2 [34.2, 34.3]","50.2 [50.0, 50.5]","0.7 [0.7, 0.7]"
AST,"24.7 [24.6, 24.7]","35.1 [34.9, 35.4]","0.7 [0.7, 0.7]"
BUN,"20.5 [20.4, 20.5]","36.2 [36.2, 36.3]","0.6 [0.6, 0.6]"
CA,"3.5 [3.5, 3.5]","3.7 [3.7, 3.7]","0.9 [0.9, 0.9]"
CL,"2.4 [2.3, 2.4]","2.3 [2.2, 2.3]","1.0 [1.0, 1.1]"
CO2,"17.7 [17.3, 18.2]","27.0 [25.9, 28.1]","0.7 [0.6, 0.7]"
CRE,"12.2 [12.2, 12.2]","34.7 [34.4, 34.9]","0.3 [0.3, 0.4]"
DBIL,---,---,---
GLU,"13.7 [13.7, 13.7]","24.0 [23.9, 24.0]","0.6 [0.6, 0.6]"
HCT,"6.3 [6.3, 6.4]","9.6 [9.6, 9.6]","0.7 [0.7, 0.7]"
HDL,"24.4 [24.4, 24.5]","30.1 [30.1, 30.2]","0.8 [0.8, 0.8]"
HGB,"6.3 [6.3, 6.3]","10.5 [10.5, 10.5]","0.6 [0.6, 0.6]"
K,"7.1 [7.1, 7.1]","6.5 [6.4, 6.5]","1.1 [1.1, 1.1]"
LDL,"20.6 [20.5, 20.6]","23.7 [23.7, 23.8]","0.9 [0.9, 0.9]"
MCH,"3.6 [3.6, 3.6]","7.1 [7.1, 7.1]","0.5 [0.5, 0.5]"
MCHC,"2.9 [2.9, 2.9]","2.7 [2.7, 2.7]","1.1 [1.1, 1.1]"
MCV,"3.2 [3.2, 3.2]","6.1 [6.1, 6.1]","0.5 [0.5, 0.5]"
MPV,"10.3 [10.3, 10.3]","10.8 [10.8, 10.8]","0.9 [0.9, 1.0]"
NA,"1.5 [1.5, 1.5]","1.2 [1.2, 1.2]","1.2 [1.2, 1.2]"
PLT,"14.1 [14.1, 14.1]","23.8 [23.7, 23.8]","0.6 [0.6, 0.6]"
RBC,"5.9 [5.9, 5.9]","10.1 [10.1, 10.1]","0.6 [0.6, 0.6]"
RDW,"5.7 [5.7, 5.7]","7.1 [7.1, 7.1]","0.8 [0.8, 0.8]"
TBIL,"26.0 [25.9, 26.0]","42.8 [42.6, 43.0]","0.6 [0.6, 0.6]"
TC,"13.9 [13.9, 14.0]","16.6 [16.6, 16.6]","0.8 [0.8, 0.8]"
TGL,"26.1 [26.1, 26.1]","40.3 [40.2, 40.4]","0.7 [0.7, 0.7]"
TP,"4.8 [4.8, 4.8]","5.6 [5.5, 5.6]","0.9 [0.9, 0.9]"
WBC,"19.2 [19.2, 19.3]","51.6 [28.8, 79.2]","0.4 [0.2, 0.7]"
