Analyte,EHRSHOT N,EHRSHOT Mean,MIMIC-IV N,MIMIC-IV Mean,eICU-CRD N,eICU-CRD Mean,CHS N,CHS Mean,INSPIRE N,INSPIRE Mean
A1C,107,6.5 ± 1.2,1970,6.8 ± 1.3,---,---,---,---,269,6.8 ± 1.0
ALB,525,3.2 ± 0.8,3217,3.7 ± 0.8,19075,2.6 ± 0.7,---,---,26023,3.4 ± 0.6
ALP,487,105.0 ± 51.8,5183,110.7 ± 60.0,13582,94.7 ± 42.5,---,---,23445,71.7 ± 28.9
ALT,497,38.4 ± 24.9,6522,31.6 ± 22.5,12425,33.8 ± 23.4,---,---,21698,21.2 ± 12.6
AST,496,31.2 ± 19.0,6409,34.0 ± 22.3,12704,38.1 ± 26.2,---,---,21751,24.6 ± 10.2
BUN,685,21.9 ± 14.6,14498,22.7 ± 14.2,57540,25.5 ± 15.4,---,---,25388,16.4 ± 8.1
CA,701,8.7 ± 0.7,10588,8.8 ± 0.7,57067,8.3 ± 0.7,---,---,25181,8.5 ± 0.7
CL,697,102.5 ± 5.0,13890,101.8 ± 5.3,59172,104.0 ± 6.3,---,---,26586,102.7 ± 5.0
CO2,693,25.9 ± 3.8,13461,25.7 ± 4.2,70208,24.5 ± 4.7,---,---,11019,24.6 ± 3.6
CRE,696,1.1 ± 0.5,14449,1.1 ± 0.5,54820,1.1 ± 0.6,---,---,38300,0.8 ± 0.2
DBIL,114,0.3 ± 0.3,189,0.7 ± 0.8,1147,0.6 ± 0.5,---,---,---,---
GLU,702,124.9 ± 39.3,12787,120.0 ± 41.0,90958,140.6 ± 44.3,---,---,30553,146.9 ± 48.5
HCT,742,31.8 ± 6.5,15378,33.2 ± 6.8,60110,30.3 ± 6.2,---,---,37057,32.8 ± 5.9
HDL,101,53.6 ± 18.8,2405,55.2 ± 17.2,11,26.8 ± 14.7,---,---,---,---
HGB,751,10.5 ± 2.2,14656,10.8 ± 2.3,60482,10.0 ± 2.1,---,---,31439,11.0 ± 2.0
K,721,4.2 ± 0.6,14292,4.2 ± 0.6,66569,4.0 ± 0.6,---,---,34288,4.0 ± 0.5
LDL,48,102.5 ± 37.2,2434,107.1 ± 38.5,3,94.9 ± 59.7,---,---,---,---
MCH,693,30.4 ± 2.7,14511,29.8 ± 2.8,48432,29.7 ± 2.1,---,---,---,---
MCHC,679,33.4 ± 1.4,14745,32.6 ± 1.6,51710,32.9 ± 1.3,---,---,---,---
MCV,708,91.5 ± 6.8,14582,91.2 ± 7.4,50841,90.3 ± 5.8,---,---,---,---
MPV,24,8.9 ± 1.7,---,---,37083,9.7 ± 1.4,---,---,---,---
NA,692,137.6 ± 4.2,14032,138.7 ± 4.2,62419,138.6 ± 5.0,---,---,33867,137.3 ± 3.6
PLT,692,190.5 ± 113.4,14639,229.9 ± 117.5,53371,190.9 ± 94.3,---,---,29222,198.6 ± 91.4
RBC,702,3.5 ± 0.8,14720,3.7 ± 0.8,53584,3.4 ± 0.7,---,---,---,---
RDW,718,16.2 ± 2.8,14595,15.2 ± 2.3,48715,15.7 ± 2.0,---,---,---,---
TBIL,495,0.6 ± 0.4,4557,0.7 ± 0.6,12738,0.8 ± 0.5,---,---,24127,0.8 ± 0.4
TC,122,181.3 ± 43.4,2416,191.0 ± 45.1,35,107.8 ± 47.0,---,---,---,---
TGL,---,---,2218,147.4 ± 78.7,312,145.1 ± 68.5,---,---,---,---
TP,503,6.7 ± 1.0,461,7.0 ± 0.7,15134,5.8 ± 1.0,---,---,24294,6.0 ± 0.9
WBC,691,7.8 ± 4.8,15256,7.7 ± 4.0,52141,10.8 ± 4.7,---,---,29419,8.4 ± 3.6
