Analyte,EHRSHOT N,EHRSHOT Mean,MIMIC-IV N,MIMIC-IV Mean
A1C,1222,6.4 ± 1.2,27997,6.6 ± 1.3
ALB,2998,3.3 ± 0.8,38654,3.8 ± 0.8
ALP,2944,113.6 ± 59.3,55251,106.7 ± 58.0
ALT,2953,38.1 ± 25.5,64819,30.2 ± 21.9
AST,2954,32.2 ± 19.8,63447,32.8 ± 21.4
BUN,3626,23.4 ± 15.4,107330,22.2 ± 14.3
CA,3614,8.8 ± 0.7,85034,8.8 ± 0.7
CL,3621,102.4 ± 5.0,103813,101.8 ± 5.2
CO2,3631,26.0 ± 3.9,101770,25.6 ± 4.1
CRE,3613,1.1 ± 0.5,109231,1.1 ± 0.6
DBIL,1000,0.3 ± 0.3,4644,0.7 ± 0.9
GLU,3605,125.2 ± 40.3,103036,118.2 ± 40.3
HCT,3829,32.2 ± 6.8,115432,33.6 ± 6.8
HDL,1084,53.7 ± 17.4,34308,55.8 ± 17.7
HGB,3758,10.7 ± 2.3,113517,11.0 ± 2.3
K,3665,4.1 ± 0.5,105233,4.2 ± 0.5
LDL,575,92.9 ± 33.9,34081,104.3 ± 37.7
MCH,3706,30.4 ± 2.7,113170,29.7 ± 2.8
MCHC,3722,33.2 ± 1.4,113264,32.6 ± 1.6
MCV,3713,91.5 ± 6.9,113163,91.2 ± 7.2
MPV,260,9.8 ± 1.6,---,---
NA,3635,137.4 ± 4.2,104513,138.7 ± 4.2
PLT,3724,198.8 ± 110.9,113615,229.1 ± 113.2
RBC,3719,3.5 ± 0.8,113277,3.7 ± 0.8
RDW,3720,16.1 ± 2.9,113148,15.2 ± 2.4
TBIL,2918,0.6 ± 0.4,51102,0.7 ± 0.6
TC,1145,173.0 ± 45.5,34834,187.5 ± 44.5
TGL,3,180.6 ± 108.5,33911,139.9 ± 77.3
TP,2949,6.6 ± 1.0,13071,7.0 ± 0.7
WBC,3741,7.8 ± 4.6,115004,7.7 ± 4.0
