Sweep,Method,Start,End,Change
History Length (2 $\to$ 300 measurements),Per$_{RI}$,"21.8 [19.2, 25.1]","39.8 [39.4, 40.0]","+18.2 [14.4, 20.9]"
,Gaussian,"30.2 [26.6, 34.7]","39.1 [39.0, 39.4]","+9.1 [3.9, 12.9]"
,Trunc. Gaussian,"21.4 [18.8, 24.9]","39.0 [39.0, 39.3]","+17.8 [13.7, 20.5]"
,Empirical Bayes,"71.4 [51.4, 84.9]","40.0 [39.3, 41.6]","-31.6 [-42.3, -12.5]"
,Cohen,"87.3 [68.7, 118.0]","87.3 [68.7, 118.0]","+0.0 [0.0, 0.0]"
,NORMA$_{RI}$,"57.4 [50.7, 66.5]","38.7 [37.3, 41.2]","-18.2 [-24.9, -11.0]"
,"NORMA | sex, age","50.2 [47.0, 58.7]","41.8 [39.6, 43.4]","-9.6 [-16.8, -4.6]"
Prediction Horizon (7 $\to$ 3650 days),Per$_{RI}$,"31.5 [26.6, 34.5]","31.5 [26.6, 34.5]","+0.0 [0.0, 0.0]"
,Gaussian,"37.8 [36.7, 38.3]","37.8 [36.7, 38.3]","+0.0 [0.0, 0.0]"
,Trunc. Gaussian,"35.7 [34.7, 36.4]","35.7 [34.7, 36.4]","+0.0 [0.0, 0.0]"
,Empirical Bayes,"52.8 [42.5, 67.4]","52.8 [42.5, 67.4]","+0.0 [0.0, 0.0]"
,Cohen,"87.3 [68.7, 118.0]","87.3 [68.7, 118.0]","+0.0 [0.0, 0.0]"
,NORMA$_{RI}$,"49.2 [45.6, 51.8]","62.1 [57.4, 67.3]","+13.1 [7.4, 21.1]"
,"NORMA | sex, age","49.4 [46.1, 51.2]","61.6 [58.7, 67.7]","+11.0 [8.1, 21.4]"
Within-Person Variability (0 $\to$ 3 $\times$ width/10),Per$_{RI}$,"0.0 [0.0, 0.0]","87.0 [73.4, 94.6]","+87.0 [73.4, 94.6]"
,Gaussian,"0.0 [0.0, 0.0]","91.6 [89.0, 94.7]","+91.6 [89.0, 94.7]"
,Trunc. Gaussian,"0.0 [0.0, 0.0]","176.4 [145.3, 256.8]","+176.4 [145.3, 256.8]"
,Empirical Bayes,"43.3 [27.7, 62.7]","84.3 [82.1, 87.9]","+39.5 [23.2, 54.0]"
,Cohen,"87.3 [68.7, 118.0]","87.3 [68.7, 118.0]","+0.0 [0.0, 0.0]"
,NORMA$_{RI}$,"0.1 [0.0, 5.2]","105.8 [101.3, 107.6]","+101.8 [98.4, 106.9]"
,"NORMA | sex, age","0.0 [0.0, 0.2]","105.2 [103.4, 109.9]","+105.0 [103.4, 109.8]"
