Analyte,N,PopRI (%),PerRI (%),PerRI RR (%),NORMA (%),NORMA RR (%)
A1C,---,---,---,---,---,---
ALB,"74,764",92.3,95.3,38.4,92.7,5.1
ALP,"48,535",30.3,59.1,41.4,39.3,13.0
ALT,"44,795",36.2,61.3,39.3,44.5,12.9
AST,"46,065",31.0,53.7,32.9,38.2,10.4
BUN,"247,304",59.0,74.1,36.7,62.9,9.6
CA,"252,551",55.4,68.9,30.3,58.1,6.0
CL,"261,984",43.0,61.1,31.8,46.5,6.2
CO2,"383,508",50.1,64.0,27.9,53.1,5.9
CRE,"233,867",45.9,55.4,17.5,50.0,7.6
DBIL,"3,730",58.9,65.8,16.8,63.6,11.6
GLU,"1,054,644",82.3,86.7,25.2,83.8,8.7
HCT,"269,390",95.2,97.3,44.3,95.5,4.8
HDL,31,93.5,100.0,100.0,93.5,0.0
HGB,"275,041",94.9,96.8,37.8,95.1,4.7
K,"324,223",16.5,31.6,18.1,22.2,6.9
LDL,9,22.2,88.9,85.7,33.3,14.3
MCH,"203,328",29.1,48.4,27.2,32.4,4.6
MCHC,"216,234",57.5,68.9,26.7,59.3,4.1
MCV,"213,107",11.8,43.0,35.4,18.1,7.1
MPV,"153,367",7.8,35.0,29.5,38.3,33.1
NA,"290,647",32.7,51.9,28.5,37.5,7.1
PLT,"219,693",28.6,66.5,53.0,42.3,19.1
RBC,"225,485",91.8,94.2,29.4,92.2,5.1
RDW,"199,814",71.9,80.2,29.5,74.2,8.1
TBIL,"45,074",23.9,39.0,19.9,30.0,8.0
TC,99,48.5,86.9,74.5,53.5,9.8
TGL,853,40.5,64.8,40.9,49.7,15.6
TP,"56,198",58.1,72.0,33.1,61.3,7.8
WBC,"214,523",41.8,59.0,29.7,45.5,6.4
