Analyte,N (events),PopRI HR,PerRI HR,Gaussian_mle HR,Gaussian_trunc HR,Gaussian_eb HR,Cohen_m4 HR,NORMA HR
A1C,---,---,---,---,---,---,---,---
ALB,7532 (283),"0.91 [0.56, 1.47]","0.95 [0.52, 1.74]","0.93 [0.56, 1.55]","0.95 [0.54, 1.71]","0.99 [0.60, 1.64]","0.96 [0.57, 1.63]","0.88 [0.54, 1.42]"
ALP,5859 (247),"1.16 [0.88, 1.52]","1.50 [1.15, 1.96]","1.29 [1.00, 1.66]","1.19 [0.93, 1.53]","1.21 [0.94, 1.56]","1.28 [0.99, 1.64]","1.30 [1.00, 1.67]"
ALT,5296 (222),"1.19 [0.91, 1.56]","1.05 [0.80, 1.38]","1.02 [0.78, 1.33]","0.99 [0.76, 1.30]","1.11 [0.85, 1.45]","1.41 [1.08, 1.85]","1.14 [0.88, 1.49]"
AST,5296 (199),"1.51 [1.14, 2.00]","1.50 [1.12, 2.01]","1.47 [1.11, 1.94]","1.41 [1.06, 1.88]","1.46 [1.10, 1.93]","1.20 [0.89, 1.62]","1.50 [1.14, 1.99]"
BUN,23666 (526),"3.69 [2.85, 4.78]","3.44 [2.51, 4.70]","3.89 [2.91, 5.21]","3.63 [2.63, 5.02]","3.76 [2.87, 4.93]","3.64 [2.73, 4.84]","3.68 [2.82, 4.82]"
CA,22856 (482),"1.80 [1.46, 2.21]","1.78 [1.41, 2.25]","1.78 [1.43, 2.22]","1.41 [1.11, 1.79]","1.81 [1.46, 2.24]","1.92 [1.54, 2.39]","1.86 [1.50, 2.30]"
CL,24200 (493),"1.53 [1.28, 1.83]","1.63 [1.33, 2.00]","1.56 [1.29, 1.88]","1.38 [1.12, 1.70]","1.56 [1.30, 1.88]","1.49 [1.22, 1.83]","1.57 [1.31, 1.89]"
CO2,36624 (795),"1.62 [1.41, 1.88]","1.50 [1.28, 1.76]","1.66 [1.43, 1.94]","1.54 [1.29, 1.84]","1.65 [1.42, 1.90]","1.61 [1.38, 1.89]","1.65 [1.43, 1.91]"
CRE,22674 (485),"3.21 [2.61, 3.96]","3.31 [2.63, 4.16]","2.94 [2.36, 3.65]","2.57 [2.03, 3.27]","3.18 [2.56, 3.95]","3.12 [2.45, 3.96]","3.20 [2.59, 3.97]"
DBIL,447 (25),"1.69 [0.70, 4.05]","2.16 [0.72, 6.48]","2.66 [0.90, 7.87]","5.63 [0.76, 41.84]","2.84 [0.97, 8.29]","1.11 [0.38, 3.27]","1.81 [0.72, 4.54]"
GLU,40744 (700),"0.95 [0.78, 1.15]","0.93 [0.75, 1.15]","0.94 [0.77, 1.15]","0.95 [0.76, 1.19]","0.96 [0.79, 1.18]","1.22 [0.89, 1.69]","0.97 [0.80, 1.19]"
HCT,26344 (532),"1.23 [0.80, 1.89]","1.33 [0.75, 2.37]","1.07 [0.70, 1.65]","1.06 [0.66, 1.70]","1.15 [0.74, 1.76]","1.21 [0.76, 1.92]","1.19 [0.77, 1.82]"
HDL,---,---,---,---,---,---,---,---
HGB,26629 (523),"1.05 [0.71, 1.55]","1.44 [0.83, 2.51]","1.00 [0.67, 1.50]","0.89 [0.58, 1.36]","1.00 [0.67, 1.49]","1.03 [0.69, 1.54]","1.09 [0.73, 1.63]"
K,29711 (563),"1.33 [1.08, 1.63]","1.25 [1.05, 1.49]","1.46 [1.22, 1.74]","1.38 [1.17, 1.63]","1.41 [1.17, 1.70]","1.29 [1.09, 1.53]","1.30 [1.07, 1.57]"
LDL,---,---,---,---,---,---,---,---
