Analyte,N,PopRI (%),PerRI (%),PerRI RR (%),NORMA (%),NORMA RR (%)
A1C,762,86.0,91.7,41.1,86.5,3.7
ALB,"129,454",44.7,64.3,35.5,49.7,9.0
ALP,"106,963",9.0,49.4,44.3,29.2,22.2
ALT,"99,761",30.3,56.5,37.6,44.4,20.2
AST,"99,180",5.3,38.9,35.4,18.1,13.5
BUN,"125,128",37.6,59.1,34.4,45.6,12.8
CA,"133,970",43.4,61.5,32.1,49.5,10.7
CL,"148,582",37.9,55.5,28.3,43.3,8.8
CO2,"72,999",48.9,61.5,24.7,53.1,8.2
CRE,"192,918",25.8,38.4,16.9,33.1,9.8
DBIL,---,---,---,---,---,---
GLU,"311,256",81.7,87.2,29.9,82.8,5.9
HCT,"221,901",85.1,92.0,46.4,85.9,5.3
HDL,---,---,---,---,---,---
HGB,"173,208",84.4,91.1,42.6,85.6,7.3
K,"213,185",15.5,35.0,23.1,25.4,11.8
LDL,---,---,---,---,---,---
MCH,---,---,---,---,---,---
MCHC,---,---,---,---,---,---
MCV,---,---,---,---,---,---
MPV,---,---,---,---,---,---
NA,"199,591",22.2,47.2,32.2,29.0,8.8
PLT,"149,793",22.8,60.1,48.3,46.9,31.2
RBC,---,---,---,---,---,---
RDW,---,---,---,---,---,---
TBIL,"111,673",12.2,35.4,26.4,22.6,11.8
TC,---,---,---,---,---,---
TGL,---,---,---,---,---,---
TP,"119,565",32.9,54.3,31.9,41.1,12.2
WBC,"152,632",31.2,48.5,25.1,38.1,10.0
