Analyte,inspire_PopRI,inspire_PerRI,inspire_NORMA
A1C,387,468,419
ALB,222,358,294
ALP,83,485,286
ALT,264,500,412
AST,49,379,175
BUN,291,491,376
CA,277,390,355
CL,324,443,381
CO2,441,537,489
CRE,177,285,255
DBIL,---,---,---
GLU,525,606,551
HCT,450,607,489
HDL,---,---,---
HGB,458,592,502
K,139,294,238
LDL,---,---,---
MCH,---,---,---
MCHC,---,---,---
MCV,---,---,---
MPV,---,---,---
NA,165,388,235
PLT,102,489,383
RBC,---,---,---
RDW,---,---,---
TBIL,83,294,183
TC,---,---,---
TGL,---,---,---
TP,205,359,294
WBC,271,414,345
