Analyte,INSPIRE CV_intra,INSPIRE CV_inter,INSPIRE II
A1C,"4.8 [4.4, 5.3]","13.0 [11.8, 13.8]","0.4 [0.3, 0.4]"
ALB,"8.4 [8.3, 8.4]","13.4 [13.3, 13.5]","0.6 [0.6, 0.6]"
ALP,"10.9 [10.7, 11.0]","34.0 [33.7, 34.4]","0.3 [0.3, 0.3]"
ALT,"19.2 [19.0, 19.4]","49.8 [49.3, 50.3]","0.4 [0.4, 0.4]"
AST,"14.4 [14.3, 14.6]","32.6 [32.2, 32.9]","0.4 [0.4, 0.5]"
BUN,"15.4 [15.2, 15.5]","42.0 [41.5, 42.4]","0.4 [0.4, 0.4]"
CA,"4.4 [4.3, 4.4]","5.6 [5.5, 5.6]","0.8 [0.8, 0.8]"
CL,"1.9 [1.8, 1.9]","3.3 [3.3, 3.3]","0.6 [0.6, 0.6]"
CO2,"5.5 [5.4, 5.6]","10.2 [10.1, 10.4]","0.5 [0.5, 0.6]"
CRE,"11.0 [11.0, 11.1]","25.3 [25.2, 25.5]","0.4 [0.4, 0.4]"
DBIL,---,---,---
GLU,"12.8 [12.7, 12.9]","23.7 [23.5, 23.9]","0.5 [0.5, 0.6]"
HCT,"6.8 [6.7, 6.8]","14.1 [14.0, 14.2]","0.5 [0.5, 0.5]"
HDL,---,---,---
HGB,"6.9 [6.8, 6.9]","14.6 [14.5, 14.7]","0.5 [0.5, 0.5]"
K,"7.5 [7.5, 7.6]","8.6 [8.6, 8.7]","0.9 [0.9, 0.9]"
LDL,---,---,---
MCH,---,---,---
MCHC,---,---,---
MCV,---,---,---
MPV,---,---,---
NA,"1.0 [1.0, 1.0]","1.7 [1.7, 1.7]","0.6 [0.6, 0.6]"
PLT,"12.0 [11.9, 12.2]","33.5 [33.2, 33.8]","0.4 [0.3, 0.4]"
RBC,---,---,---
RDW,---,---,---
TBIL,"21.7 [21.6, 21.9]","44.6 [44.2, 45.0]","0.5 [0.5, 0.5]"
TC,---,---,---
TGL,---,---,---
TP,"7.5 [7.4, 7.5]","10.9 [10.8, 11.0]","0.7 [0.7, 0.7]"
WBC,"18.3 [18.2, 18.5]","31.8 [31.5, 32.0]","0.6 [0.6, 0.6]"
