Dataset,Outcome,Subset,Method,N,Events,NRI,NRI (events),NRI (non-events),SE,p-value
INSPIRE,Mortality,refit,Per$_{RI}$,"1,690",22,0.0238,0.0909,-0.0671,nan,---
INSPIRE,Mortality,refit,Cohen,"1,690",22,-0.0330,0.0000,-0.0330,nan,---
INSPIRE,Mortality,refit,Gaussian,"1,690",22,-0.0354,0.0000,-0.0354,nan,---
INSPIRE,Mortality,refit,Trunc. Gaussian,"1,690",22,-0.0271,0.0455,-0.0725,nan,---
INSPIRE,Mortality,refit,Empirical Bayes,"1,690",22,-0.0252,0.0000,-0.0252,nan,---
INSPIRE,Mortality,refit,NORMA$_{RI}$,"1,690",22,-0.0682,-0.0455,-0.0228,nan,---
INSPIRE,Mortality,refit,NORMA | sex,"1,690",22,-0.0622,-0.0455,-0.0168,nan,---
INSPIRE,Mortality,refit,"NORMA | sex, age","1,690",22,-0.0258,0.0000,-0.0258,nan,---
INSPIRE,Mortality,refit,"NORMA | sex, age, setting, analytes","1,690",22,-0.0712,-0.0455,-0.0258,nan,---
INSPIRE,Prolonged LOS (>7d),refit,Per$_{RI}$,"1,690","1,272",0.0358,0.0047,0.0311,nan,---
INSPIRE,Prolonged LOS (>7d),refit,Cohen,"1,690","1,272",0.0206,0.0063,0.0144,nan,---
INSPIRE,Prolonged LOS (>7d),refit,Gaussian,"1,690","1,272",0.0520,-0.0102,0.0622,nan,---
INSPIRE,Prolonged LOS (>7d),refit,Trunc. Gaussian,"1,690","1,272",-0.0218,-0.0385,0.0167,nan,---
INSPIRE,Prolonged LOS (>7d),refit,Empirical Bayes,"1,690","1,272",0.0289,-0.0118,0.0407,nan,---
INSPIRE,Prolonged LOS (>7d),refit,NORMA$_{RI}$,"1,690","1,272",0.0204,0.0204,0.0000,nan,---
INSPIRE,Prolonged LOS (>7d),refit,NORMA | sex,"1,690","1,272",0.0325,0.0134,0.0191,nan,---
INSPIRE,Prolonged LOS (>7d),refit,"NORMA | sex, age","1,690","1,272",0.0159,0.0016,0.0144,nan,---
INSPIRE,Prolonged LOS (>7d),refit,"NORMA | sex, age, setting, analytes","1,690","1,272",0.0166,0.0071,0.0096,nan,---
INSPIRE,Unplanned ICU Admission,refit,Per$_{RI}$,"1,690",243,-0.0036,-0.0658,0.0622,nan,---
INSPIRE,Unplanned ICU Admission,refit,Cohen,"1,690",243,-0.0067,-0.0288,0.0221,nan,---
INSPIRE,Unplanned ICU Admission,refit,Gaussian,"1,690",243,-0.0212,-0.0329,0.0117,nan,---
INSPIRE,Unplanned ICU Admission,refit,Trunc. Gaussian,"1,690",243,-0.0121,-0.0453,0.0332,nan,---
INSPIRE,Unplanned ICU Admission,refit,Empirical Bayes,"1,690",243,-0.0048,0.0000,-0.0048,nan,---
INSPIRE,Unplanned ICU Admission,refit,NORMA$_{RI}$,"1,690",243,-0.0150,-0.0288,0.0138,nan,---
INSPIRE,Unplanned ICU Admission,refit,NORMA | sex,"1,690",243,0.0132,-0.0082,0.0214,nan,---
INSPIRE,Unplanned ICU Admission,refit,"NORMA | sex, age","1,690",243,-0.0122,-0.0288,0.0166,nan,---
INSPIRE,Unplanned ICU Admission,refit,"NORMA | sex, age, setting, analytes","1,690",243,0.0016,-0.0247,0.0263,nan,---
INSPIRE,Perioperative Infection,refit,Per$_{RI}$,"1,672",28,0.0686,0.1429,-0.0742,nan,---
INSPIRE,Perioperative Infection,refit,Cohen,"1,672",28,0.0179,0.0714,-0.0535,nan,---
INSPIRE,Perioperative Infection,refit,Gaussian,"1,672",28,-0.0832,-0.0357,-0.0474,nan,---
INSPIRE,Perioperative Infection,refit,Trunc. Gaussian,"1,672",28,-0.0760,0.0000,-0.0760,nan,---
INSPIRE,Perioperative Infection,refit,Empirical Bayes,"1,672",28,-0.0838,-0.0357,-0.0481,nan,---
INSPIRE,Perioperative Infection,refit,NORMA$_{RI}$,"1,672",28,-0.0322,0.0000,-0.0322,nan,---
INSPIRE,Perioperative Infection,refit,NORMA | sex,"1,672",28,-0.0856,-0.0357,-0.0499,nan,---
INSPIRE,Perioperative Infection,refit,"NORMA | sex, age","1,672",28,-0.0123,0.0357,-0.0481,nan,---
